CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,304.8,10.668,apc_propellers_12x10E,apc_propellers_12x10E,254,PER3_12x10E.dat,6.35,0.025990707
UAV,304.8,13.716,apc_propellers_12x10W,apc_propellers_12x10W,254,PER3_12x10W.dat,7.9375,0.051890696
UAV,304.8,14.224,apc_propellers_12x11,apc_propellers_12x11,279.4,PER3_12x11.dat,7.9375,0.047082642
UAV,304.8,14.732,apc_propellers_12x12,apc_propellers_12x12,304.8,PER3_12x12.dat,7.9375,0.051028875
UAV,304.8,10.922,apc_propellers_12x12E,apc_propellers_12x12E,304.8,PER3_12x12E.dat,6.35,0.025990707
UAV,304.8,14.224,apc_propellers_12x12N,apc_propellers_12x12N,304.8,PER3_12x12N.dat,7.9375,0.045948667
UAV,304.8,13.97,apc_propellers_12x13,apc_propellers_12x13,330.2,PER3_12x13.dat,7.9375,0.045086846
UAV,304.8,13.716,apc_propellers_12x13N,apc_propellers_12x13N,330.2,PER3_12x13N.dat,7.9375,0.047082642
UAV,304.8,7.62,apc_propellers_12x3_8SF,apc_propellers_12x3_8SF,96.52,PER3_12x38SF.dat,6.35,0.017871446
UAV,304.8,11.684,apc_propellers_12x4,apc_propellers_12x4,101.6,PER3_12x4.dat,6.35,0.039961279
UAV,304.8,9.144,apc_propellers_12x4_5MR,apc_propellers_12x4_5MR,114.3,PER3_12x45MR.dat,6.35,0.022135192
UAV,304.8,7.112,apc_propellers_12x4_7SF,apc_propellers_12x4_7SF,119.38,PER3_12x47SF.dat,6.35,0.017871446
UAV,304.8,11.938,apc_propellers_12x5,apc_propellers_12x5,127,PER3_12x5.dat,6.35,0.041095254
UAV,304.8,9.144,apc_propellers_12x5_5MR,apc_propellers_12x5_5MR,139.7,PER3_12x55MR.dat,6.35,0.022135192
UAV,304.8,12.192,apc_propellers_12x6,apc_propellers_12x6,152.4,PER3_12x6.dat,6.35,0.045948667
UAV,304.8,10.414,apc_propellers_12x6E,apc_propellers_12x6E,152.4,PER3_12x6E.dat,6.35,0.026988605
