weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,omega_rpm,voltage,thrust,torque,power,current,max_omega_rpm,max_voltage,max_thrust,max_torque,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
2.103,0.6858,1800.0,600.0,656.04,7.0,9.13,3.07,269.93,38.56,1402.59,15.83,13.82,13.89,2498.83,157.89,4.341417,128.35474,0.033823583,U15II KV100,27x13_6_1200_41_30
1.868,0.6858,6900.0,2300.0,3859.22,40.0,138.42,10.77,4939.54,123.49,4366.38,45.46,110.9,13.89,7178.49,157.89,74.10064,2644.2935,0.028022852,U15II KV100,27x3_2_4600_41_140
1.925,0.6858,7200.0,2400.0,2869.91,30.0,104.89,9.92,3423.46,114.12,3396.16,35.76,68.76,13.89,5646.57,157.89,54.48831,1778.4208,0.030638594,U15II KV100,27x4_3_4800_51_210
1.896,0.6858,4200.0,1400.0,1418.56,15.0,33.59,6.05,1071.58,71.44,2155.35,23.35,12.33,13.89,3687.4,157.89,17.716246,565.1793,0.031346235,U15II KV100,27x7_2_2800_51_120
1.956,0.6858,3300.0,1100.0,1164.38,12.5,28.33,6.38,938.78,75.1,1722.05,19.02,10.41,13.89,3003.23,157.89,14.48364,479.94888,0.030177465,U15II KV100,27x9_3_2200_51_90
2.011,0.6858,3300.0,1100.0,1154.7,12.5,31.7,7.15,1044.97,83.6,1612.8,17.93,11.46,13.89,2830.74,157.89,15.763302,519.6271,0.030335799,U15II KV100,27x9_4_2200_51_100
2.058,0.6858,3300.0,1100.0,1153.98,12.5,32.29,7.21,1052.88,84.23,1605.75,17.86,18.96,13.89,2819.61,157.89,15.68999,511.6035,0.030668262,U15II KV100,27x9_5_2200_51_100
1.991,0.8636,1800.0,600.0,618.48,7.0,17.53,6.06,500.54,71.51,938.46,11.18,13.77,13.89,1765.99,157.89,8.804621,251.4013,0.035022177,U15II KV100,34x13_2_1200_41_70
1.991,0.8636,1800.0,600.0,697.81,8.0,22.32,7.7,717.13,89.64,938.46,11.18,13.86,13.89,1765.99,157.89,11.210447,360.18582,0.031124065,U15II KV100,34x13_2_1200_41_70
2.07,0.8636,1800.0,600.0,615.98,7.0,18.26,6.26,515.93,73.7,919.91,11.0,12.1,13.89,1736.7,157.89,8.821256,249.24155,0.0353924,U15II KV100,34x13_3_1200_41_70
2.07,0.8636,1800.0,600.0,694.73,8.0,23.24,7.95,738.77,92.35,919.91,11.0,12.2,13.89,1736.7,157.89,11.227053,356.8937,0.031457692,U15II KV100,34x13_3_1200_41_70
2.163,0.8636,1800.0,600.0,605.35,7.0,20.67,7.1,581.21,83.03,848.35,10.28,14.28,13.89,1623.72,157.89,9.556172,268.7055,0.035563737,U15II KV100,34x13_4_1200_41_80
2.243,0.8636,1800.0,600.0,604.54,7.0,21.05,7.17,586.14,83.73,843.66,10.24,12.96,13.89,1616.3,157.89,9.384752,261.31967,0.035912924,U15II KV100,34x13_5_1200_41_80
2.0,0.8636,1500.0,500.0,527.8,6.0,13.19,5.32,380.01,63.33,854.85,10.35,16.41,13.89,1633.97,157.89,6.595,190.005,0.034709614,U15II KV100,34x15_2_1000_41_50
2.08,0.8636,1500.0,500.0,525.12,6.0,13.74,5.53,394.11,65.69,834.22,10.14,15.37,13.89,1601.4,157.89,6.605769,189.47597,0.034863364,U15II KV100,34x15_3_1000_41_50
2.181,0.8636,1500.0,500.0,512.73,6.0,16.08,6.52,459.34,76.56,750.14,9.3,8.29,13.89,1468.65,157.89,7.3727646,210.60982,0.03500675,U15II KV100,34x15_4_1000_41_60
2.26,0.8636,1500.0,500.0,511.77,6.0,16.39,6.59,464.37,77.4,744.57,9.25,14.71,13.89,1459.85,157.89,7.2522125,205.47345,0.035295133,U15II KV100,34x15_5_1000_41_60
2.34,0.8636,1500.0,500.0,511.11,6.0,16.63,6.64,467.84,77.97,740.79,9.21,13.88,13.89,1453.88,157.89,7.1068377,199.93163,0.03554634,U15II KV100,34x15_6_1000_41_60
2.013,0.8636,1500.0,500.0,516.73,6.0,13.25,6.2,438.27,73.05,774.78,9.55,8.98,13.89,1507.55,157.89,6.582216,217.71982,0.030232506,U15II KV100,34x17_2_1000_46_60
1.933,0.8636,6900.0,2300.0,2405.93,25.0,95.39,7.06,2063.01,82.52,3358.69,35.39,31.92,13.89,5587.41,157.89,49.348164,1067.2582,0.046238262,U15II KV100,34x3_2_4600_41_250
1.933,0.8636,6900.0,2300.0,2868.42,30.0,136.46,10.04,3462.66,115.42,3358.69,35.39,51.12,13.89,5587.41,157.89,70.59493,1791.3398,0.039409008,U15II KV100,34x3_2_4600_41_250
0.455,0.6858,1800.0,600.0,611.08,10.0,6.99,2.39,257.22,25.72,766.79,13.62,3.33,3.75,544.78,40.0,15.3626375,565.31866,0.02717518,U8 Lite L KV95,27x13_2_1200_41_30
0.455,0.6858,1800.0,600.0,720.62,12.5,9.73,3.31,442.91,35.43,766.79,13.62,3.38,3.75,544.78,40.0,21.384615,973.4286,0.021968346,U8 Lite L KV95,27x13_2_1200_41_30
0.502,0.6858,1800.0,600.0,602.71,10.0,7.16,2.45,263.57,26.36,746.97,13.41,5.78,3.75,536.44,40.0,14.262948,525.03986,0.02716546,U8 Lite L KV95,27x13_3_1200_41_30
0.502,0.6858,1800.0,600.0,710.07,12.5,9.95,3.39,452.92,36.23,746.97,13.41,5.82,3.75,536.44,40.0,19.820717,902.2311,0.02196856,U8 Lite L KV95,27x13_3_1200_41_30
0.549,0.6858,1800.0,600.0,704.37,12.5,10.12,3.43,458.33,36.67,736.51,13.3,5.41,3.75,532.03,40.0,18.433516,834.84515,0.02208016,U8 Lite L KV95,27x13_4_1200_41_30
