Motor.Weight,Propeller.Weight,MaxPower.OmegaRpm,MaxPower.Voltage,MaxPower.Thrust,MaxPower.Torque,MaxPower.Power,MaxPower.Current,MaxPower.MaxPower,MaxPower.MaxCurrent,MaxAmps.OmegaRpm,MaxAmps.Voltage,MaxAmps.Thrust,MaxAmps.Torque,MaxAmps.Power,MaxAmps.Current,MaxAmps.MaxPower,MaxAmps.MaxCurrent,Combined.Weight,Combined.MaxOmegaRpm,Combined.MaxVoltage,Combined.MaxThrust,Combined.MaxTorque,Combined.MaxPower,Combined.MaxCurrent,Combined.MaxThrustPerWeight,Combined.MaxPowerPerWeight,Motor.Name,Propeller.Name
0.046,0.84,146.27,8.81,655.17,0.46,289.47,32.86,275.0,12.3,101.46,3.54,654.2,0.18,45.82,12.95,275.0,12.3,0.886,101.46,3.54,654.2,0.18,45.82,12.95,738.3747,51.715576,Antigravity MN2806 KV401,62x6_2_3200_51_1390
0.046,1.104,118.44,8.79,792.88,0.46,289.47,32.94,275.0,12.3,84.58,3.51,791.83,0.18,45.48,12.95,275.0,12.3,1.15,84.58,3.51,791.83,0.18,45.48,12.95,688.54785,39.547825,Antigravity MN2806 KV401,69x6_2_3000_51_1700
0.046,1.113,102.49,8.78,818.49,0.46,289.47,32.99,275.0,12.3,74.54,3.5,817.67,0.18,45.28,12.95,275.0,12.3,1.159,74.54,3.5,817.67,0.18,45.28,12.95,705.4961,39.06816,Antigravity MN2806 KV401,69x7_2_2800_51_1730
0.046,2.145,54.87,8.74,998.76,0.46,289.47,33.13,275.0,12.3,45.26,3.45,998.55,0.18,44.7,12.95,275.0,12.3,2.191,45.26,3.45,998.55,0.18,44.7,12.95,455.7508,20.401644,Antigravity MN2806 KV401,76x10_3_2000_51_2000
0.046,1.428,90.5,8.77,948.14,0.46,289.47,33.02,275.0,12.3,69.94,3.49,947.4,0.18,45.19,12.95,275.0,12.3,1.474,69.94,3.49,947.4,0.18,45.19,12.95,642.74084,30.658073,Antigravity MN2806 KV401,76x7_2_2600_51_2000
0.046,1.439,75.41,8.75,956.04,0.46,289.47,33.07,275.0,12.3,58.55,3.47,955.42,0.18,44.96,12.95,275.0,12.3,1.485,58.55,3.47,955.42,0.18,44.96,12.95,643.3805,30.276094,Antigravity MN2806 KV401,76x8_2_2400_51_2000
0.046,1.452,65.21,8.75,964.09,0.46,289.47,33.1,275.0,12.3,51.93,3.46,963.77,0.18,44.83,12.95,275.0,12.3,1.498,51.93,3.46,963.77,0.18,44.83,12.95,643.37115,29.926569,Antigravity MN2806 KV401,76x9_2_2200_51_1980
0.046,1.815,56.81,8.74,983.25,0.46,289.47,33.12,275.0,12.3,46.16,3.45,982.98,0.18,44.71,12.95,275.0,12.3,1.861,46.16,3.45,982.98,0.18,44.71,12.95,528.1999,24.024717,Antigravity MN2806 KV401,83x10_2_2000_51_2000
0.046,2.716,38.93,8.73,999.07,0.46,289.47,33.17,275.0,12.3,34.16,3.44,999.01,0.18,44.47,12.95,275.0,12.3,2.762,34.16,3.44,999.01,0.18,44.47,12.95,361.69806,16.10065,Antigravity MN2806 KV401,83x12_3_1600_51_2000
0.046,3.363,33.68,8.72,1003.32,0.46,289.47,33.19,275.0,12.3,29.84,3.43,1003.24,0.18,44.39,12.95,275.0,12.3,3.409,29.84,3.43,1003.24,0.18,44.39,12.95,294.2916,13.021414,Antigravity MN2806 KV401,90x12_3_1400_46_2000
0.053,0.172,356.05,10.49,28.57,0.65,227.37,21.67,216.0,9.0,233.78,4.85,28.56,0.28,45.92,9.47,216.0,9.0,0.225,233.78,4.85,28.56,0.28,45.92,9.47,126.933334,204.08888,Antigravity MN4004 KV300,27x10_2_2000_51_80
0.053,0.218,349.5,10.48,29.95,0.65,227.37,21.69,216.0,9.0,229.34,4.83,29.94,0.28,45.78,9.47,216.0,9.0,0.271,229.34,4.83,29.94,0.28,45.78,9.47,110.479706,168.92989,Antigravity MN4004 KV300,27x10_3_2000_51_80
0.053,0.189,319.23,10.43,27.11,0.65,227.37,21.81,216.0,9.0,208.97,4.76,27.1,0.28,45.14,9.47,216.0,9.0,0.242,208.97,4.76,27.1,0.28,45.14,9.47,111.983475,186.52893,Antigravity MN4004 KV300,27x11_2_1800_51_70
0.053,0.173,331.83,10.45,17.41,0.65,227.37,21.76,216.0,9.0,217.45,4.79,17.4,0.28,45.41,9.47,216.0,9.0,0.226,217.45,4.79,17.4,0.28,45.41,9.47,76.99115,200.9292,Antigravity MN4004 KV300,27x12_2_1600_51_50
0.053,0.175,319.09,10.43,9.69,0.65,227.37,21.81,216.0,9.0,208.84,4.76,9.68,0.28,45.13,9.47,216.0,9.0,0.228,208.84,4.76,9.68,0.28,45.13,9.47,42.45614,197.9386,Antigravity MN4004 KV300,27x13_2_1200_41_30
0.053,0.222,310.84,10.41,10.2,0.65,227.37,21.84,216.0,9.0,203.26,4.75,10.2,0.28,44.96,9.47,216.0,9.0,0.275,203.26,4.75,10.2,0.28,44.96,9.47,37.090908,163.4909,Antigravity MN4004 KV300,27x13_3_1200_41_30
0.053,0.17,321.65,10.43,12.05,0.65,227.37,21.8,216.0,9.0,210.6,4.77,12.05,0.28,45.19,9.47,216.0,9.0,0.223,210.6,4.77,12.05,0.28,45.19,9.47,54.035873,202.64574,Antigravity MN4004 KV300,27x14_2_1400_51_40
0.053,0.217,313.05,10.42,12.69,0.65,227.37,21.83,216.0,9.0,204.79,4.75,12.69,0.28,45.01,9.47,216.0,9.0,0.27,204.79,4.75,12.69,0.28,45.01,9.47,47.0,166.7037,Antigravity MN4004 KV300,27x14_3_1400_51_40
0.053,0.177,304.84,10.4,8.47,0.65,227.37,21.86,216.0,9.0,199.3,4.73,8.47,0.28,44.83,9.47,216.0,9.0,0.23,199.3,4.73,8.47,0.28,44.83,9.47,36.826088,194.91304,Antigravity MN4004 KV300,27x16_2_1200_51_30
0.053,0.223,296.2,10.39,8.92,0.66,227.37,21.89,216.0,9.0,193.49,4.71,8.92,0.28,44.65,9.47,216.0,9.0,0.276,193.49,4.71,8.92,0.28,44.65,9.47,32.31884,161.77536,Antigravity MN4004 KV300,27x16_3_1200_51_30
0.053,0.128,904.91,11.5,69.35,0.59,227.37,19.77,216.0,9.0,622.34,6.14,69.19,0.28,58.19,9.47,216.0,9.0,0.181,622.34,6.14,69.19,0.28,58.19,9.47,382.2652,321.4917,Antigravity MN4004 KV300,27x3_2_4600_41_140
0.053,0.137,731.29,11.17,96.96,0.61,227.37,20.35,216.0,9.0,495.62,5.72,96.88,0.28,54.19,9.47,216.0,9.0,0.19,495.62,5.72,96.88,0.28,54.19,9.47,509.89474,285.21054,Antigravity MN4004 KV300,27x4_2_4800_51_200
0.053,0.185,707.6,11.13,104.62,0.61,227.37,20.43,216.0,9.0,478.64,5.66,104.51,0.28,53.65,9.47,216.0,9.0,0.238,478.64,5.66,104.51,0.28,53.65,9.47,439.11765,225.42017,Antigravity MN4004 KV300,27x4_3_4800_51_210
