Category,Style,Name,Manufacturer,Cost ($),Cost Adapter ($),(A) Shaft Diameter [mm],(B) Length [mm],(C) Can Diameter [mm],(D) Can Length [mm],(E) Total Length [mm],Adapter Length [mm],Adapter Diameter [mm],Weight [grams],Rotational Moment of Inertia [g*mm^2],Shaft,Case top,Case,KV [RPM/V],KT [Nm/A],KM [Nm/sqrt(W)],Max Current [A],Max Power [W],Peak Current [A],Peak Power [W],Internal Resistance [mOhm],Io Idle Current@10V [A],Poles,ESC PWM Rate Min [kHz],ESC PWM Rate Max [kHz],ESC Rate [Hz],Motor Timing Min [deg.],Motor Timing Max [deg.],Min # of Cells,Max # of Cells,Prop Size Rec. [in],Prop Pitch Rec. [in],ESC/BEC Class,Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Motor,D,KDE600XF-1100-G3,KDE Direct,207.95,0,6,56,46,40,96.5,0,5,375,3934.501018,33.5192935,3900.113349,0.868375479,1100,0.0087,0.103984889,112,3335,186,5500,7,3.4,12S10P,8,32,,5,15,4,8,,,1,,https://www.kdedirect.com/collections/xf-single-rotor-brushless-motors/products/kde600xf-1100-g3?variant=866714131 ,para_motor.prt,,KDE600XF-1100-G3.jpg,
Motor,D,KDE600XF-530-G3,KDE Direct,229.95,0,6,62,46,46,102.5,0,6,425,3936.715376,35.60339465,3900.113349,0.998631801,530,0.018,0.138053698,88,3905,170,7500,17,1.2,12S10P,8,32,,5,15,6,12,,,1,,https://www.kdedirect.com/collections/xf-single-rotor-brushless-motors/products/kde600xf-530-g3 ,para_motor.prt,,KDE600XF-530-G3.jpg,
Motor,D,KDE700XF-535-G3,KDE Direct,296.95,0,6,63.7,56,41.8,114.7,0,6,560,8607.141831,39.84106699,8566.393312,0.907452376,535,0.0178,0.187628475,126,5595,250,11100,9,2.4,12S10P,8,32,,5,15,8,14,,,1,,https://www.kdedirect.com/collections/xf-single-rotor-brushless-motors/products/kde700xf-535-g3 ,para_motor.prt,,KDE700XF-535-G3.jpg,
Motor,D,KDE700XF-455-G3,KDE Direct,330.95,0,6,74.7,56,52.8,125.7,5,8,700,8611.201486,43.6619191,8566.393312,1.146255633,455,0.021,0.21,135,6995,248,12875,10,2.2,12S10P,8,32,,5,15,10,16,,,1,,https://www.kdedirect.com/collections/xf-single-rotor-brushless-motors/products/kde700xf-455-g3 ,para_motor.prt,,KDE700XF-455-G3.jpg,
Motor,D,KDE700XF-295-G3,KDE Direct,330.95,0,8,74.7,56,52.8,125.7,0,6,695,8705.532793,137.9932258,8566.393312,1.146255633,295,0.0324,0.241495342,139,7195,248,12875,18,1.1,12S10P,8,32,,5,15,10,16,,,1,,https://www.kdedirect.com/collections/xf-single-rotor-brushless-motors/products/kde700xf-295-g3 ,para_motor.prt,,KDE700XF-295-G3.jpg,
Motor,D,U3 KV700,T-Motor,109.9,0,4,0.75,41.8,15,38.8,26,6,128,2662.187969,2.662160482,2659.200168,0.325640805,700,0.013641852,0.061008218,25,500,,,50,0.5,12S14P,,,,,,3,4,"10,14","3,6",2,U3 KV700.jpg,https://store.tmotor.com/goods.php?id=317 ,para_motor.prt,,U3.jpg,
Motor,D,U5 KV400,T-Motor,125.9,0,4,37.5,425,18,47.05,27.5,6,195,28418534.48,3.228212646,28418530.86,0.390768966,400,0.023873241,0.07009425,30,850,,,116,0.3,12S14P,,,,,,3,8,"12,18","3,8",2,U5 KV400.jpg,https://store.tmotor.com/goods.php?id=318 ,para_motor.prt,,U5.jpg,
Motor,D,U7-V2.0 KV280,T-Motor,149.9,0,4,39.5,60.7,15,45,27.5,6,317,11828.40005,3.08755726,11824.98686,0.325640805,280,0.034104631,0.127992398,35,800,,,71,0.5,12S14P,,,,,,3,8,"16,24","4,12",2,U7-V2.0 KV280.jpg,https://store.tmotor.com/goods.php?id=319 ,para_motor.prt,,U7-V2.0.jpg,
Motor,D,U7-V2.0 KV420,T-Motor,149.9,0,4,39.5,60.7,15,45,27.5,6,296,11828.40005,3.08755726,11824.98686,0.325640805,420,0.02273642,0.125159875,40,1180,,,33,0.9,12S14P,,,,,,3,8,"12,20","3,10",2,U7-V2.0 KV420.jpg,https://store.tmotor.com/goods.php?id=834,para_motor.prt,,U7-V2.0.jpg,
Motor,D,U7-V2.0 KV490,T-Motor,149.9,0,4,39.5,60.7,15,45,27.5,6,299,11828.40005,3.08755726,11824.98686,0.325640805,490,0.01948836,0.134482463,44,1300,,,21,1.1,12S14P,,,,,,3,8,"12,20","3,10",2,U7-V2.0 KV490.jpg,https://store.tmotor.com/goods.php?id=835 ,para_motor.prt,,U7-V2.0.jpg,
Motor,D,U11II KV120,T-Motor,349.9,0,10,51.6,79.5,18,54,14.5,7,772,34939.92582,144.7292466,34794.80581,0.390768966,120,0.079577472,0.281348849,57.3,2783,,,80,1.5,12S14P,,,,,,6,12,"24,30","6,16",2,U11II KV120.jpg,https://store.tmotor.com/goods.php?id=768 ,para_motor.prt,,U11II.jpg,
Motor,D,U13II KV130,T-Motor,379.9,0,10,57,100,20,60,14.5,7,990,87266.80952,160.810274,87105.56506,0.43418774,130,0.073456128,0.547509649,118,5659,,,18,1.5,36S42P,,,,,,10,14,"26,34","8,30",2,U13II KV130.jpg,https://store.tmotor.com/goods.php?id=767 ,para_motor.prt,,U13 II.jpg,
