weight,propeller_diameter,voltage,thrust,power,current,thrust_at40,power_at40,current_at40,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
3.583,1.9304,1.5,10.44,34.22,22.81,31.82,90.05,60.03,5.37,923.35,848.19,157.89,2.9137595,9.550656,0.30508474,KDE13218XF-105,76x10_2_2000_51_1880
3.538,1.9304,2.5,17.36,58.55,23.42,418.89,400.33,160.13,8.04,63.61,1268.85,157.89,4.906727,16.548897,0.29649872,KDE13218XF-105,76x6_2_2400_41_1420
3.538,1.9304,3.0,24.28,94.29,31.43,2556.84,521.75,173.92,8.04,63.61,1268.85,157.89,6.862634,26.65065,0.25750345,KDE13218XF-105,76x6_2_2400_41_1420
3.538,1.9304,4.0,40.73,201.85,50.46,-189.23,-810.3,-202.57,8.04,63.61,1268.85,157.89,11.512154,57.052006,0.20178351,KDE13218XF-105,76x6_2_2400_41_1420
3.538,1.9304,5.0,60.21,364.83,72.97,444.67,333.86,66.77,8.04,519.89,1268.85,157.89,17.01809,103.117584,0.16503577,KDE13218XF-105,76x6_2_2400_41_1420
3.538,1.9304,6.0,82.29,590.6,98.43,-145.64,-2240.91,-373.48,8.04,63.61,1268.85,157.89,23.258904,166.93047,0.13933288,KDE13218XF-105,76x6_2_2400_41_1420
3.538,1.9304,7.0,106.63,885.29,126.47,-123.91,-2186.88,-312.41,8.04,63.61,1268.85,157.89,30.138496,250.2233,0.12044641,KDE13218XF-105,76x6_2_2400_41_1420
3.538,1.9304,8.0,132.97,1254.11,156.76,-102.26,-2012.94,-251.62,8.04,63.61,1268.85,157.89,37.58338,354.46863,0.10602738,KDE13218XF-105,76x6_2_2400_41_1420
3.548,1.9304,2.0,13.32,39.18,19.59,109.96,261.92,130.96,7.26,104.68,1147.03,157.89,3.7542276,11.042841,0.33996937,KDE13218XF-105,76x7_2_2600_51_2000
3.548,1.9304,2.5,20.06,69.75,27.9,158.47,405.22,162.09,7.26,104.68,1147.03,157.89,5.6538897,19.658962,0.28759858,KDE13218XF-105,76x7_2_2600_51_2000
