weight,propeller_diameter,voltage,thrust,power,current,thrust_at40,power_at40,current_at40,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
1.296,1.0414,12.5,80.6,1495.79,119.66,-27.9,-964.94,-77.19,12.78,27.75,1586.92,124.21,62.191357,1154.1589,0.05388457,U13II KV130,41x5_2_4200_51_560
1.422,1.2192,8.0,45.59,492.5,61.56,-60.24,-1229.53,-153.69,12.01,49.91,1492.17,124.21,32.06048,346.34317,0.09256853,U13II KV130,48x4_2_4000_46_670
1.422,1.2192,10.0,67.75,907.02,90.7,-49.07,-1218.94,-121.89,12.01,49.91,1492.17,124.21,47.644165,637.8481,0.074695155,U13II KV130,48x4_2_4000_46_670
1.43,1.2192,8.0,50.95,624.01,78.0,-68.79,-1676.65,-209.58,10.55,43.16,1310.67,124.21,35.62937,436.37064,0.08164933,U13II KV130,48x5_2_4000_51_810
1.43,1.2192,9.0,62.46,856.73,95.19,-59.05,-1592.66,-176.96,10.55,43.16,1310.67,124.21,43.67832,599.1119,0.072905116,U13II KV130,48x5_2_4000_51_810
1.43,1.2192,10.0,74.78,1135.81,113.58,-49.08,-1436.38,-143.64,10.55,43.16,1310.67,124.21,52.293705,794.2727,0.06583848,U13II KV130,48x5_2_4000_51_810
1.607,1.397,2.5,9.21,39.32,15.73,101.82,258.51,103.4,8.57,58.41,1065.01,124.21,5.731176,24.467953,0.23423195,U13II KV130,55x5_2_3600_51_1080
1.607,1.397,3.0,12.87,64.13,21.38,141.88,368.24,122.75,8.57,58.41,1065.01,124.21,8.008712,39.90666,0.20068611,U13II KV130,55x5_2_3600_51_1080
1.607,1.397,4.0,21.55,139.41,34.85,-6.79,557.02,139.26,8.57,519.34,1065.01,124.21,13.410081,86.75171,0.15458001,U13II KV130,55x5_2_3600_51_1080
1.607,1.397,5.0,31.81,254.35,50.87,25.67,245.91,49.18,8.57,367.74,1065.01,124.21,19.79465,158.27629,0.12506388,U13II KV130,55x5_2_3600_51_1080
1.607,1.397,6.0,43.41,414.46,69.08,-81.79,-1618.83,-269.8,8.57,58.41,1065.01,124.21,27.013067,257.90915,0.1047387,U13II KV130,55x5_2_3600_51_1080
1.607,1.397,7.0,56.18,624.36,89.19,-71.03,-1613.94,-230.56,8.57,58.41,1065.01,124.21,34.959553,388.5252,0.08998014,U13II KV130,55x5_2_3600_51_1080
1.607,1.397,8.0,69.95,888.0,111.0,-60.13,-1526.57,-190.82,8.57,58.41,1065.01,124.21,43.528313,552.58246,0.07877252,U13II KV130,55x5_2_3600_51_1080
1.821,1.5748,2.0,7.73,26.68,13.34,63.42,188.04,94.02,7.73,90.72,960.52,124.21,4.2449203,14.651291,0.28973013,U13II KV130,62x5_2_3200_46_1150
1.821,1.5748,2.5,11.62,48.23,19.29,91.44,290.84,116.34,7.73,90.72,960.52,124.21,6.381109,26.485447,0.24092889,U13II KV130,62x5_2_3200_46_1150
1.821,1.5748,3.0,16.1,78.54,26.18,127.11,414.71,138.24,7.73,90.72,960.52,124.21,8.841296,43.13015,0.20499109,U13II KV130,62x5_2_3200_46_1150
1.821,1.5748,4.0,26.6,169.58,42.39,235.7,722.68,180.67,7.73,90.72,960.52,124.21,14.607359,93.12466,0.15685812,U13II KV130,62x5_2_3200_46_1150
1.821,1.5748,5.0,38.82,306.9,61.38,-11.01,845.31,169.06,7.73,546.81,960.52,124.21,21.317957,168.53377,0.12649071,U13II KV130,62x5_2_3200_46_1150
1.821,1.5748,6.0,52.47,496.19,82.7,92.1,377.92,62.99,7.73,254.39,960.52,124.21,28.813839,272.48215,0.105745785,U13II KV130,62x5_2_3200_46_1150
1.821,1.5748,7.0,67.32,742.08,106.01,-75.93,-1673.14,-239.02,7.73,90.72,960.52,124.21,36.9687,407.51236,0.09071798,U13II KV130,62x5_2_3200_46_1150
1.83,1.5748,2.0,8.83,33.6,16.8,47.19,193.07,96.54,6.91,76.34,858.78,124.21,4.8251367,18.360655,0.26279762,U13II KV130,62x6_2_3200_51_1390
1.83,1.5748,2.5,13.12,60.57,24.23,65.16,299.88,119.95,6.91,76.34,858.78,124.21,7.169399,33.098362,0.21660888,U13II KV130,62x6_2_3200_51_1390
1.83,1.5748,3.0,17.99,98.12,32.71,86.57,429.35,143.12,6.91,76.34,858.78,124.21,9.830601,53.617485,0.18334693,U13II KV130,62x6_2_3200_51_1390
1.83,1.5748,4.0,29.22,209.21,52.3,-8.02,654.26,163.57,6.91,665.51,858.78,124.21,15.967213,114.3224,0.13966827,U13II KV130,62x6_2_3200_51_1390
1.83,1.5748,5.0,42.04,374.08,74.82,232.53,1164.95,232.99,6.91,76.34,858.78,124.21,22.972677,204.4153,0.112382375,U13II KV130,62x6_2_3200_51_1390
2.14,1.7526,0.5,1.32,2.94,5.87,0.22,10.15,20.3,4.26,706.05,528.98,124.21,0.6168224,1.3738317,0.4489796,U13II KV130,69x10_2_2000_51_1450
2.151,1.7526,0.5,1.39,3.34,6.67,-0.63,10.16,20.32,4.02,643.07,499.0,124.21,0.6462111,1.5527662,0.41616768,U13II KV130,69x11_2_1800_51_1340
2.164,1.7526,0.5,1.45,3.73,7.46,6.02,13.74,27.48,3.82,95.31,474.22,124.21,0.67005545,1.7236599,0.38873994,U13II KV130,69x12_2_1600_51_1220
2.094,1.7526,2.0,10.87,44.63,22.31,52.84,111.1,55.55,6.04,805.06,749.82,124.21,5.191022,21.313276,0.24355814,U13II KV130,69x6_2_3000_51_1700
2.103,1.7526,1.5,7.18,25.52,17.02,241.22,30.72,20.48,5.52,828.36,685.64,124.21,3.4141703,12.135045,0.28134796,U13II KV130,69x7_2_2800_51_1730
2.103,1.7526,2.0,11.71,53.48,26.74,-92.57,-60.01,-30.01,5.52,95.88,685.64,124.21,5.568236,25.430338,0.21896036,U13II KV130,69x7_2_2800_51_1730
2.103,1.7526,2.5,16.9,94.71,37.88,-89.42,-136.46,-54.58,5.52,95.88,685.64,124.21,8.036139,45.035664,0.17843945,U13II KV130,69x7_2_2800_51_1730
2.119,1.7526,0.5,1.14,2.25,4.51,4.18,7.4,14.8,4.85,787.17,602.75,124.21,0.5379896,1.0618216,0.50666666,U13II KV130,69x8_2_2400_51_1610
2.119,1.7526,1.5,8.01,33.28,22.19,13.84,74.31,49.54,4.85,787.17,602.75,124.21,3.7800848,15.705522,0.24068509,U13II KV130,69x8_2_2400_51_1610
2.129,1.7526,0.5,1.23,2.57,5.14,0.61,9.12,18.24,4.54,753.16,563.88,124.21,0.577736,1.2071395,0.47859922,U13II KV130,69x9_2_2200_51_1540
2.453,1.9304,0.5,1.61,3.33,6.66,1.93,11.32,22.63,4.02,921.27,499.28,124.21,0.65633917,1.3575214,0.4834835,U13II KV130,76x10_2_2000_51_1880
2.466,1.9304,0.5,1.68,3.81,7.63,-0.51,11.13,22.27,3.79,850.7,470.42,124.21,0.68126523,1.5450121,0.44094488,U13II KV130,76x11_2_1800_51_1750
2.481,1.9304,0.5,1.78,4.28,8.55,3.81,14.08,28.17,3.6,131.15,447.25,124.21,0.71745265,1.7251109,0.41588786,U13II KV130,76x12_2_1600_51_1610
3.165,1.9304,0.5,1.89,4.47,8.94,3.84,14.13,28.26,3.53,132.21,438.99,124.21,0.5971564,1.4123223,0.42281878,U13II KV130,76x12_3_1600_51_1730
2.408,1.9304,0.5,1.04,1.81,3.62,8.21,13.97,27.93,5.5,63.02,683.58,124.21,0.43189368,0.7516611,0.5745856,U13II KV130,76x6_2_2400_41_1420
2.408,1.9304,1.5,7.91,25.66,17.1,42.85,123.86,82.57,5.5,63.02,683.58,124.21,3.2848837,10.656146,0.30826187,U13II KV130,76x6_2_2400_41_1420
2.408,1.9304,2.0,12.9,53.75,26.88,72.96,218.67,109.34,5.5,63.02,683.58,124.21,5.357143,22.321428,0.24,U13II KV130,76x6_2_2400_41_1420
2.408,1.9304,2.5,18.62,95.18,38.07,118.36,339.04,135.62,5.5,63.02,683.58,124.21,7.7325583,39.526577,0.19562933,U13II KV130,76x6_2_2400_41_1420
2.408,1.9304,3.0,24.94,151.26,50.42,207.09,482.39,160.8,5.5,63.02,683.58,124.21,10.357142,62.815613,0.16488166,U13II KV130,76x6_2_2400_41_1420
2.408,1.9304,5.0,54.5,540.58,108.12,15669.89,63.0,12.6,5.5,674.29,683.58,124.21,22.63289,224.49336,0.10081764,U13II KV130,76x6_2_2400_41_1420
2.418,1.9304,0.5,1.22,2.04,4.08,6.47,13.81,27.61,5.09,103.99,632.28,124.21,0.5045492,0.84367245,0.5980392,U13II KV130,76x7_2_2600_51_2000
2.418,1.9304,1.5,8.88,29.85,19.9,23.61,123.46,82.31,5.09,103.99,632.28,124.21,3.6724565,12.3449135,0.29748744,U13II KV130,76x7_2_2600_51_2000
2.418,1.9304,2.0,14.26,62.15,31.07,34.18,218.96,109.48,5.09,103.99,632.28,124.21,5.8974357,25.70306,0.22944489,U13II KV130,76x7_2_2600_51_2000
2.418,1.9304,2.5,20.32,109.31,43.72,46.28,341.36,136.54,5.09,103.99,632.28,124.21,8.40364,45.206783,0.18589333,U13II KV130,76x7_2_2600_51_2000
2.418,1.9304,3.0,26.93,172.64,57.55,60.09,490.49,163.5,5.09,103.99,632.28,124.21,11.137303,71.39785,0.15598935,U13II KV130,76x7_2_2600_51_2000
2.418,1.9304,4.0,41.4,351.7,87.92,93.75,868.28,217.07,5.09,103.99,632.28,124.21,17.121588,145.45079,0.11771396,U13II KV130,76x7_2_2600_51_2000
2.429,1.9304,0.5,1.34,2.47,4.95,6.56,13.77,27.54,4.62,101.15,574.13,124.21,0.55166733,1.0168793,0.5425101,U13II KV130,76x8_2_2400_51_2000
2.442,1.9304,0.5,1.5,2.89,5.78,2.15,10.55,21.09,4.29,969.17,532.28,124.21,0.6142506,1.1834562,0.51903117,U13II KV130,76x9_2_2200_51_1980
2.805,2.1082,0.5,1.71,3.35,6.7,24.67,13.4,26.8,4.01,77.73,497.75,124.21,0.6096257,1.1942959,0.51044774,U13II KV130,83x10_2_2000_51_2000
2.823,2.1082,0.5,1.87,4.03,8.06,4.66,13.85,27.7,3.7,149.24,459.42,124.21,0.66241586,1.4275594,0.46401986,U13II KV130,83x11_2_1800_51_2000
3.704,2.1082,0.5,2.15,4.41,8.82,3.99,14.48,28.97,3.55,91.01,441.26,124.21,0.5804536,1.1906048,0.48752835,U13II KV130,83x11_3_1600_46_1910
2.847,2.1082,0.5,1.99,4.86,9.71,5.38,13.99,27.98,3.42,159.41,424.89,124.21,0.6989814,1.7070601,0.40946501,U13II KV130,83x12_2_1600_51_2000
2.859,2.1082,0.5,2.0,5.28,10.55,-0.8,11.42,22.84,3.31,600.42,410.66,124.21,0.6995453,1.8467996,0.37878788,U13II KV130,83x13_2_1200_41_1250
2.783,2.1082,0.5,1.39,2.25,4.49,7.05,14.18,28.36,4.85,78.68,602.32,124.21,0.49946102,0.8084801,0.61777776,U13II KV130,83x7_2_2200_41_1710
2.783,2.1082,1.5,9.78,33.2,22.13,34.54,126.51,84.34,4.85,78.68,602.32,124.21,3.5141933,11.929572,0.2945783,U13II KV130,83x7_2_2200_41_1710
2.783,2.1082,2.5,22.03,119.77,47.91,86.8,348.6,139.44,4.85,78.68,602.32,124.21,7.915918,43.036293,0.18393588,U13II KV130,83x7_2_2200_41_1710
2.783,2.1082,3.0,29.05,188.0,62.67,130.18,499.63,166.54,4.85,78.68,602.32,124.21,10.438375,67.553,0.15452127,U13II KV130,83x7_2_2200_41_1710
2.793,2.1082,0.5,1.58,2.55,5.09,6.25,12.97,25.93,4.53,106.64,562.76,124.21,0.56569993,0.91299677,0.61960787,U13II KV130,83x8_2_2200_46_2000
2.793,2.1082,1.5,10.57,37.92,25.28,20.39,115.95,77.3,4.53,106.64,562.76,124.21,3.7844613,13.576799,0.27874473,U13II KV130,83x8_2_2200_46_2000
2.793,2.1082,2.5,23.2,134.55,53.82,35.88,321.27,128.51,4.53,106.64,562.76,124.21,8.30648,48.174007,0.17242661,U13II KV130,83x8_2_2200_46_2000
2.807,2.1082,0.5,1.74,3.18,6.36,2.15,11.01,22.01,4.1,976.54,509.54,124.21,0.6198789,1.1328821,0.5471698,U13II KV130,83x9_2_2000_46_2000
3.252,2.286,0.5,2.15,4.53,9.06,6.41,7.9,15.8,3.52,989.41,437.16,124.21,0.6611316,1.3929889,0.4746137,U13II KV130,90x11_2_1600_46_2000
4.346,2.286,0.5,2.35,5.11,10.21,5.28,14.41,28.82,3.35,95.08,416.18,124.21,0.5407271,1.1757939,0.4598826,U13II KV130,90x11_3_1400_41_1840
3.28,2.286,0.5,2.26,5.52,11.04,0.77,12.75,25.5,3.24,977.33,403.03,124.21,0.6890244,1.6829268,0.40942028,U13II KV130,90x12_2_1400_46_2000
4.37,2.286,0.5,2.48,5.85,11.71,4.04,14.25,28.5,3.16,158.36,392.74,124.21,0.5675057,1.3386728,0.42393163,U13II KV130,90x13_3_1200_41_1680
3.218,2.286,0.5,1.83,2.77,5.55,5.5,14.34,28.67,4.35,87.25,539.87,124.21,0.5686762,0.8607831,0.66064984,U13II KV130,90x8_2_2000_41_2000
3.218,2.286,1.5,11.86,41.22,27.48,20.53,128.69,85.79,4.35,87.25,539.87,124.21,3.685519,12.809198,0.2877244,U13II KV130,90x8_2_2000_41_2000
3.218,2.286,2.0,18.43,83.84,41.92,29.95,228.55,114.27,4.35,87.25,539.87,124.21,5.7271595,26.05345,0.21982348,U13II KV130,90x8_2_2000_41_2000
3.231,2.286,0.5,2.04,3.33,6.66,5.72,13.57,27.14,4.0,150.13,497.26,124.21,0.6313835,1.0306407,0.6126126,U13II KV130,90x9_2_1800_41_1940
3.231,2.286,1.0,6.57,17.98,17.98,12.08,54.12,54.12,4.0,150.13,497.26,124.21,2.0334263,5.564841,0.365406,U13II KV130,90x9_2_1800_41_1940
1.103,0.6858,50.0,84.8,2454.29,49.09,20.92,1316.05,26.32,61.43,36.38,4397.31,71.58,76.88123,2225.1042,0.034551743,U13II KV65,27x3_2_4600_41_140
1.168,0.8636,40.0,92.57,2035.1,50.88,-0.95,173.95,4.35,48.44,24.4,3467.05,71.58,79.255135,1742.3801,0.045486707,U13II KV65,34x3_2_4600_41_250
1.275,1.0414,25.0,73.23,1237.09,49.48,-39.29,-1198.8,-47.95,31.0,30.37,2219.04,71.58,57.435295,970.26666,0.05919537,U13II KV65,41x4_2_4600_51_580
1.275,1.0414,30.0,101.28,2030.23,67.67,-16.91,-485.99,-16.2,31.0,30.37,2219.04,71.58,79.435295,1592.3373,0.049885973,U13II KV65,41x4_2_4600_51_580
1.281,1.0414,25.0,79.9,1507.95,60.32,-28.05,-946.04,-37.84,27.68,27.8,1981.63,71.58,62.373146,1177.1663,0.052985843,U13II KV65,41x5_2_4200_51_560
1.407,1.2192,12.5,28.78,259.01,20.72,-65.78,-1045.01,-83.6,26.04,49.35,1864.22,71.58,20.454868,184.08672,0.1111154,U13II KV65,48x4_2_4000_46_670
1.407,1.2192,15.0,40.13,422.87,28.19,-62.29,-1180.93,-78.73,26.04,49.35,1864.22,71.58,28.521677,300.54727,0.09489914,U13II KV65,48x4_2_4000_46_670
1.407,1.2192,17.5,52.95,640.79,36.62,-56.57,-1236.12,-70.64,26.04,49.35,1864.22,71.58,37.633263,455.43,0.08263238,U13II KV65,48x4_2_4000_46_670
1.407,1.2192,20.0,67.09,918.28,45.91,-49.11,-1200.02,-60.0,26.04,49.35,1864.22,71.58,47.683014,652.651,0.073060505,U13II KV65,48x4_2_4000_46_670
1.407,1.2192,25.0,98.93,1671.19,66.85,-30.31,-822.67,-32.91,26.04,49.35,1864.22,71.58,70.31272,1187.7683,0.05919734,U13II KV65,48x4_2_4000_46_670
1.415,1.2192,20.0,74.0,1144.2,57.21,-49.09,-1416.57,-70.83,22.94,43.23,1641.74,71.58,52.29682,808.6219,0.064674005,U13II KV65,48x5_2_4000_51_810
1.592,1.397,7.0,16.64,102.26,14.61,-6.32,426.91,60.99,18.7,520.16,1338.72,71.58,10.452261,64.233665,0.16272247,U13II KV65,55x5_2_3600_51_1080
1.592,1.397,8.0,21.14,144.88,18.11,-6.72,556.96,69.62,18.7,520.16,1338.72,71.58,13.278894,91.00503,0.14591385,U13II KV65,55x5_2_3600_51_1080
1.592,1.397,9.0,26.04,197.34,21.93,206.98,841.94,93.55,18.7,58.49,1338.72,71.58,16.356785,123.95728,0.131955,U13II KV65,55x5_2_3600_51_1080
1.592,1.397,10.0,31.3,260.36,26.04,331.33,-29.31,-2.93,18.7,558.67,1338.72,71.58,19.660805,163.54271,0.12021816,U13II KV65,55x5_2_3600_51_1080
1.592,1.397,12.5,45.85,468.23,37.46,-78.82,-1606.22,-128.5,18.7,58.49,1338.72,71.58,28.800251,294.11432,0.09792196,U13II KV65,55x5_2_3600_51_1080
1.592,1.397,15.0,62.15,754.76,50.32,-65.43,-1561.09,-104.07,18.7,58.49,1338.72,71.58,39.038944,474.0955,0.082344055,U13II KV65,55x5_2_3600_51_1080
1.592,1.397,17.5,79.91,1127.16,64.41,-51.84,-1387.66,-79.29,18.7,58.49,1338.72,71.58,50.194725,708.0151,0.070894994,U13II KV65,55x5_2_3600_51_1080
1.597,1.397,15.0,63.58,869.19,57.95,-57.23,-1441.26,-96.08,17.2,56.15,1230.94,71.58,39.81215,544.2642,0.07314856,U13II KV65,55x6_2_3400_51_1070
1.806,1.5748,6.0,15.71,82.76,13.79,121.34,412.14,68.69,16.91,90.13,1210.39,71.58,8.698782,45.825027,0.189826,U13II KV65,62x5_2_3200_46_1150
1.806,1.5748,7.0,20.66,123.27,17.61,165.2,555.47,79.35,16.91,90.13,1210.39,71.58,11.439646,68.25581,0.16759957,U13II KV65,62x5_2_3200_46_1150
1.806,1.5748,8.0,26.09,174.43,21.8,223.9,718.17,89.77,16.91,90.13,1210.39,71.58,14.44629,96.58361,0.1495729,U13II KV65,62x5_2_3200_46_1150
1.806,1.5748,9.0,31.94,237.09,26.34,-10.7,689.8,76.64,16.91,547.73,1210.39,71.58,17.685493,131.27907,0.13471678,U13II KV65,62x5_2_3200_46_1150
1.806,1.5748,10.0,38.18,311.96,31.2,-10.99,844.65,84.47,16.91,547.73,1210.39,71.58,21.140642,172.73532,0.12238748,U13II KV65,62x5_2_3200_46_1150
1.806,1.5748,12.5,55.27,556.8,44.54,-51.67,-301.87,-24.15,16.91,124.59,1210.39,71.58,30.603544,308.30563,0.099263646,U13II KV65,62x5_2_3200_46_1150
1.806,1.5748,15.0,74.15,890.78,59.39,-69.71,-1604.21,-106.95,16.91,90.13,1210.39,71.58,41.057587,493.23367,0.08324166,U13II KV65,62x5_2_3200_46_1150
1.815,1.5748,6.0,17.56,101.86,16.98,83.03,426.12,71.02,15.17,76.43,1085.78,71.58,9.674932,56.121212,0.17239349,U13II KV65,62x6_2_3200_51_1390
1.815,1.5748,12.5,58.98,666.8,53.34,-58.76,-1010.68,-80.85,15.17,76.43,1085.78,71.58,32.49587,367.38293,0.08845231,U13II KV65,62x6_2_3200_51_1390
1.815,1.5748,15.0,78.19,1055.71,70.38,-49.63,-1289.52,-85.97,15.17,76.43,1085.78,71.58,43.07989,581.6584,0.0740639,U13II KV65,62x6_2_3200_51_1390
2.079,1.7526,9.0,40.31,362.13,40.24,101.25,657.58,73.06,13.31,806.11,952.5,71.58,19.38913,174.18471,0.11131362,U13II KV65,69x6_2_3000_51_1700
2.088,1.7526,5.0,16.42,97.16,19.43,-88.86,-124.77,-24.95,12.21,95.97,873.81,71.58,7.8639846,46.532566,0.16899958,U13II KV65,69x7_2_2800_51_1730
2.393,1.9304,9.0,45.71,418.38,46.49,-70.33,-1040.28,-115.59,12.17,63.11,871.22,71.58,19.101545,174.83493,0.10925475,U13II KV65,76x6_2_2400_41_1420
2.393,1.9304,10.0,53.54,541.18,54.12,-18309.46,-204.05,-20.41,12.17,675.15,871.22,71.58,22.37359,226.15128,0.09893196,U13II KV65,76x6_2_2400_41_1420
2.403,1.9304,3.0,8.49,31.65,10.55,22.54,122.09,40.7,11.29,104.09,807.83,71.58,3.5330837,13.171036,0.26824644,U13II KV65,76x7_2_2600_51_2000
2.403,1.9304,5.0,19.76,111.35,22.27,44.55,337.42,67.48,11.29,104.09,807.83,71.58,8.223055,46.33791,0.17745847,U13II KV65,76x7_2_2600_51_2000
2.403,1.9304,8.0,40.57,352.68,44.08,90.47,858.12,107.26,11.29,104.09,807.83,71.58,16.883062,146.76654,0.115033455,U13II KV65,76x7_2_2600_51_2000
2.768,2.1082,5.0,21.42,121.53,24.31,82.5,344.43,68.89,10.78,78.73,771.29,71.58,7.738439,43.905346,0.17625278,U13II KV65,83x7_2_2200_41_1710
3.203,2.286,2.5,8.44,27.46,10.99,15.49,88.28,35.31,9.7,87.36,694.4,71.58,2.6350296,8.573213,0.30735615,U13II KV65,90x8_2_2000_41_2000
3.203,2.286,3.0,11.36,42.56,14.19,19.59,127.04,42.35,9.7,87.36,694.4,71.58,3.546675,13.287543,0.2669173,U13II KV65,90x8_2_2000_41_2000
1.868,0.6858,50.0,139.3,4980.04,99.6,69.07,4305.3,86.11,61.23,133.87,9031.58,147.5,74.57173,2665.9744,0.027971663,U15II KV80,27x3_2_4600_41_140
1.877,0.6858,50.0,171.29,7440.23,148.8,112.43,7353.98,147.08,50.3,122.54,7571.4,150.53,91.257324,3963.8945,0.023022138,U15II KV80,27x4_2_4800_51_200
1.933,0.8636,40.0,156.19,4209.54,105.24,40.76,2512.74,62.82,48.07,68.25,7236.34,150.53,80.801865,2177.7236,0.037103817,U15II KV80,34x3_2_4600_41_250
2.031,0.8636,30.0,142.6,4117.08,137.24,31.84,2003.6,66.79,31.57,40.07,4752.26,150.53,70.211716,2027.1196,0.0346362,U15II KV80,34x5_3_4200_51_360
2.046,1.0414,25.0,146.28,3387.8,135.51,1.09,320.75,12.83,26.5,28.04,3988.96,150.53,71.4956,1655.8163,0.043178465,U15II KV80,41x5_2_4200_51_560
2.172,1.2192,20.0,121.99,2054.37,102.72,-40.49,-1136.25,-56.81,24.7,46.65,3717.32,150.53,56.164825,945.8425,0.059380736,U15II KV80,48x4_2_4000_46_670
2.357,1.397,9.0,47.63,446.6,49.62,-139.4,-2634.83,-292.76,16.89,58.89,2542.0,150.53,20.207891,189.47815,0.10665025,U15II KV80,55x5_2_3600_51_1080
2.357,1.397,12.5,87.44,1105.71,88.46,-105.26,-2697.17,-215.77,16.89,58.89,2542.0,150.53,37.098007,469.11752,0.07908041,U15II KV80,55x5_2_3600_51_1080
2.357,1.397,15.0,121.63,1831.9,122.13,-77.34,-2295.18,-153.01,16.89,58.89,2542.0,150.53,51.603733,777.2168,0.06639554,U15II KV80,55x5_2_3600_51_1080
2.362,1.397,15.0,129.2,2162.5,144.17,-66.2,-2069.77,-137.98,15.38,56.84,2315.75,150.53,54.699406,915.53766,0.059745666,U15II KV80,55x6_2_3400_51_1070
2.571,1.5748,7.0,38.02,280.23,40.03,-190.7,-2870.26,-410.04,15.0,87.27,2257.32,150.53,14.78802,108.9965,0.13567427,U15II KV80,62x5_2_3200_46_1150
2.571,1.5748,8.0,48.76,402.81,50.35,-179.12,-3062.49,-382.81,15.0,87.27,2257.32,150.53,18.965384,156.67444,0.12104963,U15II KV80,62x5_2_3200_46_1150
2.571,1.5748,9.0,60.6,555.91,61.77,-166.98,-3189.57,-354.4,15.0,87.27,2257.32,150.53,23.570595,216.22327,0.10901045,U15II KV80,62x5_2_3200_46_1150
2.571,1.5748,10.0,73.47,742.28,74.23,-154.35,-3249.72,-324.97,15.0,87.27,2257.32,150.53,28.57643,288.71255,0.098978825,U15II KV80,62x5_2_3200_46_1150
2.571,1.5748,12.5,109.79,1370.43,109.63,-121.08,-3098.34,-247.87,15.0,87.27,2257.32,150.53,42.703228,533.0338,0.08011354,U15II KV80,62x5_2_3200_46_1150
2.58,1.5748,5.0,23.51,145.39,29.08,-174.84,-1002.78,-200.56,13.18,76.86,1984.43,150.53,9.112403,56.352715,0.161703,U15II KV80,62x6_2_3200_51_1390
2.58,1.5748,6.0,33.04,236.04,39.34,-165.23,-1947.03,-324.5,13.18,76.86,1984.43,150.53,12.806202,91.48837,0.13997628,U15II KV80,62x6_2_3200_51_1390
2.58,1.5748,9.0,69.08,706.17,78.46,-131.51,-2861.4,-317.93,13.18,76.86,1984.43,150.53,26.775194,273.7093,0.09782347,U15II KV80,62x6_2_3200_51_1390
2.58,1.5748,12.5,122.87,1719.22,137.54,-87.7,-2538.64,-203.09,13.18,76.86,1984.43,150.53,47.62403,666.3643,0.07146846,U15II KV80,62x6_2_3200_51_1390
2.844,1.7526,5.0,30.11,196.69,39.34,472.75,398.89,79.78,11.26,811.22,1694.33,150.53,10.587201,69.15964,0.15308353,U15II KV80,69x6_2_3000_51_1700
2.844,1.7526,6.0,41.88,318.95,53.16,-165.06,-1793.31,-298.88,11.26,91.14,1694.33,150.53,14.725739,112.148384,0.13130584,U15II KV80,69x6_2_3000_51_1700
2.844,1.7526,7.0,55.1,480.78,68.68,-152.72,-2698.56,-385.51,11.26,91.14,1694.33,150.53,19.37412,169.05063,0.114605434,U15II KV80,69x6_2_3000_51_1700
2.844,1.7526,8.0,69.64,686.04,85.75,-139.68,-2798.1,-349.76,11.26,91.14,1694.33,150.53,24.486639,241.22363,0.101510115,U15II KV80,69x6_2_3000_51_1700
3.168,1.9304,4.0,28.21,160.36,40.09,212.34,793.08,198.27,9.1,104.58,1369.89,150.53,8.904672,50.618687,0.17591669,U15II KV80,76x7_2_2600_51_2000
3.543,2.1082,2.0,10.24,36.24,18.12,66.46,166.07,83.03,7.85,110.96,1181.19,150.53,2.890206,10.22862,0.2825607,U15II KV80,83x8_2_2200_46_2000
1.868,0.6858,40.0,138.42,4939.54,123.49,68.29,4257.85,106.45,45.46,110.9,7178.49,157.89,74.10064,2644.2935,0.028022852,U15II KV100,27x3_2_4600_41_140
1.933,0.8636,30.0,136.46,3462.66,115.42,25.25,1614.88,53.83,35.39,51.12,5587.41,157.89,70.59493,1791.3398,0.039409008,U15II KV100,34x3_2_4600_41_250
2.046,1.0414,17.5,112.19,2292.3,130.99,-26.12,-900.06,-51.43,19.42,27.95,3066.16,157.89,54.83382,1120.3812,0.04894211,U15II KV100,41x5_2_4200_51_560
2.172,1.2192,15.0,106.4,1685.6,112.37,-47.01,-1285.46,-85.7,18.12,47.64,2860.38,157.89,48.98711,776.05896,0.06312292,U15II KV100,48x4_2_4000_46_670
2.172,1.2192,17.5,141.99,2596.23,148.36,-27.49,-740.88,-42.34,18.12,47.64,2860.38,157.89,65.372925,1195.3176,0.05469084,U15II KV100,48x4_2_4000_46_670
2.18,1.2192,15.0,122.23,2178.49,145.23,-48.77,-1592.44,-106.16,15.73,43.45,2483.03,157.89,56.068806,999.3073,0.05610767,U15II KV100,48x5_2_4000_51_810
2.357,1.397,7.0,44.47,405.56,57.94,-137.36,-2523.25,-360.46,12.41,58.75,1959.17,157.89,18.867205,172.0662,0.10965085,U15II KV100,55x5_2_3600_51_1080
2.357,1.397,8.0,56.97,584.77,73.1,-126.22,-2631.83,-328.98,12.41,58.75,1959.17,157.89,24.170555,248.09927,0.09742292,U15II KV100,55x5_2_3600_51_1080
2.357,1.397,9.0,70.72,808.66,89.85,-114.22,-2656.52,-295.17,12.41,58.75,1959.17,157.89,30.004242,343.08868,0.08745332,U15II KV100,55x5_2_3600_51_1080
2.357,1.397,10.0,85.66,1081.2,108.12,-101.52,-2594.44,-259.44,12.41,58.75,1959.17,157.89,36.342808,458.71872,0.079226784,U15II KV100,55x5_2_3600_51_1080
2.571,1.5748,5.0,30.25,202.46,40.49,-191.39,-1787.66,-357.53,11.02,88.31,1740.25,157.89,11.76585,78.74757,0.14941223,U15II KV100,62x5_2_3200_46_1150
