        90x34_4_400_36_460                                 (90x34_4_400_36_460.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3491      0.7040      15.596    2730.455      94.532  
         4.5        0.15      0.0735      0.3573      0.7093      15.717    2750.812      96.735  
         8.9        0.29      0.1488      0.3679      0.7213      15.972    2796.836      99.613  
        13.4        0.44      0.2246      0.3809      0.7419      16.441    2877.378     103.120  
        17.9        0.58      0.2990      0.3961      0.7727      17.111    2995.978     107.234  
        22.4        0.73      0.3718      0.4132      0.8098      17.943    3141.130     111.820  
        26.8        0.87      0.4408      0.4287      0.8510      18.855    3300.443     116.091  
        31.3        1.02      0.5085      0.4426      0.8885      19.686    3445.595     119.846  
        35.8        1.17      0.5656      0.4504      0.9284      20.571    3600.483     121.891  
        40.3        1.31      0.6201      0.4535      0.9594      21.255    3720.854     122.723  
        44.7        1.46      0.6675      0.4496      0.9826      21.765    3810.246     121.779  
        49.2        1.60      0.7083      0.4395      0.9949      22.033    3858.040     118.946  
        53.7        1.75      0.7438      0.4228      0.9945      22.033    3857.155     114.450  
        58.2        1.90      0.7765      0.4015      0.9804      21.711    3802.280     108.740  
        62.6        2.04      0.8076      0.3772      0.9534      21.121    3697.842     102.108  
        67.1        2.19      0.8287      0.3467      0.9150      20.276    3549.149      93.858  
        71.6        2.33      0.8475      0.3155      0.8685      19.244    3368.594      85.427  
        76.1        2.48      0.8641      0.2836      0.8135      18.023    3154.406      76.772  
        80.5        2.62      0.8783      0.2509      0.7497      16.602    2907.470      67.915  
        85.0        2.77      0.8896      0.2174      0.6770      14.993    2626.016      58.855  
        89.5        2.92      0.8971      0.1831      0.5952      13.185    2308.275      49.570  
        94.0        3.06      0.8987      0.1479      0.5040      11.164    1954.245      40.061  
        98.4        3.21      0.8899      0.1119      0.4034       8.935    1563.927      30.304  
       102.9        3.35      0.8579      0.0750      0.2931       6.492    1136.436      20.296  
       107.4        3.50      0.7507      0.0371      0.1730       3.831     670.798      10.047  



         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3492      0.7037      21.376    3368.594     116.721  
         4.5        0.13      0.0661      0.3565      0.7080      21.510    3389.836     119.149  
         8.9        0.26      0.1337      0.3656      0.7178      21.805    3436.745     122.229  
        13.4        0.39      0.2021      0.3768      0.7342      22.315    3515.516     125.960  
        17.9        0.52      0.2698      0.3899      0.7586      23.052    3631.461     130.322  
        22.4        0.66      0.3353      0.4046      0.7916      24.058    3789.889     135.200  
        26.8        0.79      0.4024      0.4205      0.8232      25.010    3941.237     140.618  
        31.3        0.92      0.4637      0.4341      0.8600      26.136    4117.367     145.092  
        35.8        1.05      0.5201      0.4446      0.8973      27.263    4296.152     148.554  
        40.3        1.18      0.5710      0.4508      0.9327      28.349    4466.086     150.734  
        44.7        1.31      0.6206      0.4539      0.9595      29.154    4594.422     151.656  
        49.2        1.44      0.6642      0.4511      0.9808      29.797    4696.206     150.847  
        53.7        1.57      0.6993      0.4418      0.9950      30.240    4763.471     147.677  
        58.2        1.71      0.7357      0.4294      0.9963      30.267    4769.667     143.608  
        62.6        1.84      0.7651      0.4116      0.9882      30.025    4730.724     137.538  
        67.1        1.97      0.7911      0.3895      0.9697      29.462    4642.216     130.254  
        71.6        2.10      0.8167      0.3656      0.9400      28.564    4500.604     122.206  
        76.1        2.23      0.8350      0.3379      0.9030      27.437    4322.704     112.967  
