        83x22_5_800_46_1140                                 (83x22_5_800_46_1140.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3393      0.4640       9.406    1482.500      82.055  
         4.5        0.14      0.1039      0.3464      0.4743       9.614    1514.363      83.764  
         8.9        0.28      0.2062      0.3554      0.4905       9.942    1566.582      85.922  
        13.4        0.43      0.3059      0.3660      0.5108      10.354    1631.192      88.485  
        17.9        0.57      0.4039      0.3756      0.5293      10.730    1690.492      90.823  
        22.4        0.71      0.4948      0.3815      0.5485      11.118    1751.563      92.239  
        26.8        0.85      0.5755      0.3815      0.5659      11.471    1807.322      92.217  
        31.3        1.00      0.6448      0.3743      0.5782      11.721    1847.151      90.508  
        35.8        1.14      0.7032      0.3598      0.5824      11.804    1859.542      86.979  
        40.3        1.28      0.7543      0.3384      0.5746      11.647    1834.760      81.808  
        44.7        1.42      0.7963      0.3106      0.5551      11.254    1772.804      75.109  
        49.2        1.57      0.8326      0.2788      0.5242      10.624    1673.676      67.398  
        53.7        1.71      0.8597      0.2430      0.4827       9.784    1541.800      58.743  
        58.2        1.85      0.8811      0.2059      0.4324       8.764    1380.716      49.795  
        62.6        1.99      0.8970      0.1678      0.3726       7.553    1190.425      40.556  
        67.1        2.13      0.9052      0.1286      0.3032       6.146     968.272      31.091  
        71.6        2.28      0.8984      0.0883      0.2238       4.538     714.963      21.357  
        76.1        2.42      0.8467      0.0470      0.1343       2.721     428.819      11.362  
        80.5        2.56      0.3404      0.0046      0.0342       0.694     109.307       1.100  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3394      0.4632      16.226    2130.375     118.182  
         4.5        0.12      0.0869      0.3452      0.4712      16.508    2167.548     120.183  
         8.9        0.24      0.1729      0.3523      0.4834      16.924    2223.307     122.656  
        13.4        0.36      0.2565      0.3608      0.5003      17.527    2301.194     125.601  
        17.9        0.47      0.3410      0.3701      0.5148      18.037    2367.575     128.838  
        22.4        0.59      0.4193      0.3770      0.5329      18.667    2451.657     131.243  
        26.8        0.71      0.4959      0.3820      0.5480      19.190    2520.692     132.997  
        31.3        0.83      0.5611      0.3817      0.5647      19.780    2596.809     132.907  
        35.8        0.95      0.6228      0.3778      0.5754      20.156    2646.373     131.536  
        40.3        1.07      0.6765      0.3687      0.5817      20.370    2674.695     128.343  
        44.7        1.19      0.7226      0.3542      0.5813      20.357    2672.925     123.308  
        49.2        1.30      0.7640      0.3352      0.5724      20.048    2632.212     116.721  
        53.7        1.42      0.7974      0.3114      0.5557      19.472    2556.095     108.425  
        58.2        1.54      0.8274      0.2849      0.5308      18.587    2441.036      99.186  
        62.6        1.66      0.8526      0.2558      0.4981      17.447    2291.458      89.069  
        67.1        1.78      0.8723      0.2252      0.4593      16.092    2112.673      78.413  
        71.6        1.90      0.8886      0.1939      0.4141      14.510    1904.681      67.510  
        76.1        2.02      0.9009      0.1619      0.3622      12.687    1665.710      56.360  
        80.5        2.13      0.9077      0.1291      0.3036      10.633    1395.763      44.939  
        85.0        2.25      0.9049      0.0956      0.2379       8.333    1093.952      33.272  
        89.5        2.37      0.8799      0.0613      0.1652       5.785     759.660      21.334  
        94.0        2.49      0.7668      0.0262      0.0852       2.984     391.823       9.132  



         PROP RPM =       560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3395      0.4624      25.721    2894.194     160.896  
         4.5        0.10      0.0746      0.3444      0.4691      26.096    2936.678     163.211  
         8.9        0.20      0.1488      0.3503      0.4786      26.619    2995.978     165.976  
        13.4        0.30      0.2215      0.3571      0.4916      27.343    3077.404     169.214  
        17.9        0.41      0.2935      0.3650      0.5056      28.121    3165.027     172.968  
        22.4        0.51      0.3636      0.3723      0.5204      28.939    3257.075     176.408  
        26.8        0.61      0.4302      0.3780      0.5359      29.811    3354.433     179.128  
        31.3        0.71      0.4967      0.3825      0.5479      30.481    3429.664     181.241  
        35.8        0.81      0.5537      0.3827      0.5621      31.259    3518.172     181.353  
        40.3        0.91      0.6052      0.3798      0.5741      31.930    3594.288     179.982  
        44.7        1.02      0.6548      0.3738      0.5803      32.278    3632.346     177.149  
        49.2        1.12      0.6984      0.3640      0.5827      32.412    3648.278     172.496  
        53.7        1.22      0.7363      0.3502      0.5801      32.265    3631.461     165.932  
        58.2        1.32      0.7692      0.3327      0.5714      31.782    3577.472     157.659  
        62.6        1.42      0.7982      0.3122      0.5567      30.964    3484.539     147.947  
        67.1        1.52      0.8247      0.2898      0.5358      29.797    3353.548     137.336  
        71.6        1.63      0.8471      0.2652      0.5091      28.322    3187.154     125.668  
        76.1        1.73      0.8650      0.2391      0.4777      26.566    2990.667     113.326  
        80.5        1.83      0.8806      0.2125      0.4416      24.567    2764.088     100.737  
        85.0        1.93      0.8937      0.1855      0.4007      22.288    2508.301      87.878  
        89.5        2.03      0.9037      0.1578      0.3549      19.740    2222.422      74.771  
        94.0        2.13      0.9096      0.1296      0.3042      16.910    1903.795      61.418  
        98.4        2.24      0.9089      0.1008      0.2481      13.799    1553.306      47.794  
       102.9        2.34      0.8949      0.0715      0.1869      10.394    1170.069      33.901  
       107.4        2.44      0.8448      0.0417      0.1203       6.690     752.933      19.740  
       111.8        2.54      0.5895      0.0112      0.0483       2.686     302.253       5.308  



         PROP RPM =       640

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3396      0.4618      38.340    3775.728     210.174  
         4.5        0.09      0.0654      0.3438      0.4676      38.823    3822.637     212.804  
         8.9        0.18      0.1305      0.3488      0.4754      39.466    3886.363     215.884  
        13.4        0.27      0.1947      0.3545      0.4857      40.324    3971.330     219.414  
        17.9        0.36      0.2574      0.3610      0.4989      41.424    4078.424     223.438  
        22.4        0.44      0.3196      0.3679      0.5119      42.497    4184.633     227.732  
        26.8        0.53      0.3803      0.3741      0.5248      43.570    4290.842     231.553  
        31.3        0.62      0.4384      0.3789      0.5382      44.683    4399.706     234.476  
        35.8        0.71      0.4973      0.3830      0.5480      45.501    4481.133     237.173  
        40.3        0.80      0.5480      0.3836      0.5603      46.520    4581.146     237.398  
        44.7        0.89      0.5944      0.3817      0.5711      47.418    4668.769     236.274  
        49.2        0.98      0.6365      0.3771      0.5796      48.116    4738.689     233.352  
        53.7        1.07      0.6779      0.3702      0.5829      48.397    4766.127     229.080  
        58.2        1.16      0.7144      0.3604      0.5832      48.424    4767.897     223.055  
        62.6        1.25      0.7443      0.3467      0.5799      48.156    4742.230     214.580  
