        34x7_5_2800_51_290                                 (34x7_5_2800_51_290.dat)

         PROP RPM =       1400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2846      0.2919       2.926     131.699      23.740  
         4.5        0.10      0.0962      0.2882      0.2972       2.980     134.177      24.032  
         8.9        0.20      0.1909      0.2916      0.3032       3.040     136.833      24.324  
        13.4        0.30      0.2825      0.2939      0.3098       3.106     139.842      24.504  
        17.9        0.40      0.3693      0.2948      0.3169       3.177     143.028      24.594  
        22.4        0.50      0.4541      0.2942      0.3215       3.222     145.064      24.527  
        26.8        0.60      0.5275      0.2904      0.3279       3.287     147.984      24.212  
        31.3        0.69      0.5969      0.2844      0.3311       3.318     149.401      23.717  
        35.8        0.79      0.6577      0.2753      0.3323       3.331     149.932      22.953  
        40.3        0.89      0.7100      0.2627      0.3305       3.314     149.135      21.908  
        44.7        0.99      0.7546      0.2468      0.3246       3.253     146.480      20.581  
        49.2        1.09      0.7923      0.2279      0.3140       3.149     141.700      19.008  
        53.7        1.19      0.8260      0.2069      0.2983       2.990     134.620      17.254  
        58.2        1.29      0.8532      0.1836      0.2776       2.783     125.238      15.307  
        62.6        1.39      0.8735      0.1590      0.2529       2.536     114.175      13.261  
        67.1        1.49      0.8888      0.1339      0.2242       2.248     101.164      11.164  
        71.6        1.59      0.8977      0.1081      0.1912       1.916      86.286       9.013  
        76.1        1.69      0.8966      0.0817      0.1537       1.541      69.372       6.812  
        80.5        1.79      0.8752      0.0547      0.1116       1.119      50.387       4.561  
        85.0        1.89      0.7880      0.0271      0.0649       0.650      29.269       2.259  



         PROP RPM =       1680

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2848      0.2906       5.036     188.875      34.193  
         4.5        0.08      0.0802      0.2876      0.2967       5.140     192.769      34.531  
         8.9        0.17      0.1592      0.2905      0.3018       5.227     196.133      34.890  
        13.4        0.25      0.2369      0.2931      0.3070       5.318     199.496      35.205  
        17.9        0.33      0.3122      0.2948      0.3124       5.411     203.036      35.407  
        22.4        0.41      0.3841      0.2953      0.3180       5.509     206.665      35.475  
        26.8        0.50      0.4557      0.2949      0.3212       5.564     208.701      35.407  
        31.3        0.58      0.5182      0.2921      0.3263       5.654     212.064      35.070  
        35.8        0.66      0.5752      0.2874      0.3307       5.727     214.896      34.508  
        40.3        0.74      0.6302      0.2812      0.3322       5.754     215.870      33.766  
        44.7        0.83      0.6758      0.2721      0.3330       5.769     216.401      32.665  
        49.2        0.91      0.7189      0.2611      0.3305       5.723     214.719      31.361  
        53.7        0.99      0.7564      0.2478      0.3251       5.632     211.267      29.765  
        58.2        1.08      0.7888      0.2323      0.3167       5.485     205.780      27.899  
        62.6        1.16      0.8170      0.2150      0.3048       5.280     198.080      25.831  
        67.1        1.24      0.8431      0.1965      0.2891       5.009     187.901      23.605  
        71.6        1.32      0.8624      0.1763      0.2704       4.686     175.776      21.168  
        76.1        1.41      0.8785      0.1556      0.2491       4.314     161.880      18.688  
        80.5        1.49      0.8912      0.1345      0.2248       3.893     146.037      16.157  
        85.0        1.57      0.8997      0.1130      0.1974       3.420     128.247      13.574  
        89.5        1.65      0.9024      0.0911      0.1669       2.893     108.510      10.939  
        94.0        1.74      0.8953      0.0687      0.1333       2.309      86.649       8.253  
        98.4        1.82      0.8669      0.0459      0.0964       1.671      62.663       5.517  
       102.9        1.90      0.7697      0.0227      0.0562       0.973      36.509       2.729  



         PROP RPM =       1960

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2848      0.2898       7.970     256.318      46.558  
         4.5        0.07      0.0691      0.2873      0.2948       8.109     260.743      46.963  
         8.9        0.14      0.1375      0.2899      0.2988       8.220     264.372      47.390  
        13.4        0.21      0.2054      0.2925      0.3029       8.333     267.912      47.817  
        17.9        0.28      0.2720      0.2947      0.3072       8.450     271.718      48.177  
        22.4        0.35      0.3366      0.2960      0.3118       8.576     275.789      48.401  
        26.8        0.43      0.3984      0.2965      0.3166       8.707     279.949      48.469  
        31.3        0.50      0.4568      0.2957      0.3212       8.836     284.109      48.334  
        35.8        0.57      0.5114      0.2936      0.3256       8.958     288.003      47.997  
        40.3        0.64      0.5618      0.2901      0.3295       9.063     291.367      47.412  
        44.7        0.71      0.6081      0.2850      0.3323       9.140     293.933      46.580  
        49.2        0.78      0.6501      0.2784      0.3339       9.185     295.349      45.501  
        53.7        0.85      0.6911      0.2705      0.3329       9.158     294.464      44.220  
        58.2        0.92      0.7250      0.2603      0.3309       9.103     292.694      42.556  
        62.6        0.99      0.7575      0.2489      0.3261       8.970     288.446      40.690  
        67.1        1.06      0.7860      0.2358      0.3190       8.776     282.162      38.555  
        71.6        1.13      0.8113      0.2213      0.3095       8.513     273.754      36.194  
        76.1        1.21      0.8337      0.2057      0.2973       8.179     263.044      33.609  
        80.5        1.28      0.8529      0.1888      0.2825       7.770     249.857      30.866  
        85.0        1.35      0.8686      0.1713      0.2657       7.307     234.987      27.989  
        89.5        1.42      0.8821      0.1534      0.2467       6.786     218.171      25.089  
        94.0        1.49      0.8930      0.1353      0.2255       6.204     199.496      22.114  
        98.4        1.56      0.9010      0.1168      0.2021       5.561     178.874      19.093  
       102.9        1.63      0.9052      0.0980      0.1766       4.856     156.127      16.018  
       107.4        1.70      0.9037      0.0789      0.1485       4.085     131.345      12.893  
       111.8        1.77      0.8921      0.0595      0.1181       3.248     104.439       9.716  



         PROP RPM =       2240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2849      0.2891      11.867     333.939      60.833  
         4.5        0.06      0.0607      0.2870      0.2933      12.046     338.984      61.283  
         8.9        0.12      0.1210      0.2895      0.2967      12.185     342.789      61.800  
        13.4        0.19      0.1795      0.2916      0.3023      12.415     349.339      62.250  
        17.9        0.25      0.2382      0.2937      0.3060      12.563     353.499      62.722  
        22.4        0.31      0.2960      0.2955      0.3096      12.713     357.659      63.081  
        26.8        0.37      0.3521      0.2967      0.3135      12.874     362.261      63.329  
        31.3        0.43      0.4062      0.2970      0.3176      13.040     366.863      63.419  
        35.8        0.50      0.4536      0.2960      0.3238      13.295     374.033      63.171  
        40.3        0.56      0.5020      0.2944      0.3273      13.437     378.192      62.834  
        44.7        0.62      0.5474      0.2917      0.3306      13.571     381.910      62.272  
        49.2        0.68      0.5896      0.2879      0.3331      13.678     384.919      61.463  
        53.7        0.74      0.6321      0.2834      0.3337      13.705     385.538      60.496  
        58.2        0.81      0.6676      0.2769      0.3345      13.732     386.424      59.125  
        62.6        0.87      0.7000      0.2692      0.3340      13.705     385.804      57.461  
        67.1        0.93      0.7294      0.2601      0.3318      13.625     383.326      55.528  
        71.6        0.99      0.7582      0.2501      0.3274      13.437     378.192      53.392  
        76.1        1.05      0.7821      0.2385      0.3216      13.205     371.554      50.919  
        80.5        1.12      0.8052      0.2261      0.3135      12.874     362.173      48.266  
        85.0        1.18      0.8259      0.2127      0.3036      12.466     350.755      45.411  
        89.5        1.24      0.8450      0.1986      0.2915      11.969     336.771      42.399  
        94.0        1.30      0.8600      0.1833      0.2777      11.403     320.840      39.139  
        98.4        1.36      0.8732      0.1678      0.2623      10.771     303.050      35.835  
       102.9        1.43      0.8847      0.1521      0.2453      10.072     283.401      32.485  
       107.4        1.49      0.8944      0.1361      0.2266       9.304     261.805      29.068  
       111.8        1.55      0.9019      0.1199      0.2061       8.465     238.174      25.606  



         PROP RPM =       2520

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2850      0.2885      16.857     421.650      76.997  
         4.5        0.06      0.0541      0.2868      0.2922      17.085     427.314      77.514  
         8.9        0.11      0.1074      0.2889      0.2967      17.353     433.864      78.054  
        13.4        0.17      0.1605      0.2911      0.2999      17.541     438.554      78.638  
        17.9        0.22      0.2136      0.2934      0.3031      17.715     443.068      79.290  
        22.4        0.28      0.2634      0.2948      0.3087      18.037     451.211      79.672  
        26.8        0.33      0.3144      0.2963      0.3118      18.224     455.902      80.054  
        31.3        0.39      0.3641      0.2973      0.3152      18.426     460.858      80.347  
        35.8        0.44      0.4121      0.2978      0.3188      18.640     466.080      80.459  
        40.3        0.50      0.4542      0.2968      0.3243      18.962     474.134      80.189  
        44.7        0.55      0.4978      0.2956      0.3274      19.136     478.737      79.875  
        49.2        0.61      0.5390      0.2935      0.3303      19.311     482.897      79.313  
        53.7        0.66      0.5777      0.2906      0.3328      19.458     486.614      78.526  
        58.2        0.72      0.6138      0.2866      0.3347      19.565     489.446      77.447  
        62.6        0.77      0.6472      0.2817      0.3359      19.646     491.216      76.098  
        67.1        0.83      0.6781      0.2756      0.3362      19.659     491.570      74.479  
        71.6        0.88      0.7065      0.2685      0.3353      19.606     490.243      72.546  
        76.1        0.94      0.7326      0.2604      0.3331      19.472     487.057      70.343  
        80.5        0.99      0.7586      0.2515      0.3290      19.230     481.038      67.960  
        85.0        1.05      0.7802      0.2412      0.3239      18.935     473.603      65.172  
        89.5        1.10      0.8013      0.2304      0.3171      18.533     463.602      62.250  
        94.0        1.16      0.8194      0.2185      0.3088      18.050     451.565      59.057  
        98.4        1.21      0.8370      0.2062      0.2988      17.473     436.961      55.708  
       102.9        1.27      0.8524      0.1930      0.2872      16.790     419.879      52.156  
       107.4        1.32      0.8651      0.1793      0.2743      16.039     401.116      48.446  
       111.8        1.38      0.8766      0.1655      0.2602      15.207     380.405      44.715  



         PROP RPM =       2800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2850      0.2878      23.092     519.716      95.072  
         4.5        0.05      0.0488      0.2867      0.2913      23.361     525.823      95.634  
         8.9        0.10      0.0970      0.2885      0.2953      23.682     532.992      96.241  
        13.4        0.15      0.1452      0.2907      0.2981      23.910     538.125      96.983  
        17.9        0.20      0.1917      0.2924      0.3028      24.286     546.622      97.545  
        22.4        0.25      0.2391      0.2945      0.3056      24.514     551.756      98.242  
        26.8        0.30      0.2833      0.2958      0.3110      24.943     561.403      98.691  
        31.3        0.35      0.3289      0.2971      0.3138      25.171     566.448      99.118  
        35.8        0.40      0.3735      0.2980      0.3168      25.412     571.935      99.433  
