        62x16_6_1200_51_810                                 (62x16_6_1200_51_810.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3508      0.4716       7.504     788.247      59.417  
         4.5        0.13      0.0942      0.3572      0.4813       7.657     804.444      60.496  
         8.9        0.25      0.1870      0.3650      0.4957       7.887     828.518      61.822  
        13.4        0.38      0.2782      0.3746      0.5130       8.163     857.460      63.464  
        17.9        0.51      0.3658      0.3833      0.5322       8.469     889.500      64.925  
        22.4        0.64      0.4516      0.3899      0.5482       8.722     916.052      66.026  
        26.8        0.76      0.5303      0.3922      0.5639       8.971     942.604      66.454  
        31.3        0.89      0.5960      0.3884      0.5791       9.214     968.272      65.757  
        35.8        1.02      0.6569      0.3793      0.5866       9.335     980.663      64.250  
        40.3        1.14      0.7117      0.3648      0.5858       9.320     978.893      61.778  
        44.7        1.27      0.7553      0.3434      0.5775       9.189     965.616      58.158  
        49.2        1.40      0.7939      0.3176      0.5588       8.891     933.754      53.797  
        53.7        1.52      0.8263      0.2879      0.5309       8.447     887.730      48.761  
        58.2        1.65      0.8530      0.2553      0.4941       7.861     825.775      43.231  
        62.6        1.78      0.8735      0.2210      0.4499       7.158     751.871      37.431  
        67.1        1.90      0.8894      0.1858      0.3980       6.332     665.222      31.473  
        71.6        2.03      0.8995      0.1497      0.3383       5.382     565.297      25.358  
        76.1        2.16      0.9002      0.1127      0.2703       4.301     451.742      19.089  
        80.5        2.29      0.8809      0.0748      0.1940       3.086     324.203      12.661  
        85.0        2.41      0.7932      0.0359      0.1091       1.735     182.325       6.074  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3509      0.4705      12.935    1132.010      85.585  
         4.5        0.11      0.0788      0.3561      0.4782      13.147    1150.597      86.866  
         8.9        0.21      0.1568      0.3624      0.4891      13.450    1177.149      88.395  
        13.4        0.32      0.2330      0.3697      0.5037      13.853    1212.552      90.171  
        17.9        0.42      0.3080      0.3779      0.5193      14.282    1249.725      92.149  
        22.4        0.53      0.3804      0.3849      0.5354      14.724    1288.669      93.880  
        26.8        0.64      0.4528      0.3903      0.5474      15.046    1317.876      95.229  
        31.3        0.74      0.5162      0.3922      0.5628      15.475    1354.164      95.634  
        35.8        0.85      0.5778      0.3915      0.5735      15.770    1379.831      95.454  
