        83x48_4_400_51_380                                 (83x48_4_400_51_380.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3403      1.0650       2.698     850.380      20.570  
         4.5        0.28      0.0966      0.3612      1.0642       2.697     849.672      21.831  
         8.9        0.57      0.2038      0.3942      1.1005       2.788     878.702      23.807  
        13.4        0.85      0.3141      0.4364      1.1867       3.007     947.915      26.393  
        17.9        1.14      0.4175      0.4860      1.3248       3.357    1057.664      29.360  
        22.4        1.42      0.5096      0.5337      1.4904       3.775    1189.540      32.260  
        26.8        1.71      0.5849      0.5663      1.6523       4.187    1319.646      34.216  
        31.3        1.99      0.6561      0.5810      1.7643       4.470    1409.039      35.115  
        35.8        2.28      0.7156      0.5659      1.8009       4.562    1438.246      34.216  
        40.3        2.56      0.7512      0.5236      1.7862       4.525    1425.855      31.653  
        44.7        2.85      0.7824      0.4798      1.7461       4.423    1393.992      29.000  
        49.2        3.13      0.8098      0.4345      1.6791       4.255    1340.888      26.258  
        53.7        3.42      0.8334      0.3868      1.5853       4.015    1265.657      23.380  
        58.2        3.70      0.8532      0.3370      1.4611       3.703    1166.528      20.370  
        62.6        3.98      0.8682      0.2851      1.3077       3.315    1044.388      17.229  
        67.1        4.27      0.8763      0.2308      1.1242       2.848     897.466      13.949  
        71.6        4.55      0.8721      0.1741      0.9089       2.303     725.761      10.521  
        76.1        4.84      0.8403      0.1149      0.6617       1.676     528.301       6.944  
        80.5        5.12      0.7135      0.0532      0.3818       0.968     304.908       3.215  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3404      1.0641       4.659    1223.173      29.630  
         4.5        0.24      0.0798      0.3570      1.0610       4.645    1219.633      31.069  
         8.9        0.47      0.1675      0.3820      1.0821       4.738    1244.415      33.249  
        13.4        0.71      0.2598      0.4147      1.1355       4.971    1305.485      36.082  
        17.9        0.95      0.3502      0.4527      1.2261       5.369    1409.924      39.409  
        22.4        1.19      0.4340      0.4942      1.3503       5.914    1553.306      43.028  
        26.8        1.42      0.5108      0.5345      1.4891       6.519    1711.734      46.513  
        31.3        1.66      0.5762      0.5639      1.6243       7.113    1867.507      49.076  
        35.8        1.90      0.6343      0.5794      1.7327       7.589    1993.188      50.425  
        40.3        2.13      0.6878      0.5779      1.7935       7.853    2062.224      50.312  
