        69x13_6_1200_41_890                                 (69x13_6_1200_41_890.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        62.6        1.00      0.7902      0.2299      0.2905      32.319    2122.409     152.915  
        67.1        1.07      0.8171      0.2145      0.2808      31.246    2051.603     142.664  
        71.6        1.14      0.8420      0.1980      0.2684      29.851    1959.555     131.671  
        76.1        1.21      0.8610      0.1799      0.2534      28.188    1850.691     119.666  
        80.5        1.28      0.8776      0.1615      0.2362      26.284    1725.895     107.414  
        85.0        1.36      0.8916      0.1427      0.2169      24.125    1584.284      94.892  
        89.5        1.43      0.9030      0.1235      0.1952      21.711    1424.970      82.168  
        94.0        1.50      0.9110      0.1040      0.1710      19.029    1248.840      69.196  
        98.4        1.57      0.9143      0.0841      0.1444      16.065    1055.009      55.977  
       102.9        1.64      0.9099      0.0640      0.1153      12.830     842.237      42.534  
       107.4        1.71      0.8888      0.0434      0.0836       9.303     610.701      28.888  
       111.8        1.78      0.8152      0.0225      0.0493       5.482     359.960      14.984  



         PROP RPM =       1080

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2921      0.2729      43.221    2522.463     245.941  
         4.5        0.06      0.0676      0.2943      0.2759      43.704    2550.785     247.740  
         8.9        0.13      0.1349      0.2963      0.2786      44.133    2575.567     249.538  
        13.4        0.19      0.2013      0.2980      0.2815      44.589    2602.119     250.887  
        17.9        0.25      0.2634      0.2984      0.2872      45.501    2655.224     251.112  
        22.4        0.32      0.3260      0.2985      0.2903      45.997    2683.546     251.336  
        26.8        0.38      0.3860      0.2979      0.2936      46.507    2714.524     250.887  
        31.3        0.44      0.4429      0.2964      0.2970      47.043    2744.616     249.538  
        35.8        0.51      0.4965      0.2938      0.3001      47.539    2774.709     247.290  
        40.3        0.57      0.5463      0.2900      0.3029      47.982    2800.376     244.143  
        44.7        0.63      0.5923      0.2850      0.3051      48.330    2820.733     239.871  
        49.2        0.70      0.6345      0.2787      0.3064      48.532    2832.239     234.701  
        53.7        0.76      0.6729      0.2711      0.3066      48.558    2834.009     228.181  
        58.2        0.82      0.7104      0.2625      0.3045      48.250    2815.422     220.987  
        62.6        0.89      0.7415      0.2520      0.3016      47.781    2788.870     212.152  
        67.1        0.95      0.7714      0.2405      0.2965      46.976    2741.076     202.485  
        71.6        1.01      0.7962      0.2275      0.2898      45.903    2679.121     191.470  
        76.1        1.08      0.8200      0.2136      0.2807      44.468    2595.039     179.802  
        80.5        1.14      0.8424      0.1989      0.2693      42.671    2490.600     167.415  
        85.0        1.20      0.8595      0.1828      0.2562      40.579    2368.460     153.859  
        89.5        1.27      0.8747      0.1664      0.2412      38.206    2229.503     140.078  
        94.0        1.33      0.8880      0.1497      0.2244      35.564    2075.500     126.028  
        98.4        1.39      0.8992      0.1327      0.2059      32.614    1903.795     111.753  
       102.9        1.46      0.9082      0.1155      0.1854      29.382    1714.390      97.230  
       107.4        1.52      0.9142      0.0979      0.1630      25.828    1507.282      82.460  
       111.8        1.58      0.9162      0.0802      0.1387      21.966    1281.588      67.465  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2921      0.2724      59.193    3108.382     303.492  
         4.5        0.06      0.0610      0.2942      0.2752      59.783    3140.245     305.740  
         8.9        0.11      0.1206      0.2959      0.2799      60.829    3195.119     307.539  
        13.4        0.17      0.1803      0.2974      0.2824      61.365    3222.557     309.112  
        17.9        0.23      0.2392      0.2986      0.2849      61.915    3251.764     310.461  
        22.4        0.29      0.2969      0.2994      0.2877      62.518    3283.627     311.136  
        26.8        0.34      0.3492      0.2989      0.2931      63.685    3344.697     310.686  
        31.3        0.40      0.4026      0.2982      0.2958      64.288    3376.560     309.787  
        35.8        0.46      0.4535      0.2967      0.2987      64.892    3408.422     308.213  
        40.3        0.51      0.5015      0.2943      0.3014      65.482    3439.400     305.965  
        44.7        0.57      0.5466      0.2910      0.3038      66.018    3466.837     302.368  
        49.2        0.63      0.5885      0.2867      0.3057      66.434    3489.849     297.872  
