        90x17_4_1000_46_1780                                 (90x17_4_1000_46_1780.dat)

         PROP RPM =       500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2796      0.2727      16.186    2040.097     146.013  
         4.5        0.10      0.1077      0.2831      0.2759      16.374    2063.994     147.879  
         8.9        0.21      0.2128      0.2855      0.2818      16.723    2107.363     149.116  
        13.4        0.31      0.3131      0.2866      0.2883      17.111    2156.927     149.700  
        17.9        0.42      0.4064      0.2860      0.2955      17.541    2210.916     149.363  
        22.4        0.52      0.4955      0.2833      0.3001      17.809    2245.434     147.969  
        26.8        0.63      0.5751      0.2780      0.3045      18.064    2277.297     145.182  
        31.3        0.73      0.6408      0.2687      0.3082      18.292    2304.734     140.326  
        35.8        0.84      0.7034      0.2568      0.3066      18.198    2294.113     134.099  
        40.3        0.94      0.7532      0.2406      0.3018      17.916    2258.710     125.691  
        44.7        1.05      0.7964      0.2215      0.2920      17.326    2184.364     115.664  
        49.2        1.15      0.8333      0.1995      0.2765      16.414    2068.419     104.199  
        53.7        1.26      0.8614      0.1748      0.2557      15.167    1912.646      91.295  
        58.2        1.36      0.8841      0.1492      0.2304      13.665    1723.240      77.941  
        62.6        1.47      0.9018      0.1230      0.2004      11.896    1499.316      64.228  
        67.1        1.57      0.9133      0.0961      0.1657       9.836    1239.990      50.200  
        71.6        1.68      0.9144      0.0686      0.1260       7.479     942.604      35.835  
        76.1        1.78      0.8893      0.0404      0.0812       4.817     607.161      21.121  
        80.5        1.89      0.7092      0.0116      0.0310       1.841     232.155       6.083  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2796      0.2720      27.893    2930.482     210.309  
         4.5        0.09      0.0894      0.2824      0.2765      28.363    2979.161     212.377  
         8.9        0.17      0.1773      0.2848      0.2810      28.819    3026.955     214.153  
        13.4        0.26      0.2628      0.2864      0.2860      29.328    3080.945     215.390  
        17.9        0.35      0.3446      0.2870      0.2915      29.891    3140.245     215.839  
        22.4        0.44      0.4254      0.2867      0.2948      30.227    3175.648     215.569  
        26.8        0.52      0.4964      0.2839      0.3003      30.790    3234.948     213.546  
        31.3        0.61      0.5608      0.2793      0.3050      31.286    3286.282     210.084  
