        41x9_6_2200_51_420                                 (41x9_6_2200_51_420.dat)

         PROP RPM =       1100

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3121      0.3389       4.201     240.740      33.969  
         4.5        0.10      0.0954      0.3162      0.3474       4.306     246.759      34.418  
         8.9        0.21      0.1889      0.3208      0.3558       4.412     252.777      34.935  
        13.4        0.31      0.2828      0.3252      0.3614       4.480     256.672      35.407  
        17.9        0.42      0.3700      0.3270      0.3703       4.592     263.044      35.587  
        22.4        0.52      0.4509      0.3265      0.3793       4.703     269.417      35.542  
        26.8        0.63      0.5286      0.3236      0.3848       4.771     273.400      35.228  
        31.3        0.73      0.5979      0.3175      0.3894       4.828     276.586      34.553  
        35.8        0.84      0.6552      0.3068      0.3924       4.865     278.798      33.407  
        40.3        0.94      0.7078      0.2929      0.3901       4.837     277.117      31.878  
        44.7        1.05      0.7549      0.2755      0.3823       4.741     271.629      29.990  
        49.2        1.15      0.7924      0.2542      0.3695       4.582     262.602      27.674  
        53.7        1.26      0.8259      0.2305      0.3508       4.349     249.148      25.089  
        58.2        1.36      0.8530      0.2043      0.3261       4.043     231.624      22.236  
        62.6        1.47      0.8735      0.1767      0.2967       3.678     210.736      19.237  
        67.1        1.57      0.8888      0.1484      0.2624       3.253     186.397      16.159  
        71.6        1.68      0.8978      0.1194      0.2229       2.764     158.428      13.001  
        76.1        1.78      0.8966      0.0897      0.1781       2.210     126.566       9.768  
        80.5        1.89      0.8739      0.0593      0.1280       1.586      90.897       6.457  
        85.0        1.99      0.7782      0.0282      0.0721       0.894      51.210       3.069  



         PROP RPM =       1320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3122      0.3376       7.233     345.356      48.941  
         4.5        0.09      0.0800      0.3156      0.3445       7.380     352.348      49.480  
         8.9        0.17      0.1591      0.3197      0.3509       7.518     358.986      50.110  
        13.4        0.26      0.2370      0.3234      0.3575       7.659     365.624      50.694  
        17.9        0.35      0.3126      0.3262      0.3644       7.807     372.793      51.144  
        22.4        0.44      0.3847      0.3275      0.3716       7.962     380.140      51.346  
        26.8        0.52      0.4524      0.3272      0.3788       8.116     387.486      51.301  
        31.3        0.61      0.5192      0.3255      0.3831       8.207     391.911      51.032  
        35.8        0.70      0.5762      0.3205      0.3885       8.324     397.398      50.245  
        40.3        0.79      0.6274      0.3132      0.3922       8.403     401.204      49.098  
        44.7        0.87      0.6764      0.3037      0.3919       8.399     401.027      47.615  
        49.2        0.96      0.7193      0.2915      0.3891       8.338     398.107      45.704  
        53.7        1.05      0.7565      0.2765      0.3829       8.203     391.734      43.343  
        58.2        1.13      0.7888      0.2591      0.3727       7.986     381.290      40.601  
        62.6        1.22      0.8169      0.2396      0.3585       7.679     366.686      37.566  
        67.1        1.31      0.8427      0.2187      0.3397       7.279     347.569      34.283  
        71.6        1.40      0.8621      0.1960      0.3176       6.803     324.822      30.731  
        76.1        1.48      0.8784      0.1728      0.2920       6.256     298.713      27.089  
        80.5        1.57      0.8912      0.1491      0.2630       5.634     268.974      23.380  
        85.0        1.66      0.8998      0.1250      0.2304       4.935     235.607      19.590  
        89.5        1.75      0.9024      0.1003      0.1940       4.156     198.434      15.719  
        94.0        1.83      0.8948      0.0751      0.1538       3.296     157.366      11.771  
        98.4        1.92      0.8644      0.0494      0.1098       2.352     112.316       7.747  
       102.9        2.01      0.7558      0.0233      0.0618       1.323      63.185       3.644  



         PROP RPM =       1540

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3123      0.3367      11.452     468.736      66.633  
         4.5        0.07      0.0689      0.3152      0.3424      11.648     476.701      67.263  
         8.9        0.15      0.1364      0.3185      0.3495      11.891     486.614      67.960  
        13.4        0.22      0.2033      0.3219      0.3554      12.093     494.934      68.702  
        17.9        0.30      0.2693      0.3249      0.3611      12.285     502.811      69.331  
        22.4        0.37      0.3335      0.3271      0.3669      12.484     510.865      69.803  
        26.8        0.45      0.3952      0.3282      0.3728      12.685     519.096      70.028  
        31.3        0.52      0.4536      0.3279      0.3787      12.885     527.327      69.983  
