        34x9_6_2200_51_230                                 (34x9_6_2200_51_230.dat)

         PROP RPM =       1100

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3295      0.4408       2.143     122.848      16.966  
         4.5        0.13      0.0942      0.3353      0.4495       2.186     125.238      17.263  
         8.9        0.25      0.1870      0.3425      0.4626       2.249     128.867      17.632  
        13.4        0.38      0.2783      0.3513      0.4783       2.325     133.292      18.086  
        17.9        0.51      0.3661      0.3596      0.4963       2.414     138.249      18.513  
        22.4        0.63      0.4522      0.3662      0.5115       2.488     142.497      18.855  
        26.8        0.76      0.5267      0.3677      0.5291       2.572     147.365      18.929  
        31.3        0.88      0.5969      0.3649      0.5405       2.628     150.551      18.785  
        35.8        1.01      0.6579      0.3563      0.5473       2.662     152.498      18.347  
        40.3        1.14      0.7128      0.3424      0.5461       2.655     152.144      17.630  
        44.7        1.26      0.7563      0.3220      0.5377       2.615     149.843      16.575  
        49.2        1.39      0.7946      0.2970      0.5194       2.525     144.710      15.292  
        53.7        1.52      0.8269      0.2686      0.4923       2.394     137.187      13.826  
        58.2        1.64      0.8530      0.2372      0.4567       2.221     127.274      12.214  
        62.6        1.77      0.8723      0.2043      0.4142       2.014     115.414      10.521  
        67.1        1.89      0.8860      0.1705      0.3647       1.773     101.607       8.779  
        71.6        2.02      0.8922      0.1357      0.3074       1.495      85.666       6.989  
        76.1        2.15      0.8859      0.1001      0.2425       1.180      67.584       5.153  
        80.5        2.27      0.8509      0.0635      0.1697       0.825      47.290       3.271  
        85.0        2.40      0.7042      0.0260      0.0888       0.432      24.729       1.341  



         PROP RPM =       1320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3297      0.4393       3.692     176.218      24.437  
         4.5        0.11      0.0789      0.3344      0.4463       3.749     179.051      24.796  
         8.9        0.21      0.1570      0.3401      0.4561       3.833     183.033      25.224  
        13.4        0.32      0.2333      0.3468      0.4695       3.944     188.344      25.718  
        17.9        0.42      0.3085      0.3543      0.4835       4.063     194.008      26.258  
        22.4        0.53      0.3811      0.3611      0.4987       4.191     200.115      26.775  
