        83x8_2_2200_46_2000                                 (83x8_2_2200_46_2000.dat)

         PROP RPM =       1100

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0942      0.0381      16.052     919.593     172.294  
         4.5        0.05      0.1226      0.0927      0.0391      16.508     945.260     169.551  
         8.9        0.10      0.2371      0.0910      0.0397      16.749     959.421     166.426  
        13.4        0.16      0.3423      0.0891      0.0404      17.031     975.352     162.829  
        17.9        0.21      0.4375      0.0868      0.0411      17.313     991.284     158.648  
        22.4        0.26      0.5222      0.0841      0.0417      17.567    1006.330     153.814  
        26.8        0.31      0.5965      0.0811      0.0422      17.782    1019.606     148.239  
        31.3        0.36      0.6609      0.0776      0.0425      17.929    1027.572     141.877  
        35.8        0.41      0.7195      0.0738      0.0424      17.889    1024.916     134.818  
        40.3        0.47      0.7659      0.0693      0.0421      17.769    1017.836     126.680  
        44.7        0.52      0.8070      0.0644      0.0413      17.420     997.479     117.800  
        49.2        0.57      0.8442      0.0591      0.0398      16.790     962.076     107.998  
        53.7        0.62      0.8690      0.0528      0.0377      15.918     911.627      96.600  
        58.2        0.67      0.8893      0.0465      0.0351      14.818     848.875      84.933  
        62.6        0.72      0.9051      0.0400      0.0320      13.477     772.405      73.063  
        67.1        0.78      0.9164      0.0333      0.0282      11.902     681.950      60.946  
        71.6        0.83      0.9221      0.0266      0.0239      10.067     576.803      48.626  
        76.1        0.88      0.9191      0.0198      0.0189       7.968     456.521      36.104  
        80.5        0.93      0.8977      0.0128      0.0133       5.597     320.751      23.403  
        85.0        0.98      0.8078      0.0057      0.0070       2.948     168.872      10.503  



         PROP RPM =       1320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0950      0.0389      28.336    1352.394     250.212  
         4.5        0.04      0.1031      0.0938      0.0393      28.591    1365.670     247.065  
         8.9        0.09      0.2010      0.0925      0.0397      28.926    1380.716     243.693  
        13.4        0.13      0.2896      0.0909      0.0406      29.596    1412.579     239.422  
        17.9        0.17      0.3742      0.0892      0.0411      29.945    1430.281     234.925  
        22.4        0.22      0.4519      0.0872      0.0416      30.320    1447.982     229.755  
        26.8        0.26      0.5225      0.0850      0.0421      30.669    1464.798     223.865  
        31.3        0.30      0.5858      0.0825      0.0425      30.978    1478.960     217.300  
        35.8        0.34      0.6421      0.0797      0.0428      31.206    1489.581     209.904  
        40.3        0.39      0.6918      0.0766      0.0430      31.299    1494.891     201.654  
        44.7        0.43      0.7352      0.0731      0.0429      31.246    1491.351     192.504  
        49.2        0.47      0.7728      0.0693      0.0425      30.978    1478.960     182.455  
        53.7        0.52      0.8075      0.0652      0.0418      30.428    1453.292     171.642  
        58.2        0.56      0.8379      0.0607      0.0406      29.583    1412.579     159.839  
        62.6        0.60      0.8621      0.0556      0.0389      28.363    1354.164     146.396  
        67.1        0.65      0.8807      0.0503      0.0369      26.901    1284.243     132.368  
        71.6        0.69      0.8964      0.0448      0.0345      25.144    1201.046     118.092  
        76.1        0.73      0.9090      0.0393      0.0317      23.106    1103.688     103.592  
        80.5        0.78      0.9186      0.0337      0.0285      20.772     992.169      88.845  
        85.0        0.82      0.9245      0.0281      0.0249      18.117     865.160      73.895  
        89.5        0.86      0.9253      0.0223      0.0208      15.154     723.283      58.743  
        94.0        0.91      0.9173      0.0165      0.0163      11.847     565.651      43.366  
        98.4        0.95      0.8894      0.0106      0.0113       8.207     391.823      27.809  
       102.9        0.99      0.7834      0.0046      0.0058       4.222     201.620      12.052  



         PROP RPM =       1540

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0960      0.0393      45.434    1859.542     343.958  
         4.5        0.04      0.0888      0.0951      0.0396      45.769    1872.818     340.810  
         8.9        0.07      0.1720      0.0939      0.0404      46.681    1910.876     336.539  
        13.4        0.11      0.2525      0.0927      0.0407      47.110    1927.692     332.268  
        17.9        0.15      0.3250      0.0913      0.0415      48.035    1965.751     327.097  
        22.4        0.18      0.3958      0.0898      0.0419      48.478    1984.337     321.702  
        26.8        0.22      0.4615      0.0881      0.0423      48.947    2002.924     315.632  
        31.3        0.26      0.5220      0.0862      0.0427      49.403    2021.510     308.888  
        35.8        0.30      0.5732      0.0839      0.0433      50.101    2049.833     300.794  
        40.3        0.33      0.6234      0.0816      0.0435      50.355    2061.339     292.477  
        44.7        0.37      0.6687      0.0790      0.0437      50.516    2067.534     283.035  
        49.2        0.41      0.7092      0.0762      0.0437      50.516    2067.534     272.918  
        53.7        0.44      0.7453      0.0731      0.0435      50.302    2058.684     261.902  
        58.2        0.48      0.7771      0.0697      0.0431      49.859    2040.982     249.763  
        62.6        0.52      0.8073      0.0662      0.0424      49.041    2007.349     236.949  
        67.1        0.55      0.8321      0.0622      0.0415      47.968    1963.095     223.011  
        71.6        0.59      0.8563      0.0579      0.0400      46.305    1894.945     207.701  
        76.1        0.63      0.8734      0.0534      0.0384      44.401    1817.058     191.223  
        80.5        0.67      0.8883      0.0487      0.0365      42.175    1725.895     174.474  
        85.0        0.70      0.9011      0.0440      0.0343      39.614    1621.457     157.479  
        89.5        0.74      0.9118      0.0391      0.0317      36.704    1501.972     140.236  
        94.0        0.78      0.9202      0.0343      0.0289      33.432    1368.325     122.768  
        98.4        0.81      0.9260      0.0293      0.0257      29.784    1218.748     105.076  
       102.9        0.85      0.9285      0.0243      0.0223      25.748    1054.124      87.136  
       107.4        0.89      0.9259      0.0193      0.0184      21.336     873.215      68.994  
       111.8        0.92      0.9142      0.0141      0.0143      16.521     676.108      50.649  



         PROP RPM =       1760

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0972      0.0398      68.781    2463.163     455.013  
         4.5        0.03      0.0769      0.0964      0.0405      69.961    2505.646     450.967  
         8.9        0.06      0.1515      0.0955      0.0408      70.417    2521.578     447.145  
        13.4        0.10      0.2208      0.0945      0.0415      71.651    2565.831     441.974  
        17.9        0.13      0.2889      0.0934      0.0418      72.174    2584.418     437.029  
        22.4        0.16      0.3502      0.0920      0.0425      73.407    2628.672     430.959  
        26.8        0.19      0.4109      0.0907      0.0428      73.957    2648.143     424.439  
        31.3        0.23      0.4678      0.0892      0.0432      74.534    2669.385     417.470  
        35.8        0.26      0.5169      0.0874      0.0438      75.580    2706.558     409.377  
        40.3        0.29      0.5659      0.0856      0.0440      76.009    2722.489     400.610  
        44.7        0.32      0.6111      0.0836      0.0442      76.384    2734.881     391.168  
        49.2        0.36      0.6524      0.0814      0.0444      76.639    2744.616     381.051  
        53.7        0.39      0.6866      0.0789      0.0446      77.028    2757.892     369.361  
        58.2        0.42      0.7209      0.0763      0.0445      76.854    2751.697     357.222  
        62.6        0.45      0.7518      0.0735      0.0443      76.438    2737.536     344.183  
        67.1        0.49      0.7796      0.0705      0.0439      75.741    2712.754     330.020  
        71.6        0.52      0.8044      0.0673      0.0433      74.722    2675.581     314.957  
        76.1        0.55      0.8287      0.0639      0.0424      73.166    2619.821     298.996  
        80.5        0.58      0.8510      0.0602      0.0412      71.074    2545.475     281.686  
        85.0        0.61      0.8669      0.0561      0.0398      68.660    2458.737     262.577  
        89.5        0.65      0.8810      0.0520      0.0381      65.884    2358.724     243.243  
        94.0        0.68      0.8935      0.0478      0.0363      62.706    2245.434     223.640  
        98.4        0.71      0.9044      0.0435      0.0343      59.139    2117.984     203.767  
       102.9        0.74      0.9137      0.0392      0.0319      55.156    1974.601     183.646  
       107.4        0.78      0.9213      0.0349      0.0294      50.744    1817.058     163.279  
