        83x22_6_800_46_1180                                 (83x22_6_800_46_1180.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3556      0.4845       9.820    1547.110      85.967  
         4.5        0.14      0.1042      0.3629      0.4956      10.046    1582.513      87.743  
         8.9        0.28      0.2066      0.3723      0.5130      10.397    1638.273      90.014  
        13.4        0.43      0.3062      0.3833      0.5343      10.831    1706.424      92.666  
        17.9        0.57      0.4043      0.3930      0.5535      11.220    1767.494      95.049  
        22.4        0.71      0.4951      0.3988      0.5731      11.617    1830.334      96.421  
        26.8        0.85      0.5757      0.3980      0.5905      11.970    1886.094      96.263  
        31.3        1.00      0.6450      0.3899      0.6025      12.211    1924.152      94.307  
        35.8        1.14      0.7034      0.3743      0.6058      12.278    1934.773      90.486  
        40.3        1.28      0.7544      0.3515      0.5968      12.096    1905.566      85.000  
        44.7        1.42      0.7964      0.3222      0.5758      11.671    1839.185      77.919  
        49.2        1.57      0.8326      0.2887      0.5428      11.003    1733.861      69.803  
        53.7        1.71      0.8597      0.2513      0.4991      10.117    1594.019      60.743  
        58.2        1.85      0.8810      0.2124      0.4460       9.041    1424.085      51.346  
        62.6        1.99      0.8966      0.1724      0.3832       7.766    1224.058      41.680  
        67.1        2.13      0.9039      0.1313      0.3101       6.285     990.398      31.743  
        71.6        2.28      0.8948      0.0891      0.2266       4.593     723.637      21.530  
        76.1        2.42      0.8342      0.0457      0.1324       2.683     422.712      11.036  
        80.5        2.56      0.1019      0.0011      0.0272       0.552      86.950       0.262  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3556      0.4834      16.937    2223.307     123.825  
         4.5        0.12      0.0871      0.3617      0.4923      17.246    2264.021     125.938  
         8.9        0.24      0.1733      0.3691      0.5052      17.701    2323.321     128.501  
        13.4        0.36      0.2569      0.3779      0.5232      18.332    2406.518     131.558  
        17.9        0.47      0.3414      0.3875      0.5384      18.855    2476.439     134.930  
        22.4        0.59      0.4197      0.3946      0.5573      19.525    2563.176     137.336  
        26.8        0.71      0.4962      0.3992      0.5725      20.062    2633.097     139.022  
        31.3        0.83      0.5614      0.3984      0.5893      20.638    2710.098     138.775  
        35.8        0.95      0.6231      0.3938      0.5998      21.014    2758.778     137.156  
        40.3        1.07      0.6767      0.3839      0.6054      21.202    2784.445     133.671  
        44.7        1.19      0.7228      0.3684      0.6043      21.161    2779.134     128.231  
        49.2        1.30      0.7642      0.3482      0.5943      20.813    2733.110     121.217  
        53.7        1.42      0.7976      0.3230      0.5763      20.182    2650.798     112.472  
        58.2        1.54      0.8276      0.2952      0.5499      19.257    2528.658     102.760  
        62.6        1.66      0.8527      0.2647      0.5154      18.050    2370.230      92.149  
        67.1        1.78      0.8723      0.2327      0.4744      16.615    2181.709      80.999  
        71.6        1.90      0.8885      0.1998      0.4268      14.952    1962.210      69.578  
        76.1        2.02      0.9005      0.1662      0.3721      13.035    1711.734      57.866  
        80.5        2.13      0.9066      0.1318      0.3104      10.872    1427.625      45.906  
        85.0        2.25      0.9023      0.0966      0.2413       8.454    1109.884      33.654  
        89.5        2.37      0.8728      0.0607      0.1649       5.773     758.066      21.116  
        94.0        2.49      0.7360      0.0239      0.0807       2.827     371.200       8.307  



         PROP RPM =       560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3558      0.4825      26.847    3020.760     168.584  
         4.5        0.10      0.0749      0.3609      0.4900      27.250    3066.783     171.012  
         8.9        0.20      0.1491      0.3670      0.5002      27.826    3131.394     173.890  
        13.4        0.30      0.2219      0.3741      0.5140      28.591    3217.246     177.262  
        17.9        0.41      0.2940      0.3823      0.5287      29.409    3310.179     181.151  
        22.4        0.51      0.3640      0.3899      0.5442      30.267    3406.652     184.703  
        26.8        0.61      0.4306      0.3957      0.5602      31.152    3506.666     187.446  
        31.3        0.71      0.4971      0.4000      0.5724      31.836    3582.782     189.492  
        35.8        0.81      0.5541      0.3996      0.5866      32.627    3672.175     189.424  
        40.3        0.91      0.6055      0.3961      0.5987      33.298    3747.406     187.783  
        44.7        1.02      0.6551      0.3895      0.6044      33.619    3783.694     184.591  
        49.2        1.12      0.6987      0.3789      0.6062      33.727    3795.200     179.532  
        53.7        1.22      0.7366      0.3641      0.6028      33.526    3773.958     172.518  
        58.2        1.32      0.7696      0.3455      0.5932      33.003    3713.773     163.728  
        62.6        1.42      0.7985      0.3239      0.5773      32.104    3613.760     153.500  
        67.1        1.52      0.8249      0.3003      0.5551      30.870    3474.803     142.304  
        71.6        1.63      0.8473      0.2745      0.5269      29.301    3297.788     130.074  
        76.1        1.73      0.8652      0.2472      0.4937      27.464    3090.681     117.148  
        80.5        1.83      0.8808      0.2194      0.4558      25.345    2852.595     103.974  
        85.0        1.93      0.8937      0.1910      0.4126      22.958    2583.533      90.486  
        89.5        2.03      0.9034      0.1620      0.3644      20.276    2281.722      76.750  
        94.0        2.13      0.9087      0.1324      0.3110      17.299    1946.279      62.722  
        98.4        2.24      0.9068      0.1022      0.2520      14.014    1577.203      48.424  
       102.9        2.34      0.8902      0.0714      0.1876      10.433    1174.494      33.856  
       107.4        2.44      0.8312      0.0400      0.1176       6.539     735.851      18.981  
       111.8        2.54      0.4904      0.0081      0.0419       2.328     262.071       3.828  



         PROP RPM =       640

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3558      0.4819      40.016    3940.352     220.223  
         4.5        0.09      0.0656      0.3603      0.4881      40.539    3991.686     222.988  
         8.9        0.18      0.1309      0.3654      0.4967      41.236    4060.722     226.158  
        13.4        0.27      0.1952      0.3714      0.5076      42.148    4151.000     229.980  
        17.9        0.36      0.2579      0.3781      0.5216      43.302    4265.174     234.026  
        22.4        0.44      0.3201      0.3853      0.5353      44.441    4376.694     238.522  
        26.8        0.53      0.3807      0.3915      0.5488      45.568    4487.328     242.344  
        31.3        0.62      0.4388      0.3965      0.5625      46.708    4599.733     245.491  
        35.8        0.71      0.4977      0.4004      0.5725      47.526    4681.160     247.964  
        40.3        0.80      0.5484      0.4008      0.5849      48.558    4782.058     247.964  
        44.7        0.89      0.5948      0.3984      0.5955      49.443    4869.680     246.615  
        49.2        0.98      0.6369      0.3930      0.6039      50.141    4937.831     243.243  
        53.7        1.07      0.6782      0.3856      0.6067      50.369    4960.843     238.747  
        58.2        1.16      0.7148      0.3749      0.6065      50.355    4958.188     232.003  
        62.6        1.25      0.7447      0.3604      0.6025      50.020    4926.325     223.055  
        67.1        1.33      0.7735      0.3437      0.5929      49.229    4847.554     212.759  
        71.6        1.42      0.7990      0.3248      0.5785      48.035    4729.839     201.047  
        76.1        1.51      0.8218      0.3041      0.5595      46.453    4574.066     188.233  
        80.5        1.60      0.8430      0.2821      0.5358      44.482    4380.234     174.609  
        85.0        1.69      0.8594      0.2584      0.5080      42.175    4153.655     159.907  
        89.5        1.78      0.8740      0.2342      0.4766      39.574    3896.098     144.934  
        94.0        1.87      0.8868      0.2095      0.4413      36.637    3608.449     129.692  
        98.4        1.96      0.8974      0.1844      0.4022      33.391    3288.052     114.158  
       102.9        2.05      0.9056      0.1589      0.3590      29.797    2934.907      98.354  
       107.4        2.13      0.9104      0.1329      0.3117      25.882    2548.130      82.280  
       111.8        2.22      0.9098      0.1065      0.2602      21.604    2127.719      65.914  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3559      0.4814      56.913    4981.200     278.763  
         4.5        0.08      0.0584      0.3598      0.4868      57.557    5037.845     281.910  
         8.9        0.16      0.1166      0.3643      0.4940      58.401    5111.306     285.283  
        13.4        0.24      0.1741      0.3694      0.5031      59.474    5206.009     289.329  
        17.9        0.32      0.2306      0.3751      0.5144      60.815    5323.724     293.825  
        22.4        0.40      0.2871      0.3818      0.5256      62.143    5439.668     299.221  
        26.8        0.47      0.3430      0.3884      0.5371      63.484    5557.383     304.167  
        31.3        0.55      0.3936      0.3930      0.5527      65.334    5719.352     307.988  
        35.8        0.63      0.4451      0.3973      0.5645      66.743    5841.492     311.136  
        40.3        0.71      0.4939      0.4000      0.5762      68.110    5961.863     313.384  
        44.7        0.79      0.5439      0.4015      0.5838      69.022    6041.519     314.733  
        49.2        0.87      0.5862      0.4000      0.5936      70.176    6142.418     313.384  
        53.7        0.95      0.6251      0.3961      0.6015      71.101    6223.845     310.461  
        58.2        1.03      0.6605      0.3899      0.6070      71.758    6280.489     305.515  
        62.6        1.11      0.6958      0.3823      0.6082      71.892    6292.880     299.446  
        67.1        1.19      0.7246      0.3711      0.6072      71.785    6283.145     290.678  
