Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 043 Ah Ag,KDE6213XF-185,41x11_5_1800_51_330,1.7,0.43,0.415,0.757,76.05,726.20,28.00,62.08,17.22,9855.09,351.97,13.99,55.17,526.84,15.58,137.21,9.09,2900.00,186.14,18.21,29.15,278.38,5.10,137.10,2.55,268.67,52.63,29.11,2755.00,50.00,0.01,0.01,6.735232355870561,62.08,0.9395721125876663,0.0002443390061652982
Eagle 043 Ah Ag,KDE6213XF-185,41x11_6_1800_51_340,1.7,0.43,0.415,0.889,74.70,713.29,28.00,62.47,17.27,9883.66,352.99,13.74,54.17,517.25,15.55,143.13,9.11,2900.00,186.48,17.91,28.60,273.09,5.08,143.02,2.55,267.17,52.63,28.72,2755.00,50.00,0.01,0.01,7.263232355870562,62.47,0.8767435121236468,0.00024363296410663193
Eagle 043 Ah Ag,KDE6213XF-185,41x12_2_1600_51_240,1.7,0.43,0.415,0.359,78.95,753.89,28.00,52.94,17.12,9793.83,349.78,14.52,57.37,547.82,15.64,85.85,9.06,2900.00,185.40,18.86,30.39,290.23,5.17,85.85,2.55,272.04,52.63,29.98,2755.00,50.00,0.01,0.01,5.143232355870562,52.94,1.0492495332566576,0.0002458688318371548
Eagle 043 Ah Ag,KDE6213XF-185,41x12_3_1600_51_250,1.7,0.43,0.415,0.491,76.40,729.61,28.00,53.76,17.21,9847.54,351.70,14.06,55.45,529.49,15.59,93.03,9.09,2900.00,186.05,18.29,29.31,279.92,5.11,92.97,2.55,269.11,52.63,29.23,2755.00,50.00,0.01,0.01,5.671232355870561,53.76,0.9663018512169205,0.000244526585157805
Eagle 043 Ah Ag,KDE6213XF-185,41x12_4_1600_51_270,1.7,0.43,0.415,0.627,73.06,697.68,28.00,54.31,17.33,9918.20,354.22,13.44,52.96,505.69,15.52,102.78,9.13,2900.00,186.89,17.55,27.93,266.74,5.04,102.73,2.55,265.36,52.63,28.24,2755.00,50.00,0.01,0.01,6.215232355870562,54.31,0.8907450673958031,0.00024278696855061825
Eagle 043 Ah Ag,KDE6213XF-185,41x12_5_1600_51_280,1.7,0.43,0.415,0.759,71.47,682.47,28.00,54.78,17.39,9951.85,355.42,13.15,51.76,494.24,15.48,108.36,9.15,2900.00,187.30,17.19,27.26,260.34,5.01,108.31,2.55,263.54,52.63,27.76,2755.00,50.00,0.01,0.01,6.743232355870562,54.78,0.8281040255814084,0.00024196725001406788
Eagle 043 Ah Ag,KDE6213XF-185,41x12_6_1600_51_290,1.7,0.43,0.415,0.892,70.02,668.60,28.00,55.15,17.45,9982.55,356.52,12.88,50.68,483.92,15.45,113.66,9.17,2900.00,187.67,16.87,26.67,254.65,4.98,113.62,2.55,261.92,52.63,27.32,2755.00,50.00,0.01,0.01,7.275232355870562,55.15,0.7727333231479686,0.00024122068888140922
Eagle 043 Ah Ag,KDE6213XF-185,41x13_2_1200_41_140,1.7,0.43,0.415,0.372,72.98,696.92,28.00,51.74,17.34,9919.88,354.28,13.43,52.90,505.14,15.52,55.17,9.13,2900.00,186.91,17.53,27.90,266.46,5.04,55.09,2.55,265.28,52.63,28.22,2755.00,50.00,0.01,0.01,5.195232355870562,51.74,1.0152019444994629,0.0002427458507395281
Eagle 043 Ah Ag,KDE6213XF-185,41x13_3_1200_41_150,1.7,0.43,0.415,0.508,69.44,663.09,28.00,52.37,17.47,9994.74,356.95,12.77,50.25,479.86,15.44,61.71,9.18,2900.00,187.82,16.74,26.44,252.44,4.96,61.68,2.55,261.29,52.63,27.15,2755.00,50.00,0.01,0.01,5.739232355870562,52.37,0.9301644962730895,0.00024093010225521784
Eagle 043 Ah Ag,KDE6213XF-185,41x13_4_1200_41_150,1.7,0.43,0.415,0.635,68.99,658.83,28.00,53.15,17.48,10004.17,357.29,12.69,49.90,476.52,15.43,63.45,9.18,2900.00,187.94,16.63,26.23,250.48,4.95,63.41,2.55,260.74,52.63,26.99,2755.00,50.00,0.01,0.01,6.247232355870562,53.15,0.8672545805928286,0.0002407008312575219
