Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 200 Ah Li,KDE7208XF-135,41x14_6_1400_51_240,63.5,200,0.445,0.91,62.93,600.94,33.30,51.08,18.02,8948.85,268.73,13.34,43.88,419.01,17.20,99.68,8.79,2257.89,131.29,17.98,29.83,284.87,8.66,99.58,4.07,528.97,61.05,24.17,2145.00,58.00,0.40,0.15,69.26723235587056,51.08,0.07517164357878732,0.148848286384103
Eagle 200 Ah Li,KDE7208XF-135,41x15_2_1000_41_110,63.5,200,0.445,0.376,67.32,642.84,33.30,42.90,17.83,8852.56,265.84,14.27,47.04,449.15,17.32,37.37,8.73,2257.89,130.36,19.14,32.10,306.48,8.82,37.37,4.07,538.74,61.05,25.54,2145.00,58.00,0.40,0.15,67.13123235587057,37.37,0.056745244379412134,0.30684258975145745
Eagle 200 Ah Li,KDE7208XF-135,41x15_3_1000_41_110,63.5,200,0.445,0.503,66.10,631.19,33.30,43.46,17.88,8879.33,266.65,14.01,46.15,440.67,17.29,39.26,8.74,2257.89,130.62,18.81,31.45,300.34,8.78,39.24,4.07,535.97,61.05,25.16,2145.00,58.00,0.40,0.15,67.63923235587056,39.24,0.05913727670584409,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x15_4_1000_41_120,63.5,200,0.445,0.643,62.75,599.23,33.30,43.87,18.03,8952.78,268.85,13.30,43.75,417.75,17.19,43.96,8.79,2257.89,131.33,17.93,29.73,283.95,8.66,43.94,4.07,528.55,61.05,24.12,2145.00,58.00,0.40,0.15,68.19923235587056,43.87,0.06557210727664906,0.14878184861446903
Eagle 200 Ah Li,KDE7208XF-135,41x15_5_1000_41_120,63.5,200,0.445,0.771,62.44,596.28,33.30,44.36,18.04,8959.55,269.06,13.24,43.51,415.50,17.18,44.89,8.80,2257.89,131.40,17.84,29.56,282.26,8.64,44.88,4.07,527.79,61.05,24.01,2145.00,58.00,0.40,0.15,68.71123235587056,44.36,0.06581043967316247,0.14866572511707427
Eagle 200 Ah Li,KDE7208XF-135,41x15_6_1000_41_130,63.5,200,0.445,0.91,59.79,570.93,33.30,44.62,18.16,9017.80,270.80,12.67,41.62,397.41,17.11,49.24,8.84,2257.89,131.96,17.14,28.21,269.40,8.55,49.20,4.07,521.97,61.05,23.17,2145.00,58.00,0.40,0.15,69.26723235587056,44.62,0.0656648147315092,0.14771048744460857
Eagle 200 Ah Li,KDE7208XF-135,41x16_2_1200_51_160,63.5,200,0.445,0.375,66.79,637.80,33.30,41.30,17.85,8864.15,266.19,14.16,46.68,445.73,17.31,52.60,8.73,2257.89,130.46,19.01,31.85,304.14,8.81,52.57,4.07,537.69,61.05,25.39,2145.00,58.00,0.40,0.15,67.12723235587056,41.3,0.06271657058645141,0.15026860513167287
Eagle 200 Ah Li,KDE7208XF-135,41x16_3_1200_51_170,63.5,200,0.445,0.51,63.59,607.26,33.30,41.70,17.99,8934.32,268.30,13.48,44.37,423.73,17.22,58.59,8.78,2257.89,131.14,18.16,30.19,288.33,8.69,58.57,4.07,530.54,61.05,24.40,2145.00,58.00,0.40,0.15,67.66723235587057,41.7,0.06281865502697928,0.14908684308609765
Eagle 200 Ah Li,KDE7208XF-135,41x16_4_1200_51_170,63.5,200,0.445,0.638,63.02,601.76,33.30,42.22,18.02,8946.95,268.68,13.36,43.95,419.67,17.20,60.42,8.79,2257.89,131.27,18.01,29.88,285.37,8.67,60.40,4.07,529.20,61.05,24.21,2145.00,58.00,0.40,0.15,68.17923235587057,42.22,0.06312437838997245,0.14887598630340926
Eagle 200 Ah Li,KDE7208XF-135,41x16_5_1200_51_180,63.5,200,0.445,0.774,60.93,581.87,33.30,42.58,18.11,8992.66,270.05,12.92,42.46,405.43,17.14,65.15,8.82,2257.89,131.71,17.45,28.82,275.21,8.59,65.10,4.07,524.60,61.05,23.55,2145.00,58.00,0.40,0.15,68.72323235587056,42.58,0.06315868390473736,0.14812071838548416
