        90x48_5_400_51_540                                 (90x48_5_400_51_540.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3938      1.1047       4.196    1322.301      32.912  
         4.5        0.26      0.0981      0.4155      1.1113       4.222    1330.267      34.711  
         8.9        0.52      0.2039      0.4473      1.1520       4.376    1378.946      37.386  
        13.4        0.79      0.3105      0.4880      1.2371       4.700    1480.730      40.758  
        17.9        1.05      0.4102      0.5337      1.3662       5.188    1634.733      44.602  
        22.4        1.31      0.5004      0.5763      1.5111       5.740    1809.092      48.154  
        26.8        1.57      0.5801      0.6066      1.6462       6.252    1970.176      50.672  
        31.3        1.84      0.6477      0.6139      1.7412       6.614    2084.351      51.301  
        35.8        2.10      0.7061      0.5949      1.7692       6.721    2117.984      49.728  
        40.3        2.36      0.7457      0.5504      1.7436       6.623    2087.006      45.996  
        44.7        2.62      0.7783      0.5023      1.6937       6.433    2026.821      41.972  
        49.2        2.89      0.8070      0.4519      1.6170       6.143    1935.658      37.768  
        53.7        3.15      0.8319      0.4000      1.5147       5.753    1812.633      33.429  
        58.2        3.41      0.8528      0.3458      1.3832       5.254    1655.975      28.888  
        62.6        3.67      0.8689      0.2893      1.2237       4.647    1464.798      24.167  
        67.1        3.94      0.8778      0.2305      1.0340       3.928    1237.334      19.264  
        71.6        4.20      0.8732      0.1693      0.8143       3.094     974.467      14.152  
        76.1        4.46      0.8356      0.1057      0.5641       2.143     675.223       8.828  
        80.5        4.72      0.6577      0.0394      0.2829       1.074     338.630       3.291  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3942      1.1036       7.244    1902.025      47.412  
         4.5        0.22      0.0813      0.4112      1.1071       7.266    1908.221      49.503  
         8.9        0.44      0.1684      0.4360      1.1325       7.433    1952.475      52.448  
        13.4        0.66      0.2582      0.4670      1.1872       7.791    2046.292      56.202  
        17.9        0.87      0.3452      0.5031      1.2748       8.371    2198.525      60.541  
        22.4        1.09      0.4260      0.5414      1.3905       9.126    2396.782      65.172  
        26.8        1.31      0.5015      0.5771      1.5098       9.910    2602.119      69.421  
        31.3        1.53      0.5672      0.6023      1.6267      10.673    2803.031      72.501  
        35.8        1.75      0.6261      0.6139      1.7168      11.265    2957.919      73.895  
        40.3        1.97      0.6774      0.6073      1.7655      11.586    3042.886      73.108  
        44.7        2.19      0.7226      0.5825      1.7631      11.576    3039.346      70.095  
        49.2        2.41      0.7524      0.5434      1.7375      11.404    2995.092      65.397  
        53.7        2.62      0.7793      0.5031      1.6937      11.120    2919.861      60.541  
        58.2        2.84      0.8035      0.4616      1.6328      10.717    2814.537      55.528  
        62.6        3.06      0.8251      0.4186      1.5525      10.192    2676.466      50.357  
        67.1        3.28      0.8442      0.3740      1.4538       9.540    2505.646      45.007  
        71.6        3.50      0.8605      0.3281      1.3345       8.758    2299.424      39.476  
        76.1        3.72      0.8732      0.2806      1.1948       7.842    2059.569      33.766  
        80.5        3.94      0.8809      0.2315      1.0347       6.791    1783.425      27.854  
        85.0        4.16      0.8799      0.1807      0.8535       5.603    1470.994      21.748  
        89.5        4.37      0.8614      0.1282      0.6512       4.274    1122.275      15.429  
        94.0        4.59      0.7950      0.0739      0.4273       2.804     736.382       8.898  
        98.4        4.81      0.4732      0.0178      0.1814       1.191     312.785       2.147  



         PROP RPM =       280

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3942      1.1028      11.494    2587.073      64.543  
         4.5        0.19      0.0694      0.4085      1.1044      11.511    2590.613      66.903  
         8.9        0.37      0.1432      0.4283      1.1215      11.690    2631.327      70.163  
        13.4        0.56      0.2200      0.4535      1.1588      12.077    2718.064      74.232  
        17.9        0.75      0.2966      0.4825      1.2200      12.710    2861.446      79.020  
        22.4        0.94      0.3693      0.5143      1.3065      13.611    3064.128      84.258  
        26.8        1.12      0.4406      0.5492      1.4015      14.617    3288.937      89.946  
        31.3        1.31      0.5024      0.5775      1.5086      15.730    3539.413      94.600  
        35.8        1.50      0.5603      0.6007      1.6085      16.763    3773.958      98.421  
        40.3        1.69      0.6105      0.6128      1.6937      17.661    3973.985     100.377  
        44.7        1.87      0.6571      0.6135      1.7509      18.238    4106.746     100.490  
        49.2        2.06      0.6999      0.6011      1.7704      18.452    4154.540      98.444  
        53.7        2.25      0.7322      0.5725      1.7582      18.332    4126.218      93.745  
        58.2        2.44      0.7572      0.5383      1.7339      18.064    4066.918      88.193  
        62.6        2.62      0.7800      0.5039      1.6949      17.675    3977.525      82.527  
        67.1        2.81      0.8009      0.4682      1.6438      17.138    3857.155      76.682  
        71.6        3.00      0.8200      0.4318      1.5792      16.454    3704.037      70.702  
        76.1        3.19      0.8373      0.3942      1.5001      15.636    3519.057      64.543  
        80.5        3.37      0.8527      0.3553      1.4063      14.657    3299.558      58.203  
        85.0        3.56      0.8659      0.3155      1.2980      13.531    3044.657      51.684  
        89.5        3.75      0.8765      0.2746      1.1745      12.241    2755.237      44.962  
        94.0        3.94      0.8832      0.2324      1.0358      10.797    2430.415      38.060  
        98.4        4.12      0.8840      0.1890      0.8817       9.190    2068.419      30.956  
       102.9        4.31      0.8741      0.1443      0.7119       7.420    1670.136      23.627  
       107.4        4.50      0.8409      0.0983      0.5263       5.485    1234.679      16.108  
       111.8        4.69      0.7372      0.0510      0.3245       3.382     761.341       8.361  



         PROP RPM =       320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3942      1.1021      17.152    3376.560      84.326  
         4.5        0.16      0.0605      0.4066      1.1028      17.152    3379.215      86.979  
         8.9        0.33      0.1245      0.4228      1.1147      17.339    3415.503      90.486  
        13.4        0.49      0.1912      0.4434      1.1414      17.755    3496.930      94.892  
        17.9        0.66      0.2589      0.4678      1.1851      18.439    3631.461     100.040  
        22.4        0.82      0.3250      0.4946      1.2481      19.418    3823.522     105.773  
        26.8        0.98      0.3890      0.5240      1.3260      20.638    4063.377     112.135  
        31.3        1.15      0.4489      0.5531      1.4149      22.006    4335.095     118.317  
        35.8        1.31      0.5030      0.5783      1.5086      23.468    4620.974     123.667  
        40.3        1.48      0.5552      0.6000      1.5951      24.822    4889.152     128.366  
