        69x23_3_600_36_310                                 (69x23_3_600_36_310.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3299      0.5697       1.935     406.426      21.429  
         4.5        0.23      0.1336      0.3423      0.5847       1.985     417.047      22.236  
         8.9        0.46      0.2674      0.3604      0.6151       2.089     438.820      23.403  
        13.4        0.68      0.3970      0.3797      0.6547       2.223     467.054      24.662  
        17.9        0.91      0.5126      0.3922      0.6987       2.372     498.386      25.471  
        22.4        1.14      0.6128      0.3942      0.7343       2.493     523.787      25.606  
        26.8        1.37      0.6929      0.3811      0.7532       2.557     537.240      24.751  
        31.3        1.60      0.7580      0.3537      0.7454       2.531     531.753      22.975  
        35.8        1.83      0.8127      0.3146      0.7068       2.400     504.227      20.437  
        40.3        2.05      0.8488      0.2659      0.6435       2.185     459.088      17.274  
        44.7        2.28      0.8765      0.2151      0.5600       1.902     399.434      13.970  
        49.2        2.51      0.8934      0.1619      0.4550       1.545     324.557      10.519  
        53.7        2.74      0.8897      0.1064      0.3275       1.112     233.660       6.913  
        58.2        2.97      0.8125      0.0484      0.1769       0.601     126.212       3.145  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3300      0.5687       3.338     584.238      30.866  
         4.5        0.19      0.1115      0.3400      0.5801       3.404     595.832      31.810  
         8.9        0.38      0.2230      0.3537      0.6034       3.540     619.906      33.092  
        13.4        0.57      0.3342      0.3708      0.6329       3.713     650.087      34.688  
        17.9        0.76      0.4359      0.3846      0.6710       3.937     689.296      35.969  
        22.4        0.95      0.5298      0.3934      0.7062       4.144     725.407      36.801  
        26.8        1.14      0.6141      0.3949      0.7337       4.305     753.730      36.936  
        31.3        1.33      0.6806      0.3845      0.7521       4.413     772.493      35.969  
        35.8        1.52      0.7380      0.3645      0.7516       4.409     772.051      34.104  
        40.3        1.71      0.7871      0.3359      0.7304       4.286     750.278      31.406  
        44.7        1.90      0.8269      0.2991      0.6881       4.036     706.732      27.989  
        49.2        2.09      0.8554      0.2581      0.6312       3.704     648.406      24.144  
        53.7        2.28      0.8781      0.2155      0.5601       3.287     575.387      20.159  
        58.2        2.47      0.8938      0.1714      0.4741       2.781     486.968      16.031  
        62.6        2.66      0.8978      0.1256      0.3726       2.186     382.706      11.749  
        67.1        2.85      0.8747      0.0782      0.2550       1.495     261.894       7.311  
        71.6        3.04      0.7296      0.0290      0.1208       0.709     124.087       2.709  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3301      0.5680       5.293     794.177      42.017  
         4.5        0.16      0.0956      0.3385      0.5770       5.376     806.834      43.096  
         8.9        0.33      0.1917      0.3496      0.5946       5.540     831.262      44.512  
        13.4        0.49      0.2870      0.3635      0.6193       5.770     865.868      46.266  
        17.9        0.65      0.3784      0.3770      0.6497       6.053     908.087      47.997  
        22.4        0.82      0.4665      0.3884      0.6788       6.324     948.800      49.458  
        26.8        0.98      0.5459      0.3953      0.7083       6.599     990.398      50.335  
        31.3        1.14      0.6150      0.3953      0.7335       6.834    1025.801      50.335  
        35.8        1.30      0.6738      0.3873      0.7498       6.985    1047.928      49.323  
        40.3        1.47      0.7235      0.3718      0.7539       7.024    1054.124      47.322  
        44.7        1.63      0.7676      0.3495      0.7424       6.917    1038.193      44.490  
        49.2        1.79      0.8091      0.3225      0.7147       6.660     999.249      41.050  
        53.7        1.96      0.8366      0.2880      0.6736       6.276     941.719      36.666  
        58.2        2.12      0.8601      0.2525      0.6223       5.799     870.117      32.148  
        62.6        2.28      0.8794      0.2160      0.5605       5.222     783.645      27.494  
        67.1        2.45      0.8937      0.1782      0.4877       4.543     681.773      22.683  
        71.6        2.61      0.9006      0.1393      0.4034       3.758     563.881      17.728  
        76.1        2.77      0.8935      0.0991      0.3073       2.863     429.704      12.614  
        80.5        2.93      0.8488      0.0577      0.1993       1.857     278.710       7.340  
        85.0        3.10      0.5850      0.0149      0.0790       0.736     110.546       1.901  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3301      0.5674       7.892    1036.422      54.898  
         4.5        0.14      0.0837      0.3373      0.5748       7.995    1049.698      56.090  
         8.9        0.29      0.1680      0.3467      0.5886       8.186    1074.481      57.641  
        13.4        0.43      0.2511      0.3580      0.6100       8.485    1114.309      59.529  
        17.9        0.57      0.3353      0.3712      0.6316       8.784    1153.252      61.733  
        22.4        0.71      0.4137      0.3822      0.6589       9.163    1202.816      63.554  
        26.8        0.86      0.4859      0.3907      0.6878       9.565    1255.921      64.947  
        31.3        1.00      0.5548      0.3957      0.7121       9.903    1300.175      65.802  
        35.8        1.14      0.6157      0.3957      0.7334      10.200    1339.118      65.802  
        40.3        1.28      0.6685      0.3895      0.7482      10.406    1366.555      64.790  
        44.7        1.43      0.7137      0.3772      0.7538      10.484    1376.291      62.722  
        49.2        1.57      0.7527      0.3591      0.7486      10.412    1367.440      59.709  
        53.7        1.71      0.7882      0.3367      0.7312      10.169    1335.578      55.977  
        58.2        1.85      0.8206      0.3102      0.7010       9.749    1279.818      51.571  
        62.6        2.00      0.8436      0.2798      0.6623       9.211    1209.012      46.513  
        67.1        2.14      0.8635      0.2485      0.6157       8.564    1124.045      41.320  
        71.6        2.28      0.8803      0.2164      0.5610       7.802    1024.031      35.992  
        76.1        2.42      0.8934      0.1834      0.4978       6.924     908.972      30.507  
        80.5        2.57      0.9014      0.1495      0.4258       5.922     777.627      24.864  
        85.0        2.71      0.9008      0.1146      0.3449       4.798     629.908      19.066  
        89.5        2.85      0.8826      0.0789      0.2550       3.546     465.549      13.115  
        94.0        3.00      0.8106      0.0421      0.1555       2.163     284.020       6.998  
        98.4        3.14      0.2897      0.0043      0.0466       0.649      85.188       0.716  



         PROP RPM =       540

