        90x48_4_400_51_530                                 (90x48_4_400_51_530.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3779      1.0657       4.047    1275.392      31.586  
         4.5        0.26      0.0977      0.3988      1.0713       4.069    1282.473      33.317  
         8.9        0.52      0.2032      0.4298      1.1108       4.219    1329.382      35.924  
        13.4        0.79      0.3095      0.4694      1.1946       4.538    1430.281      39.229  
        17.9        1.05      0.4086      0.5139      1.3199       5.014    1579.858      42.939  
        22.4        1.31      0.4984      0.5546      1.4599       5.546    1748.022      46.333  
        26.8        1.57      0.5773      0.5829      1.5902       6.040    1903.795      48.716  
        31.3        1.84      0.6445      0.5907      1.6840       6.394    2015.315      49.346  
        35.8        2.10      0.7058      0.5756      1.7120       6.501    2048.948      48.087  
        40.3        2.36      0.7431      0.5318      1.6913       6.423    2024.166      44.445  
        44.7        2.62      0.7759      0.4868      1.6474       6.256    1971.061      40.690  
        49.2        2.89      0.8048      0.4399      1.5780       5.996    1889.634      36.779  
        53.7        3.15      0.8301      0.3911      1.4843       5.636    1776.345      32.687  
        58.2        3.41      0.8517      0.3400      1.3625       5.174    1630.307      28.416  
        62.6        3.67      0.8687      0.2867      1.2127       4.606    1451.522      23.965  
        67.1        3.94      0.8791      0.2310      1.0346       3.929    1238.219      19.304  
        71.6        4.20      0.8779      0.1729      0.8271       3.142     990.398      14.448  
        76.1        4.46      0.8494      0.1123      0.5898       2.241     706.024       9.384  
        80.5        4.72      0.7195      0.0491      0.3222       1.224     385.716       4.101  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3780      1.0647       6.988    1834.760      45.501  
         4.5        0.22      0.0809      0.3949      1.0672       7.005    1839.185      47.502  
         8.9        0.44      0.1678      0.4186      1.0920       7.168    1882.554      50.380  
        13.4        0.66      0.2573      0.4492      1.1455       7.518    1974.601      54.067  
        17.9        0.87      0.3439      0.4845      1.2322       8.088    2124.179      58.293  
        22.4        1.09      0.4276      0.5232      1.3382       8.782    2306.504      62.969  
        26.8        1.31      0.4994      0.5554      1.4587       9.578    2515.382      66.813  
        31.3        1.53      0.5644      0.5794      1.5719      10.318    2709.213      69.713  
        35.8        1.75      0.6229      0.5907      1.6596      10.892    2860.561      71.085  
        40.3        1.97      0.6773      0.5872      1.7071      11.202    2941.988      70.657  
        44.7        2.19      0.7198      0.5620      1.7071      11.208    2942.873      67.623  
        49.2        2.41      0.7498      0.5256      1.6864      11.066    2905.700      63.216  
        53.7        2.62      0.7768      0.4876      1.6474      10.815    2840.204      58.675  
        58.2        2.84      0.8012      0.4488      1.5926      10.452    2744.616      53.999  
        62.6        3.06      0.8231      0.4085      1.5196       9.972    2618.936      49.143  
        67.1        3.28      0.8426      0.3666      1.4270       9.370    2460.507      44.108  
        71.6        3.50      0.8594      0.3233      1.3162       8.642    2269.331      38.914  
        76.1        3.72      0.8729      0.2784      1.1860       7.785    2044.522      33.497  
        80.5        3.94      0.8818      0.2319      1.0353       6.796    1784.310      27.899  
        85.0        4.16      0.8832      0.1837      0.8644       5.674    1489.581      22.103  
        89.5        4.37      0.8698      0.1338      0.6726       4.415    1159.448      16.094  
        94.0        4.59      0.8192      0.0820      0.4599       3.019     792.584       9.869  
        98.4        4.81      0.6065      0.0285      0.2257       1.482     389.079       3.424  



         PROP RPM =       280

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3782      1.0640      11.089    2495.910      61.935  
         4.5        0.19      0.0690      0.3922      1.0649      11.100    2498.566      64.228  
         8.9        0.37      0.1426      0.4112      1.0814      11.270    2536.624      67.375  
        13.4        0.56      0.2192      0.4356      1.1178      11.649    2622.476      71.354  
        17.9        0.75      0.2956      0.4643      1.1774      12.272    2762.318      76.008  
        22.4        0.94      0.3698      0.4965      1.2590      13.115    2952.609      81.313  
        26.8        1.12      0.4387      0.5283      1.3540      14.121    3177.418      86.507  
        31.3        1.31      0.5001      0.5558      1.4587      15.194    3420.813      91.025  
        35.8        1.50      0.5574      0.5775      1.5549      16.200    3646.507      94.622  
        40.3        1.69      0.6072      0.5895      1.6377      17.071    3842.109      96.533  
        44.7        1.87      0.6537      0.5903      1.6937      17.648    3972.215      96.713  
        49.2        2.06      0.6978      0.5798      1.7132      17.862    4020.009      94.959  
        53.7        2.25      0.7294      0.5523      1.7034      17.755    3996.997      90.486  
        58.2        2.44      0.7544      0.5209      1.6827      17.541    3947.433      85.293  
        62.6        2.62      0.7774      0.4883      1.6486      17.192    3868.661      79.987  
        67.1        2.81      0.7985      0.4550      1.6024      16.709    3759.797      74.547  
        71.6        3.00      0.8178      0.4209      1.5439      16.092    3620.840      68.926  
        76.1        3.19      0.8354      0.3854      1.4709      15.328    3450.021      63.126  
        80.5        3.37      0.8511      0.3490      1.3832      14.416    3246.454      57.169  
        85.0        3.56      0.8649      0.3114      1.2821      13.369    3009.254      51.009  
        89.5        3.75      0.8761      0.2727      1.1670      12.163    2737.536      44.670  
        94.0        3.94      0.8839      0.2327      1.0366      10.803    2432.185      38.128  
        98.4        4.12      0.8865      0.1915      0.8910       9.288    2090.546      31.361  
       102.9        4.31      0.8799      0.1491      0.7303       7.612    1713.504      24.414  
       107.4        4.50      0.8546      0.1053      0.5541       5.776    1300.175      17.238  
       111.8        4.69      0.7779      0.0601      0.3622       3.776     849.937       9.849  



         PROP RPM =       320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3782      1.0633      16.548    3257.960      80.909  
         4.5        0.16      0.0602      0.3903      1.0635      16.548    3258.845      83.472  
         8.9        0.33      0.1240      0.4062      1.0748      16.723    3293.363      86.889  
        13.4        0.49      0.1905      0.4263      1.1007      17.125    3373.019      91.160  
        17.9        0.66      0.2580      0.4496      1.1437      17.795    3504.895      96.196  
        22.4        0.82      0.3238      0.4759      1.2053      18.747    3693.416     101.794  
        26.8        0.98      0.3874      0.5042      1.2809      19.928    3926.191     107.886  
        31.3        1.15      0.4469      0.5321      1.3674      21.269    4188.173     113.798  
        35.8        1.31      0.5007      0.5562      1.4575      22.677    4466.972     118.991  
        40.3        1.48      0.5523      0.5767      1.5415      23.977    4723.643     123.353  
        44.7        1.64      0.5980      0.5895      1.6170      25.158    4954.648     126.095  
        49.2        1.80      0.6380      0.5926      1.6754      26.069    5134.318     126.747  
        53.7        1.97      0.6764      0.5872      1.7083      26.592    5236.101     125.601  
        58.2        2.13      0.7131      0.5725      1.7120      26.646    5246.722     122.476  
        62.6        2.30      0.7363      0.5453      1.7010      26.458    5211.319     116.653  
