weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,motor_max_current,motor_max_power,voltage,hover_omega_rpm,hover_thrust,hover_power,hover_current,hover_torque,flying_speed,flying_omega_rpm,flying_thrust,flying_power,flying_current,flying_torque,flying_j,hover_thrust_per_weight,hover_power_per_weight,hover_thrust_per_power,flying_thrust_per_weight,flying_power_per_weight,flying_thrust_per_power,motor_name,propeller_name
1.3940037,0.6604,7000.0,1000.0,0.78,149.47368,7742.1055,51.8,5245.68,150.15,4364.85,84.26,7.19,40.0,5349.65,32.11,2017.41,38.95,3.27,0.6793269,107.711334,3131.161,0.034399807,23.03437,1447.2056,0.015916448,kde_direct_KDE10218XF_105,apc_propellers_26x15E
2.3340037,0.6604,7000.0,1000.0,0.78,157.89473,9615.789,51.8,5352.22,156.36,3466.47,66.92,7.5,40.0,5396.55,34.43,1695.89,32.74,3.47,0.67342305,66.99218,1485.2032,0.045106404,14.751475,726.60126,0.020302024,kde_direct_KDE13218XF_105,apc_propellers_26x15E
0.38608143,0.22352,25000.0,4000.0,1.27,65.26316,1931.579,51.8,16734.88,19.96,1348.57,26.03,0.69,40.0,16684.93,20.11,1536.17,29.66,0.79,0.64353245,51.69894,3492.9678,0.014800863,52.08746,3978.8757,0.013090999,kde_direct_KDE5215XF_330,apc_propellers_8_8x8_9
0.38608143,0.22352,24000.0,1000.0,1.32,65.26316,1931.579,51.8,16714.69,20.09,1424.42,27.5,0.73,40.0,16656.44,20.31,1643.14,31.72,0.85,0.6446332,52.035656,3689.429,0.014103986,52.605484,4255.9414,0.012360481,kde_direct_KDE5215XF_330,apc_propellers_8_8x9_0
0.38608143,0.22352,20000.0,1000.0,1.38,65.26316,1931.579,51.8,16701.3,20.02,1474.69,28.47,0.76,40.0,16635.05,20.5,1723.48,33.27,0.89,0.6454621,51.854347,3819.6348,0.013575735,53.097607,4464.032,0.011894539,kde_direct_KDE5215XF_330,apc_propellers_8_8x9_5
0.38608143,0.22352,26000.0,1000.0,1.38,65.26316,1931.579,51.8,16700.11,20.06,1479.17,28.56,0.76,40.0,16633.83,20.55,1728.06,33.36,0.9,0.6455094,51.95795,3831.2385,0.0135616595,53.227116,4475.895,0.011891948,kde_direct_KDE5215XF_330,apc_propellers_8_8x9_75
0.48099735,0.3302,13000.0,1000.0,1.33,52.63158,2900.0,51.8,9202.24,41.24,1558.65,30.09,1.44,40.0,9045.41,31.87,2200.68,42.48,2.05,0.8035371,85.73852,3240.4546,0.026458794,66.25816,4575.2437,0.014481887,kde_direct_KDE6213XF_185,apc_propellers_13x14
0.6719571,0.2794,19000.0,1000.0,1.36,60.0,3157.8948,51.8,10110.41,24.54,2818.27,54.41,2.34,40.0,10364.49,20.43,1410.34,27.23,1.13,0.8287755,36.52019,4194.122,0.008707469,30.403728,2098.8542,0.014485869,kde_direct_KDE6815XF_205,apc_propellers_11x12
0.69599736,0.3302,13000.0,1000.0,1.33,60.0,3157.8948,44.4,8807.5,37.73,1398.8,31.5,1.32,40.0,8700.43,27.77,1907.34,42.96,1.83,0.835398,54.209976,2009.7778,0.026973119,39.89958,2740.4414,0.014559544,kde_direct_KDE6815XF_205,apc_propellers_13x14
0.7200033,0.254,21000.0,1000.0,0.7,142.10527,7363.1577,44.4,19600.79,60.38,6175.52,139.09,2.73,40.0,20009.23,28.08,1980.13,44.6,0.84,0.472223,83.860725,8577.071,0.009777314,38.99982,2750.168,0.0141808875,kde_direct_KDE700XF_455_G3,apc_propellers_10x5E
