ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,CORPUS,COST,ESC_BEC_Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT_10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,MODEL_NAME,Max_Cells,Min_Cells,PROP_PITCH_REC,PROP_SIZE_REC,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT
6,26,55.6,6.0,Both,84.99,2.0,125.0,0.6,0.09003163161571061,0.03183098861837907,300.0,25.0,20.0,500.0,t_motor_AntigravityMN5006KV300,t_motor_AntigravityMN5006KV300,6,4,"4,12","16,20",,4.0,30.0,0.108
6,26,55.6,6.0,Both,84.99,2.0,60.0,0.9,0.08663297791485292,0.02122065907891938,450.0,25.0,26.0,650.0,t_motor_AntigravityMN5006KV450,t_motor_AntigravityMN5006KV450,6,4,"4,12","14,18",,4.0,30.0,0.106
6,26,55.6,8.0,Both,89.99,2.0,270.0,0.4,0.10810370498466511,0.05617233285596306,170.0,27.0,15.0,720.0,t_motor_AntigravityMN5008KV170,t_motor_AntigravityMN5008KV170,12,6,"4,12","16,20",,4.0,32.0,0.128
6,26,55.6,8.0,Both,89.99,2.0,55.0,0.9,0.11975981604257117,0.02808616642798153,340.0,27.0,35.0,760.0,t_motor_AntigravityMN5008KV340,t_motor_AntigravityMN5008KV340,12,6,"4,10","16,20",,4.0,32.0,0.135
6,26,55.6,8.0,Both,89.99,2.0,50.0,1.1,0.10676438151257656,0.0238732414637843,400.0,27.0,35.0,800.0,t_motor_AntigravityMN5008KV400,t_motor_AntigravityMN5008KV400,12,6,"4,10","14,18",,4.0,32.0,0.132
6,26,67.2,7.0,Both,129.99,2.0,178.0,0.5,0.1414625225794017,0.05968310365946075,160.0,21.1,23.7,1120.0,t_motor_AntigravityMN6007IIKV160,t_motor_AntigravityMN6007IIKV160,12,6,"4,12","18,24",,4.0,26.1,0.159
6,26,67.2,7.0,Both,129.99,2.0,47.5,1.0,0.13692243025708,0.029841551829730376,320.0,21.1,44.2,1040.0,t_motor_AntigravityMN6007IIKV320,t_motor_AntigravityMN6007IIKV320,12,6,"4,10","18,24",,4.0,26.1,0.161
6,26,67.0,7.0,Both,119.99,2.0,227.0,0.5,0.12526751748077822,0.05968310365946075,160.0,25.1,18.0,864.0,t_motor_AntigravityMN6007KV160,t_motor_AntigravityMN6007KV160,12,6,"4,12","18,24",,4.0,30.1,0.18
6,26,67.0,7.0,Both,119.99,2.0,50.0,1.4,0.1334554768907207,0.029841551829730376,320.0,25.1,39.0,936.0,t_motor_AntigravityMN6007KV320,t_motor_AntigravityMN6007KV320,12,6,"4,10","18,24",,4.0,30.1,0.18
10,14.5,79.0,5.0,Both,219.99,2.0,288.0,0.4,0.15473098769938629,0.08303736161316277,115.0,21.8,15.0,750.0,t_motor_AntigravityMN7005KV115,t_motor_AntigravityMN7005KV115,12,6,"4,14","20,28",,4.0,37.8,0.188
10,14.5,79.0,5.0,Both,219.99,2.0,71.0,0.9,0.15581683251379116,0.04151868080658139,230.0,21.8,28.0,700.0,t_motor_AntigravityMN7005KV230,t_motor_AntigravityMN7005KV230,12,6,"4,12","20,26",,4.0,37.8,0.188
10,14.5,87.8,12.0,Both,269.9,2.0,85.0,1.0,0.3275381707043587,0.0954929658551372,100.0,29.0,40.0,1873.0,t_motor_AntigravityMN8012KV100,t_motor_AntigravityMN8012KV100,16,12,"6,16","26,32",,4.0,32.0,0.351
10,14.5,87.8,14.0,Both,279.9,2.0,65.0,1.4,0.3745542279278416,0.0954929658551372,100.0,31.5,52.0,2423.0,t_motor_AntigravityMN8014KV100,t_motor_AntigravityMN8014KV100,16,12,"6,16","26,32",,4.0,34.5,0.392
10,14.5,87.8,17.0,Both,289.9,2.0,45.0,1.8,0.37513179839879424,0.07957747154594767,120.0,34.5,68.6,3180.0,t_motor_AntigravityMN8017KV120,t_motor_AntigravityMN8017KV120,16,12,"6,16","26,32",,4.0,37.5,0.453
nan,nan,27.0,4.0,UAV,25.9,2.0,290.0,0.3,0.01266614184857098,0.006820926132509801,1400.0,12.0,8.0,88.0,t_motor_MN22041400KV,t_motor_MN22041400KV,3,2,"2,3","5,8",12N14P,2.0,16.5,0.023
5,24,27.5,12.0,UAV,46.9,2.0,173.0,0.4,0.029434301070491033,0.012242687930145796,780.0,16.0,13.0,200.0,t_motor_MN2212KV780,t_motor_MN2212KV780,4,2,"3,4","8,11",9N12P,4.0,32.6,0.065
5,24,24.0,12.0,UAV,46.9,2.0,142.0,0.5,0.02754478472337756,0.010379670201645347,920.0,16.0,15.0,220.0,t_motor_MN2212KV920,t_motor_MN2212KV920,4,2,"2,3","7,9",9N12P,4.0,32.6,0.065
6,26,37.7,10.0,UAV,61.9,2.0,135.0,0.3,0.05529764547756568,0.02031765230960366,470.0,30.0,15.0,330.0,t_motor_MN3110KV470,t_motor_MN3110KV470,6,3,"3,5","10,15",12N14P,4.0,37.1,0.098
6,26,37.7,10.0,UAV,61.9,2.0,92.0,0.3,0.044975855022520064,0.013641852265019601,700.0,30.0,21.0,466,t_motor_MN3110KV700,t_motor_MN3110KV700,6,3,"3,5","10,13",12N14P,4.0,37.1,0.099
6,26,37.7,10.0,UAV,61.9,2.0,71.0,0.4,0.04594598907457945,0.012242687930145796,780.0,30.0,26.0,481.0,t_motor_MN3110KV780,t_motor_MN3110KV780,6,3,"3,4","9,12",12N14P,4.0,37.1,0.1
6,26,41.8,8.0,UAV,69.9,2.0,205.0,0.4,0.05550228394103166,0.025129727856615054,380.0,27.0,14.0,310,t_motor_MN3508KV380,t_motor_MN3508KV380,6,3,"4,6","12,16",12N14P,4.0,35.1,0.103
6,26,41.8,8.0,UAV,69.9,2.0,110.0,0.4,0.04964174574603602,0.016464304457782276,580.0,27.0,18.0,400.0,t_motor_MN3508KV580,t_motor_MN3508KV580,4,3,"4,5","12,15",12N14P,4.0,35.1,0.103
6,26,41.8,8.0,UAV,69.9,2.0,72.0,0.5,0.050840181672655506,0.013641852265019601,700.0,27.0,23.0,510.0,t_motor_MN3508KV700,t_motor_MN3508KV700,4,3,"3,5","11,13",12N14P,4.0,35.1,0.104
6,26,41.8,10.0,UAV,79.9,2.0,188.0,0.4,0.06117725079763944,0.026525823848649224,360.0,29.0,15.0,330.0,t_motor_MN3510KV360,t_motor_MN3510KV360,6,3,"4,6","12,16",12N14P,4.0,37.1,0.117
6,26,41.8,10.0,UAV,79.9,2.0,65.0,0.5,0.059453052052038345,0.015157613627799556,630.0,29.0,22.0,495.0,t_motor_MN3510KV630,t_motor_MN3510KV630,4,3,"4,5","12,14",12N14P,4.0,37.1,0.119
6,26,41.8,10.0,UAV,79.9,2.0,50.0,0.5,0.06100821800718661,0.013641852265019601,700.0,29.0,25.0,555.0,t_motor_MN3510KV700,t_motor_MN3510KV700,4,3,"3,5","11,14",12N14P,4.0,37.1,0.118
6,31.5,42.5,15.0,UAV,96.9,2.0,116.0,0.3,0.07009425046445468,0.0238732414637843,400.0,34.0,30.0,900.0,t_motor_MN3515KV400,t_motor_MN3515KV400,8,4,"3,6","12,17",12N14P,4.0,43.0,0.183
"6,8","31.5,31.5",42.5,20.0,UAV,109.9,2.0,82.0,1.2,0.08336897548264713,0.0238732414637843,400.0,42.0,38.0,1140.0,t_motor_MN3520KV400,t_motor_MN3520KV400,8,4,"4,6","14,18",12N14P,4.0,50.6,0.222
"6,8","31.5,31.5",44.7,10.0,UAV,86.9,2.0,98.0,0.8,0.08244353784754947,0.025808909690577624,370.0,30.0,20.0,450.0,t_motor_MN4010KV370,t_motor_MN4010KV370,8,4,"4,6","12,17",18N24P,4.0,39.1,0.137
"6,8","31.5,31.5",44.7,10.0,UAV,86.9,2.0,98.0,0.8,0.06421917684967011,0.020103782285292044,475.0,30.0,30.0,540.0,t_motor_MN4010KV475,t_motor_MN4010KV475,8,4,"4,6","12,16",18N24P,4.0,39.1,0.137
