BASE_VOLTAGE,BATTERY_TYPE,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,CORPUS,COST,DISCHARGE_PLUG,LENGTH,MODEL,MODEL_NAME,MODULE_MASS,MODULE_VOLUME,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
25.2,Wing,50.0,,1.32,UAM,,,,,Eagle50AhLi,17.24,12896320.0,,,2.0,,,,
25.2,Beam,50.0,,1.32,UAM,,,,,Eagle50AhLi_beam,17.24,12896320.0,,,2.0,,,,
25.2,Cylinder,50.0,,1.32,UAM,,,,,Eagle50AhLi_cyl,17.24,12896320.0,,,2.0,,,,
28.0,Wing,7.5,,0.47,UAM,,,,,Eagle7AhAg,4.17,2378317.8240000005,,,1.0,,,,
28.0,Beam,7.5,,0.47,UAM,,,,,Eagle7AhAg_beam,4.17,2378317.8240000005,,,1.0,,,,
28.0,Cylinder,7.5,,0.47,UAM,,,,,Eagle7AhAg_cyl,4.17,2378317.8240000005,,,1.0,,,,
44.4,Wing,25.0,,24.0,UAM,,,,,GS25AhLi,27.0,17295744.0,,,48.0,,,,
44.4,Beam,25.0,,24.0,UAM,,,,,GS25AhLi_beam,27.0,17295744.0,,,48.0,,,,
44.4,Cylinder,25.0,,24.0,UAM,,,,,GS25AhLi_cyl,27.0,17295744.0,,,48.0,,,,
44.4,Wing,50.0,,1.0,UAM,,,,,GS50AhLi,27.0,17295744.0,,,6.0,,,,
44.4,Beam,50.0,,1.0,UAM,,,,,GS50AhLi_beam,27.0,17295744.0,,,6.0,,,,
44.4,Cylinder,50.0,,1.0,UAM,,,,,GS50AhLi_cyl,27.0,17295744.0,,,6.0,,,,
29.6,Wing,18.0,,1.0,UAM,,,,,Saft18AhLi,5.0,4989600.0,,,2.0,,,,
29.6,Beam,18.0,,1.0,UAM,,,,,Saft18AhLi_beam,5.0,4989600.0,,,2.0,,,,
29.6,Cylinder,18.0,,1.0,UAM,,,,,Saft18AhLi_cyl,5.0,4989600.0,,,2.0,,,,
40.7,Wing,72.0,,1.0,UAM,,,,,Saft72AhLi,28.8,29695600.0,,,2.0,,,,
40.7,Beam,72.0,,1.0,UAM,,,,,Saft72AhLi_beam,28.8,29695600.0,,,2.0,,,,
40.7,Cylinder,72.0,,1.0,UAM,,,,,Saft72AhLi_cyl,28.8,29695600.0,,,2.0,,,,
,UAV,25000,LiHv,10,UAV,489.99,XT90,207.0,Tattu10C25000mAh6S1PHV,Tattu10C25000mAh6S1PHV,,,6S1P,12,20,65.0,22.8,2.577,91
,UAV,32000,LiHv,10,UAV,419.0,XT90,216.0,Tattu10C32000mAh6S1PHV,Tattu10C32000mAh6S1PHV,,,6S1P,12,20,61.0,22.8,3.494,125
,UAV,40000,LiHv,10,UAV,822.0,XT90,258.0,Tattu10C40000mAh6S1PHV,Tattu10C40000mAh6S1PHV,,,6S1P,12,20,62.0,22.8,4.08,123
,UAV,16000,LiPo,15,UAV,179.0,EC5,180.0,Tattu15C16000mAh4S1P,Tattu15C16000mAh4S1P,,,4S1P,12,30,44.0,14.8,1.241,74
,UAV,17000,LiHv,15,UAV,345.99,XT150,195.0,Tattu15C17000mAh6S1PHV,Tattu15C17000mAh6S1PHV,,,6S1P,12,30,64.5,22.8,1.86,78
51.8,Wing,19.0,,25.0,UAM,,,,,Tattu19AhLi,7.86,5991804.0,,,50.0,,,,
51.8,Beam,19.0,,25.0,UAM,,,,,Tattu19AhLi_beam,7.86,5991804.0,,,50.0,,,,
51.8,Cylinder,19.0,,25.0,UAM,,,,,Tattu19AhLi_cyl,7.86,5991804.0,,,50.0,,,,
51.8,Wing,22.0,,25.0,UAM,,,,,Tattu22AhLi,8.74,5991804.0,,,50.0,,,,
51.8,Beam,22.0,,25.0,UAM,,,,,Tattu22AhLi_beam,8.74,5991804.0,,,50.0,,,,
51.8,Cylinder,22.0,,25.0,UAM,,,,,Tattu22AhLi_cyl,8.74,5991804.0,,,50.0,,,,
51.8,Wing,25.0,,25.0,UAM,,,,,Tattu25AhLi,9.54,5991804.0,,,50.0,,,,
51.8,Beam,25.0,,25.0,UAM,,,,,Tattu25AhLi_beam,9.54,5991804.0,,,50.0,,,,
51.8,Cylinder,25.0,,25.0,UAM,,,,,Tattu25AhLi_cyl,9.54,5991804.0,,,50.0,,,,
