weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,motor_max_current,motor_max_power,voltage,hover_omega_rpm,hover_thrust,hover_power,hover_current,hover_torque,flying_speed,flying_omega_rpm,flying_thrust,flying_power,flying_current,flying_torque,flying_j,hover_thrust_per_weight,hover_power_per_weight,hover_thrust_per_power,flying_thrust_per_weight,flying_power_per_weight,flying_thrust_per_power,motor_name,propeller_name
0.42699733,0.3302,13000.0,1000.0,1.33,46.31579,2057.8948,44.4,9190.07,41.13,1574.04,35.45,1.44,50.0,9127.91,21.51,1743.34,39.26,1.6,0.99534315,96.323784,3686.2993,0.026130212,50.37502,4082.7888,0.012338385,kde_direct_KDE5215XF_220,apc_propellers_13x14
0.48099735,0.3302,13000.0,1000.0,1.33,52.63158,2900.0,51.8,9202.24,41.24,1558.65,30.09,1.44,50.0,9157.41,21.84,1742.19,33.63,1.62,0.9921367,85.73852,3240.4546,0.026458794,45.405655,3622.0366,0.012535946,kde_direct_KDE6213XF_185,apc_propellers_13x14
0.69599736,0.3302,13000.0,1000.0,1.33,60.0,3157.8948,51.8,10219.37,50.94,2214.45,42.75,1.82,50.0,10108.97,33.96,2826.24,54.56,2.35,0.8987466,73.18993,3181.693,0.023003455,48.79329,4060.705,0.012015965,kde_direct_KDE6815XF_205,apc_propellers_13x14
0.7170096,0.2794,21000.0,2000.0,0.76,142.10527,7363.1577,44.4,19613.06,88.12,6049.47,136.25,2.67,50.0,19836.54,41.03,3753.95,84.55,1.64,0.5412887,122.89933,8437.083,0.014566565,57.223778,5235.5645,0.01092982,kde_direct_KDE700XF_455_G3,apc_propellers_11x5_5MR
0.73996127,0.2794,22000.0,1000.0,0.77,142.10527,7363.1577,44.4,19828.31,83.71,3838.51,86.45,1.68,50.0,19726.29,51.1,4886.4,110.05,2.15,0.5443139,113.12754,5187.4473,0.02180794,69.05767,6603.589,0.010457597,kde_direct_KDE700XF_455_G3,apc_propellers_11x6
0.76599735,0.3302,13000.0,1000.0,1.33,142.10527,7363.1577,22.2,9737.81,46.23,1865.34,84.02,1.63,50.0,9660.05,27.91,2264.67,102.01,1.99,0.940513,60.352688,2435.1782,0.024783686,36.436157,2956.4985,0.012324091,kde_direct_KDE700XF_455_G3,apc_propellers_13x14
0.76599735,0.3302,13000.0,1000.0,1.33,142.10527,7363.1577,22.8,9990.81,48.69,2021.24,88.65,1.72,50.0,9892.62,31.06,2539.15,111.37,2.18,0.9184021,63.56419,2638.7036,0.024089172,40.548443,3314.8286,0.01223244,kde_direct_KDE700XF_455_G3,apc_propellers_13x14
0.71401596,0.2032,29000.0,1000.0,0.98,142.10527,7363.1577,51.8,22965.2,42.08,7235.78,139.69,2.74,50.0,23386.7,25.15,2184.65,42.17,0.8,0.63128954,58.934258,10133.92,0.0058155446,35.223305,3059.6655,0.011512142,kde_direct_KDE700XF_455_G3,apc_propellers_8x6E
0.7190054,0.2032,24000.0,1000.0,1.25,142.10527,7363.1577,44.4,19833.26,25.48,3787.62,85.31,1.66,50.0,20013.11,21.95,1940.2,43.7,0.83,0.7377054,35.43784,5267.8604,0.0067271795,30.528282,2698.4497,0.011313267,kde_direct_KDE700XF_455_G3,apc_propellers_8x8
0.7150138,0.2032,26000.0,1000.0,1.26,142.10527,7363.1577,44.4,19705.76,31.5,5097.29,114.8,2.24,50.0,19992.15,24.63,2155.57,48.55,0.92,0.73847884,44.05509,7128.939,0.006179754,34.446888,3014.7249,0.011426212,kde_direct_KDE700XF_455_G3,apc_propellers_8x8E
