        69x19_5_1000_51_880                                 (69x19_5_1000_51_880.dat)

         PROP RPM =       500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3379      0.4965       7.805     984.203      60.968  
         4.5        0.14      0.0935      0.3448      0.5049       7.939    1001.019      62.205  
         8.9        0.27      0.1865      0.3534      0.5189       8.157    1028.457      63.778  
        13.4        0.41      0.2771      0.3639      0.5396       8.483    1069.170      65.667  
        17.9        0.55      0.3678      0.3761      0.5602       8.808    1109.884      67.870  
        22.4        0.68      0.4507      0.3850      0.5849       9.195    1159.448      69.466  
        26.8        0.82      0.5300      0.3907      0.6056       9.521    1200.161      70.500  
        31.3        0.96      0.6002      0.3907      0.6238       9.806    1235.564      70.478  
        35.8        1.10      0.6608      0.3837      0.6361       9.999    1260.346      69.241  
        40.3        1.23      0.7122      0.3698      0.6399      10.059    1268.312      66.723  
        44.7        1.37      0.7579      0.3497      0.6318       9.933    1252.381      63.104  
        49.2        1.51      0.7958      0.3238      0.6129       9.635    1214.322      58.428  
        53.7        1.64      0.8277      0.2939      0.5835       9.171    1155.907      53.032  
        58.2        1.78      0.8540      0.2610      0.5440       8.552    1078.021      47.097  
        62.6        1.92      0.8742      0.2264      0.4965       7.805     984.203      40.848  
        67.1        2.05      0.8900      0.1909      0.4405       6.926     873.038      34.441  
        71.6        2.19      0.9004      0.1545      0.3760       5.910     744.967      27.876  
        76.1        2.33      0.9020      0.1171      0.3023       4.753     599.107      21.137  
        80.5        2.46      0.8853      0.0789      0.2195       3.452     435.103      14.228  
        85.0        2.60      0.8088      0.0396      0.1275       2.003     252.512       7.149  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3380      0.4956      13.464    1413.464      87.810  
         4.5        0.11      0.0781      0.3436      0.5023      13.638    1432.936      89.272  
         8.9        0.23      0.1561      0.3505      0.5125      13.920    1462.143      91.070  
        13.4        0.34      0.2329      0.3587      0.5272      14.322    1504.627      93.183  
        17.9        0.46      0.3070      0.3680      0.5471      14.859    1561.272      95.611  
        22.4        0.57      0.3824      0.3780      0.5639      15.314    1609.066      98.197  
        26.8        0.68      0.4517      0.3854      0.5842      15.864    1666.595     100.152  
        31.3        0.80      0.5199      0.3911      0.6010      16.320    1714.390     101.636  
        35.8        0.91      0.5777      0.3915      0.6189      16.816    1765.724     101.749  
        40.3        1.03      0.6329      0.3887      0.6308      17.138    1800.242     101.007  
        44.7        1.14      0.6813      0.3810      0.6382      17.339    1820.598      98.983  
        49.2        1.26      0.7231      0.3681      0.6391      17.366    1823.254      95.656  
        53.7        1.37      0.7590      0.3506      0.6324      17.178    1804.667      91.093  
        58.2        1.48      0.7920      0.3296      0.6175      16.776    1762.184      85.652  
        62.6        1.60      0.8185      0.3050      0.5953      16.173    1698.458      79.245  
        67.1        1.71      0.8436      0.2788      0.5657      15.368    1614.376      72.433  
        71.6        1.83      0.8624      0.2503      0.5300      14.403    1512.592      65.037  
        76.1        1.94      0.8785      0.2213      0.4886      13.273    1393.992      57.506  
        80.5        2.05      0.8917      0.1916      0.4414      11.989    1259.461      49.773  
        85.0        2.17      0.9012      0.1613      0.3879      10.539    1107.228      41.904  
        89.5        2.28      0.9055      0.1303      0.3284       8.919     937.294      33.856  
        94.0        2.40      0.9010      0.0986      0.2624       7.128     748.685      25.628  
        98.4        2.51      0.8771      0.0664      0.1899       5.159     541.931      17.241  
       102.9        2.62      0.7902      0.0334      0.1109       3.012     316.326       8.673  



         PROP RPM =       700

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3381      0.4947      21.336    1921.497     119.553  
         4.5        0.10      0.0670      0.3428      0.5003      21.577    1942.739     121.239  
         8.9        0.20      0.1341      0.3485      0.5084      21.926    1974.601     123.240  
        13.4        0.29      0.2006      0.3551      0.5196      22.408    2017.970     125.578  
        17.9        0.39      0.2656      0.3627      0.5343      23.052    2074.615     128.254  
        22.4        0.49      0.3301      0.3713      0.5501      23.723    2136.570     131.311  
        26.8        0.59      0.3928      0.3793      0.5667      24.447    2201.181     134.144  
        31.3        0.68      0.4525      0.3859      0.5838      25.184    2267.561     136.459  
        35.8        0.78      0.5083      0.3903      0.6008      25.909    2333.057     138.010  
        40.3        0.88      0.5639      0.3930      0.6134      26.458    2382.621     138.954  
        44.7        0.98      0.6104      0.3911      0.6268      27.035    2433.955     138.325  
        49.2        1.08      0.6559      0.3871      0.6350      27.397    2465.818     136.886  
        53.7        1.17      0.6929      0.3782      0.6407      27.638    2487.945     133.739  
        58.2        1.27      0.7286      0.3666      0.6397      27.598    2484.404     129.647  
        62.6        1.37      0.7599      0.3515      0.6335      27.330    2460.507     124.319  
        67.1        1.47      0.7872      0.3334      0.6213      26.807    2413.598     117.912  
        71.6        1.57      0.8115      0.3130      0.6037      26.043    2344.563     110.696  
        76.1        1.66      0.8348      0.2914      0.5806      25.037    2254.285     103.052  
        80.5        1.76      0.8528      0.2675      0.5523      23.830    2145.421      94.622  
        85.0        1.86      0.8682      0.2429      0.5200      22.435    2019.740      85.922  
        89.5        1.96      0.8816      0.2179      0.4834      20.853    1877.243      77.042  
        94.0        2.05      0.8929      0.1923      0.4425      19.083    1717.930      68.005  
        98.4        2.15      0.9016      0.1663      0.3969      17.125    1541.800      58.810  
       102.9        2.25      0.9069      0.1398      0.3468      14.966    1347.084      49.435  
       107.4        2.35      0.9070      0.1128      0.2921      12.598    1134.666      39.904  
       111.8        2.45      0.8979      0.0854      0.2326      10.029     902.776      30.192  



         PROP RPM =       800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3382      0.4941      31.822    2506.531     156.197  
         4.5        0.09      0.0587      0.3423      0.4989      32.117    2530.428     158.086  
         8.9        0.17      0.1175      0.3471      0.5054      32.547    2564.061     160.311  
        13.4        0.26      0.1760      0.3526      0.5143      33.110    2609.200     162.874  
        17.9        0.34      0.2337      0.3589      0.5258      33.847    2666.730     165.774  
        22.4        0.43      0.2899      0.3658      0.5401      34.773    2739.306     168.989  
        26.8        0.51      0.3459      0.3734      0.5544      35.698    2812.767     172.473  
        31.3        0.60      0.4006      0.3804      0.5689      36.623    2885.343     175.711  
        35.8        0.68      0.4532      0.3863      0.5836      37.575    2960.575     178.431  
        40.3        0.77      0.5028      0.3903      0.5982      38.514    3034.921     180.342  
        44.7        0.86      0.5490      0.3926      0.6121      39.413    3104.842     181.331  
        49.2        0.94      0.5916      0.3922      0.6245      40.204    3167.682     181.241  
        53.7        1.03      0.6344      0.3903      0.6319      40.687    3205.740     180.319  
        58.2        1.11      0.6695      0.3846      0.6391      41.156    3242.028     177.667  
        62.6        1.20      0.7043      0.3770      0.6414      41.303    3253.534     174.160  
        67.1        1.28      0.7326      0.3657      0.6408      41.263    3250.879     168.921  
        71.6        1.37      0.7604      0.3525      0.6349      40.874    3219.901     162.829  
        76.1        1.45      0.7849      0.3369      0.6246      40.217    3168.567     155.635  
        80.5        1.54      0.8070      0.3195      0.6100      39.278    3094.221     147.587  
        85.0        1.63      0.8268      0.3007      0.5914      38.072    2999.518     138.887  
        89.5        1.71      0.8449      0.2806      0.5685      36.610    2883.573     129.625  
        94.0        1.80      0.8594      0.2593      0.5423      34.920    2750.812     119.756  
        98.4        1.88      0.8724      0.2376      0.5129      33.016    2601.234     109.752  
       102.9        1.97      0.8839      0.2155      0.4800      30.911    2434.840      99.545  
       107.4        2.05      0.8938      0.1931      0.4438      28.577    2250.745      89.204  
       111.8        2.14      0.9018      0.1703      0.4041      26.016    2049.833      78.661  



         PROP RPM =       900

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3382      0.4936      45.259    3169.452     197.720  
         4.5        0.08      0.0523      0.3418      0.4976      45.622    3195.119     199.833  
         8.9        0.15      0.1046      0.3460      0.5032      46.131    3230.522     202.283  
        13.4        0.23      0.1568      0.3508      0.5105      46.802    3277.431     205.048  
        17.9        0.30      0.2085      0.3561      0.5198      47.646    3336.731     208.173  
        22.4        0.38      0.2592      0.3620      0.5312      48.692    3410.192     211.613  
        26.8        0.46      0.3086      0.3684      0.5450      49.966    3498.700     215.367  
        31.3        0.53      0.3580      0.3751      0.5580      51.147    3581.897     219.301  
        35.8        0.61      0.4067      0.3813      0.5707      52.327    3664.209     222.943  
        40.3        0.68      0.4536      0.3867      0.5836      53.507    3746.521     226.158  
        44.7        0.76      0.4983      0.3907      0.5965      54.687    3829.718     228.406  
        49.2        0.84      0.5404      0.3930      0.6088      55.813    3908.489     229.755  
        53.7        0.91      0.5796      0.3938      0.6201      56.846    3981.066     230.204  
        58.2        0.99      0.6159      0.3922      0.6299      57.744    4043.906     229.305  
        62.6        1.07      0.6492      0.3887      0.6375      58.455    4093.470     227.282  
        67.1        1.14      0.6830      0.3837      0.6411      58.777    4115.597     224.337  
        71.6        1.22      0.7106      0.3755      0.6433      58.978    4129.758     219.526  
        76.1        1.29      0.7356      0.3653      0.6422      58.871    4122.677     213.546  
        80.5        1.37      0.7607      0.3536      0.6366      58.348    4086.389     206.712  
        85.0        1.45      0.7830      0.3400      0.6277      57.543    4029.745     198.776  
        89.5        1.52      0.8018      0.3244      0.6156      56.444    3951.858     189.649  
        94.0        1.60      0.8201      0.3080      0.5999      55.009    3851.845     180.050  
        98.4        1.67      0.8376      0.2908      0.5812      53.279    3730.589     170.023  
       102.9        1.75      0.8518      0.2722      0.5591      51.267    3589.863     159.142  
       107.4        1.83      0.8642      0.2531      0.5347      49.014    3432.319     147.947  
       111.8        1.90      0.8755      0.2337      0.5076      46.533    3258.845     136.594  



         PROP RPM =       1000

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3382      0.4931      62.022    3909.375     244.143  
         4.5        0.07      0.0471      0.3415      0.4968      62.478    3937.697     246.391  
         8.9        0.14      0.0942      0.3452      0.5015      63.068    3974.870     249.088  
        13.4        0.21      0.1413      0.3493      0.5077      63.846    4023.549     252.236  
        17.9        0.27      0.1881      0.3540      0.5154      64.811    4084.619     255.383  
        22.4        0.34      0.2343      0.3591      0.5247      65.992    4158.966     259.205  
        26.8        0.41      0.2795      0.3646      0.5359      67.400    4247.473     263.027  
        31.3        0.48      0.3234      0.3705      0.5490      69.049    4351.912     267.523  
        35.8        0.55      0.3677      0.3765      0.5610      70.538    4445.730     271.794  
        40.3        0.62      0.4115      0.3822      0.5723      71.973    4536.007     275.841  
        44.7        0.68      0.4540      0.3871      0.5838      73.421    4627.170     279.438  
        49.2        0.75      0.4947      0.3911      0.5953      74.869    4718.333     282.135  
        53.7        0.82      0.5334      0.3938      0.6065      76.277    4807.725     284.159  
        58.2        0.89      0.5697      0.3949      0.6171      77.591    4890.922     285.058  
        62.6        0.96      0.6036      0.3946      0.6265      78.772    4965.269     284.608  
        67.1        1.03      0.6350      0.3922      0.6343      79.764    5027.224     283.035  
        71.6        1.10      0.6640      0.3880      0.6402      80.515    5075.018     280.112  
        76.1        1.16      0.6908      0.3822      0.6440      80.998    5105.110     275.841  
        80.5        1.23      0.7153      0.3746      0.6453      81.159    5114.846     270.445  
        85.0        1.30      0.7404      0.3660      0.6430      80.864    5096.260     264.151  
        89.5        1.37      0.7608      0.3548      0.6385      80.300    5060.857     256.057  
        94.0        1.44      0.7796      0.3422      0.6312      79.375    5002.442     247.065  
        98.4        1.51      0.7987      0.3289      0.6204      78.021    4917.474     237.398  
       102.9        1.57      0.8144      0.3141      0.6072      76.371    4813.036     226.607  
       107.4        1.64      0.8305      0.2989      0.5913      74.360    4686.470     215.704  
       111.8        1.71      0.8454      0.2829      0.5728      72.026    4539.548     204.127  



         PROP RPM =       1100

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3383      0.4928      82.486    4726.298     295.399  
         4.5        0.06      0.0428      0.3412      0.4961      83.023    4757.276     298.097  
         8.9        0.12      0.0857      0.3445      0.5002      83.720    4797.104     300.794  
        13.4        0.19      0.1286      0.3482      0.5054      84.605    4847.554     304.167  
        17.9        0.25      0.1713      0.3523      0.5120      85.691    4910.394     307.539  
        22.4        0.31      0.2136      0.3567      0.5198      87.005    4985.625     311.585  
        26.8        0.37      0.2552      0.3616      0.5292      88.574    5075.018     315.857  
        31.3        0.44      0.2959      0.3668      0.5400      90.398    5179.457     320.353  
        35.8        0.50      0.3373      0.3727      0.5502      92.115    5277.700     325.523  
        40.3        0.56      0.3756      0.3777      0.5635      94.314    5404.266     329.795  
        44.7        0.62      0.4154      0.3829      0.5737      96.030    5502.509     334.291  
        49.2        0.68      0.4543      0.3875      0.5841      97.774    5601.637     338.562  
        53.7        0.75      0.4917      0.3915      0.5947      99.544    5703.421     341.934  
        58.2        0.81      0.5233      0.3930      0.6080     101.757    5829.986     343.283  
        62.6        0.87      0.5572      0.3946      0.6172     103.312    5919.379     344.632  
        67.1        0.93      0.5891      0.3949      0.6259     104.747    6001.691     344.857  
        71.6        1.00      0.6190      0.3938      0.6334     106.021    6074.267     343.733  
        76.1        1.06      0.6469      0.3911      0.6396     107.067    6134.452     341.485  
        80.5        1.12      0.6728      0.3869      0.6442     107.845    6178.706     337.888  
        85.0        1.18      0.6969      0.3813      0.6470     108.301    6205.258     332.942  
        89.5        1.24      0.7191      0.3741      0.6476     108.408    6211.454     326.647  
        94.0        1.31      0.7421      0.3662      0.6450     107.966    6185.786     319.678  
        98.4        1.37      0.7608      0.3560      0.6408     107.268    6145.958     310.911  
       102.9        1.43      0.7781      0.3448      0.6344     106.169    6083.118     301.019  
       107.4        1.49      0.7959      0.3330      0.6250     104.613    5993.725     290.678  
       111.8        1.56      0.8106      0.3196      0.6136     102.709    5884.861     279.213  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3383      0.4925     107.027    5621.109     351.601  
         4.5        0.06      0.0393      0.3410      0.4954     107.657    5653.857     354.299  
         8.9        0.11      0.0787      0.3440      0.4991     108.462    5696.340     357.446  
        13.4        0.17      0.1180      0.3473      0.5037     109.454    5748.560     361.043  
        17.9        0.23      0.1573      0.3509      0.5093     110.674    5813.170     364.640  
        22.4        0.29      0.1962      0.3549      0.5160     112.136    5889.286     368.912  
        26.8        0.34      0.2347      0.3592      0.5239     113.853    5980.449     373.183  
        31.3        0.40      0.2725      0.3637      0.5332     115.851    6084.888     378.129  
        35.8        0.46      0.3095      0.3686      0.5437     118.144    6205.258     383.075  
        40.3        0.51      0.3472      0.3741      0.5533     120.236    6315.007     388.695  
        44.7        0.57      0.3821      0.3788      0.5657     122.918    6455.734     393.641  
