        62x16_5_1200_51_780                                 (62x16_5_1200_51_780.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        22.4        0.40      0.2910      0.3583      0.4886      31.849    2090.546     155.343  
        26.8        0.48      0.3474      0.3642      0.4992      32.533    2135.685     157.906  
        31.3        0.56      0.4021      0.3693      0.5103      33.257    2183.479     160.131  
        35.8        0.64      0.4544      0.3732      0.5215      33.995    2231.273     161.818  
        40.3        0.71      0.5036      0.3754      0.5326      34.706    2278.182     162.807  
        44.7        0.79      0.5496      0.3758      0.5428      35.376    2322.436     162.964  
        49.2        0.87      0.5920      0.3742      0.5518      35.966    2361.379     162.245  
        53.7        0.95      0.6308      0.3703      0.5591      36.436    2392.357     160.559  
        58.2        1.03      0.6662      0.3642      0.5641      36.757    2413.598     157.906  
        62.6        1.11      0.7014      0.3562      0.5644      36.784    2414.484     154.444  
        67.1        1.19      0.7326      0.3460      0.5622      36.637    2405.633     150.015  
        71.6        1.27      0.7583      0.3326      0.5571      36.301    2383.506     144.215  
        76.1        1.35      0.7833      0.3179      0.5476      35.685    2342.792     137.830  
        80.5        1.43      0.8057      0.3014      0.5345      34.840    2287.033     130.704  
        85.0        1.51      0.8259      0.2837      0.5180      33.753    2216.227     122.993  
        89.5        1.59      0.8443      0.2647      0.4978      32.439    2129.489     114.765  
        94.0        1.67      0.8590      0.2445      0.4745      30.924    2030.361     106.020  
        98.4        1.75      0.8722      0.2240      0.4484      29.234    1918.842      97.140  
       102.9        1.83      0.8839      0.2032      0.4196      27.343    1794.931      88.103  
       107.4        1.90      0.8940      0.1820      0.3878      25.265    1659.515      78.908  
       111.8        1.98      0.9022      0.1605      0.3529      22.998    1509.937      69.578  



         PROP RPM =       1080

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3341      0.4470      41.478    2420.679     183.332  
         4.5        0.07      0.0527      0.3373      0.4514      41.880    2443.691     185.108  
         8.9        0.14      0.1053      0.3410      0.4570      42.403    2474.669     187.109  
        13.4        0.21      0.1574      0.3451      0.4639      43.047    2512.727     189.379  
        17.9        0.28      0.2088      0.3497      0.4727      43.851    2559.636     191.919  
        22.4        0.35      0.2591      0.3548      0.4831      44.830    2616.281     194.685  
        26.8        0.42      0.3095      0.3603      0.4928      45.729    2668.500     197.697  
        31.3        0.49      0.3595      0.3654      0.5021      46.600    2718.949     200.552  
        35.8        0.56      0.4081      0.3701      0.5119      47.499    2772.054     203.092  
        40.3        0.64      0.4548      0.3737      0.5217      48.424    2826.043     205.093  
        44.7        0.71      0.4951      0.3752      0.5347      49.618    2895.079     205.880  
        49.2        0.78      0.5368      0.3760      0.5435      50.436    2943.758     206.352  
