        69x13_4_1200_41_830                                 (69x13_4_1200_41_830.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2655      0.2490       6.764     710.538      68.971  
         4.5        0.11      0.1205      0.2684      0.2542       6.905     725.319      69.713  
         8.9        0.23      0.2368      0.2702      0.2604       7.074     743.020      70.208  
        13.4        0.34      0.3500      0.2709      0.2650       7.197     756.031      70.388  
        17.9        0.46      0.4505      0.2686      0.2721       7.392     776.476      69.781  
        22.4        0.57      0.5438      0.2637      0.2768       7.516     789.575      68.522  
        26.8        0.68      0.6247      0.2553      0.2798       7.601     798.426      66.341  
        31.3        0.80      0.6930      0.2428      0.2799       7.604     798.691      63.104  
        35.8        0.91      0.7520      0.2265      0.2749       7.468     784.530      58.855  
        40.3        1.03      0.8000      0.2061      0.2647       7.189     755.146      53.550  
        44.7        1.14      0.8402      0.1826      0.2479       6.736     707.529      47.435  
        49.2        1.26      0.8690      0.1561      0.2255       6.126     643.449      40.556  
        53.7        1.37      0.8915      0.1289      0.1980       5.377     564.943      33.497  
        58.2        1.48      0.9066      0.1009      0.1651       4.484     471.037      26.213  
        62.6        1.60      0.9105      0.0721      0.1266       3.438     361.199      18.745  
        67.1        1.71      0.8874      0.0427      0.0823       2.235     234.810      11.083  
        71.6        1.83      0.7092      0.0124      0.0320       0.869      91.251       3.228  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2653      0.2499      11.730    1026.687      99.276  
         4.5        0.10      0.1011      0.2682      0.2523      11.841    1036.422     100.355  
         8.9        0.19      0.2001      0.2702      0.2568      12.056    1055.009     101.097  
        13.4        0.29      0.2951      0.2711      0.2622      12.303    1077.136     101.434  
        17.9        0.38      0.3844      0.2706      0.2678      12.569    1100.148     101.254  
        22.4        0.48      0.4667      0.2684      0.2735      12.838    1124.045     100.422  
        26.8        0.57      0.5451      0.2643      0.2766      12.986    1136.436      98.871  
        31.3        0.67      0.6146      0.2578      0.2792      13.106    1147.057      96.443  
        35.8        0.76      0.6718      0.2480      0.2809      13.184    1154.137      92.779  
        40.3        0.86      0.7240      0.2357      0.2786      13.079    1145.287      88.193  
        44.7        0.95      0.7703      0.2208      0.2725      12.791    1119.619      82.595  
        49.2        1.05      0.8075      0.2029      0.2628      12.336    1079.791      75.896  
        53.7        1.14      0.8415      0.1832      0.2484      11.659    1020.491      68.522  
        58.2        1.24      0.8660      0.1611      0.2300      10.797     945.260      60.271  
        62.6        1.33      0.8863      0.1385      0.2081       9.768     855.071      51.818  
        67.1        1.43      0.9020      0.1154      0.1825       8.566     749.835      43.186  
        71.6        1.52      0.9120      0.0917      0.1531       7.185     628.934      34.328  
        76.1        1.62      0.9130      0.0676      0.1197       5.618     491.659      25.291  
        80.5        1.71      0.8934      0.0429      0.0822       3.857     337.656      16.047  
        85.0        1.81      0.7889      0.0177      0.0405       1.902     166.394       6.616  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2654      0.2492      18.587    1393.992     135.133  
