        83x16_3_1200_51_1750                                 (83x16_3_1200_51_1750.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2588      0.2527      17.286    1815.288     140.798  
         4.5        0.09      0.0965      0.2615      0.2572      17.594    1848.036     142.259  
         8.9        0.19      0.1932      0.2642      0.2595      17.755    1864.852     143.743  
        13.4        0.28      0.2856      0.2657      0.2648      18.117    1902.910     144.552  
        17.9        0.38      0.3729      0.2660      0.2707      18.519    1945.394     144.687  
        22.4        0.47      0.4537      0.2647      0.2768      18.935    1988.763     144.013  
        26.8        0.57      0.5312      0.2621      0.2809      19.217    2017.970     142.596  
        31.3        0.66      0.5967      0.2565      0.2855      19.525    2051.603     139.539  
        35.8        0.76      0.6576      0.2489      0.2872      19.646    2063.994     135.380  
        40.3        0.85      0.7102      0.2384      0.2865      19.606    2059.569     129.670  
        44.7        0.95      0.7551      0.2250      0.2827      19.338    2031.246     122.409  
        49.2        1.04      0.7932      0.2090      0.2749      18.815    1975.487     113.686  
        53.7        1.14      0.8277      0.1910      0.2626      17.970    1887.864     103.907  
        58.2        1.23      0.8558      0.1707      0.2461      16.830    1768.379      92.869  
        62.6        1.33      0.8775      0.1494      0.2261      15.462    1624.997      81.268  
        67.1        1.42      0.8956      0.1275      0.2026      13.866    1455.948      69.376  
        71.6        1.52      0.9094      0.1052      0.1756      12.012    1262.116      57.236  
        76.1        1.61      0.9176      0.0824      0.1448       9.905    1039.963      44.804  
        80.5        1.71      0.9160      0.0591      0.1101       7.534     791.345      32.125  
        85.0        1.80      0.8893      0.0353      0.0715       4.892     513.786      19.190  
        89.5        1.90      0.7228      0.0110      0.0288       1.971     207.107       5.973  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2589      0.2522      29.811    2609.200     202.778  
         4.5        0.08      0.0808      0.2612      0.2556      30.213    2645.488     204.599  
         8.9        0.16      0.1607      0.2633      0.2591      30.629    2680.891     206.285  
        13.4        0.24      0.2390      0.2651      0.2630      31.085    2721.604     207.634  
        17.9        0.32      0.3148      0.2662      0.2674      31.608    2766.743     208.488  
        22.4        0.40      0.3868      0.2663      0.2721      32.171    2815.422     208.600  
        26.8        0.47      0.4544      0.2653      0.2769      32.734    2865.872     207.836  
        31.3        0.55      0.5169      0.2630      0.2815      33.284    2913.666     205.992  
        35.8        0.63      0.5777      0.2596      0.2842      33.593    2940.218     203.340  
        40.3        0.71      0.6289      0.2538      0.2871      33.941    2971.195     198.799  
        44.7        0.79      0.6746      0.2462      0.2886      34.116    2986.242     192.886  
        49.2        0.87      0.7180      0.2370      0.2871      33.941    2970.310     185.670  
        53.7        0.95      0.7558      0.2258      0.2835      33.512    2933.137     176.902  
        58.2        1.03      0.7885      0.2127      0.2773      32.775    2868.527     166.628  
        62.6        1.11      0.8173      0.1980      0.2681      31.688    2773.824     155.073  
        67.1        1.19      0.8442      0.1820      0.2556      30.213    2645.488     142.551  
        71.6        1.26      0.8642      0.1644      0.2406      28.443    2489.715     128.748  
        76.1        1.34      0.8817      0.1464      0.2232      26.378    2309.160     114.675  
        80.5        1.42      0.8966      0.1281      0.2033      24.031    2103.822     100.355  
        85.0        1.50      0.9088      0.1095      0.1809      21.389    1871.933      85.742  
        89.5        1.58      0.9175      0.0905      0.1560      18.439    1613.491      70.882  
        94.0        1.66      0.9210      0.0712      0.1282      15.167    1327.612      55.753  
        98.4        1.74      0.9151      0.0515      0.0979      11.568    1012.525      40.331  
       102.9        1.82      0.8851      0.0315      0.0646       7.642     668.939      24.639  
       107.4        1.90      0.7364      0.0111      0.0286       3.378     295.703       8.689  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2589      0.2517      47.244    3545.609     276.065  
         4.5        0.07      0.0695      0.2610      0.2545      47.781    3584.552     278.314  
         8.9        0.14      0.1386      0.2631      0.2573      48.290    3623.495     280.562  
        13.4        0.20      0.2048      0.2646      0.2626      49.296    3698.727     282.135  
        17.9        0.27      0.2710      0.2659      0.2659      49.913    3744.751     283.484  
        22.4        0.34      0.3352      0.2667      0.2695      50.597    3796.085     284.383  
        26.8        0.41      0.3967      0.2667      0.2734      51.321    3850.960     284.383  
        31.3        0.47      0.4548      0.2660      0.2774      52.072    3906.719     283.484  
        35.8        0.54      0.5092      0.2642      0.2811      52.783    3960.709     281.686  
        40.3        0.61      0.5596      0.2612      0.2847      53.440    4009.388     278.538  
        44.7        0.68      0.6059      0.2570      0.2875      53.963    4049.216     274.042  
        49.2        0.75      0.6480      0.2515      0.2893      54.311    4075.769     268.197  
        53.7        0.81      0.6892      0.2449      0.2889      54.231    4069.573     261.003  
        58.2        0.88      0.7232      0.2364      0.2880      54.057    4055.412     252.011  
        62.6        0.95      0.7561      0.2268      0.2846      53.413    4007.618     241.894  
        67.1        1.02      0.7849      0.2157      0.2793      52.434    3934.157     229.980  
        71.6        1.08      0.8093      0.2032      0.2721      51.093    3834.143     216.626  
        76.1        1.15      0.8336      0.1900      0.2625      49.282    3696.957     202.553  
        80.5        1.22      0.8534      0.1753      0.2506      47.030    3528.792     186.906  
        85.0        1.29      0.8699      0.1600      0.2368      44.468    3336.731     170.653  
        89.5        1.36      0.8845      0.1445      0.2215      41.572    3119.003     154.107  
        94.0        1.42      0.8973      0.1288      0.2042      38.340    2876.492     137.291  
        98.4        1.49      0.9082      0.1127      0.1851      34.746    2606.545     120.228  
       102.9        1.56      0.9166      0.0965      0.1640      30.790    2310.045     102.873  
       107.4        1.63      0.9219      0.0800      0.1410      26.472    1986.107      85.225  
       111.8        1.69      0.9223      0.0631      0.1160      21.778    1633.848      67.330  



         PROP RPM =       960

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2589      0.2513      70.430    4624.515     360.594  
         4.5        0.06      0.0610      0.2609      0.2538      71.101    4667.883     363.291  
         8.9        0.12      0.1207      0.2625      0.2580      72.281    4745.770     365.539  
        13.4        0.18      0.1805      0.2643      0.2604      72.978    4790.909     368.012  
        17.9        0.24      0.2396      0.2658      0.2631      73.729    4840.473     370.260  
        22.4        0.30      0.2945      0.2667      0.2684      75.204    4936.946     371.384  
        26.8        0.36      0.3503      0.2672      0.2714      76.049    4992.706     372.059  
        31.3        0.42      0.4039      0.2673      0.2747      76.961    5052.891     372.284  
        35.8        0.47      0.4550      0.2667      0.2780      77.900    5114.846     371.384  
