        83x14_5_1200_46_1700                                 (83x14_5_1200_46_1700.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2699      0.2309      15.784    1658.630     146.800  
         4.5        0.09      0.1098      0.2712      0.2344      16.039    1684.297     147.520  
         8.9        0.19      0.2160      0.2715      0.2385      16.320    1713.504     147.677  
        13.4        0.28      0.3165      0.2704      0.2432      16.629    1747.137     147.093  
        17.9        0.38      0.4097      0.2677      0.2479      16.964    1781.655     145.631  
        22.4        0.47      0.4985      0.2634      0.2506      17.152    1801.127     143.271  
        26.8        0.57      0.5738      0.2563      0.2542      17.393    1826.794     139.404  
        31.3        0.66      0.6432      0.2469      0.2550      17.447    1832.104     134.323  
        35.8        0.76      0.7026      0.2347      0.2535      17.339    1822.369     127.692  
        40.3        0.85      0.7529      0.2196      0.2491      17.044    1789.621     119.486  
        44.7        0.95      0.7965      0.2020      0.2406      16.454    1728.551     109.887  
        49.2        1.04      0.8329      0.1819      0.2279      15.596    1637.388      98.961  
        53.7        1.14      0.8616      0.1595      0.2108      14.416    1514.363      86.776  
        58.2        1.23      0.8840      0.1363      0.1901      13.005    1366.555      74.142  
        62.6        1.33      0.9012      0.1124      0.1657      11.334    1190.425      61.148  
        67.1        1.42      0.9119      0.0880      0.1372       9.393     986.858      47.862  
        71.6        1.52      0.9116      0.0629      0.1048       7.170     753.198      34.238  
        76.1        1.61      0.8846      0.0374      0.0681       4.659     489.446      20.323  
        80.5        1.71      0.7068      0.0112      0.0271       1.852     194.539       6.095  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2696      0.2327      27.504    2407.403     211.208  
         4.5        0.08      0.0910      0.2710      0.2354      27.826    2435.725     212.242  
         8.9        0.16      0.1801      0.2716      0.2384      28.188    2467.588     212.759  
        13.4        0.24      0.2662      0.2714      0.2418      28.591    2502.106     212.624  
        17.9        0.32      0.3481      0.2702      0.2455      29.020    2540.164     211.658  
        22.4        0.40      0.4248      0.2677      0.2491      29.449    2578.222     209.724  
        26.8        0.47      0.4995      0.2641      0.2508      29.650    2595.924     206.914  
        31.3        0.55      0.5636      0.2584      0.2538      29.999    2626.016     202.463  
        35.8        0.63      0.6210      0.2511      0.2557      30.227    2645.488     196.663  
        40.3        0.71      0.6752      0.2420      0.2551      30.160    2639.292     189.604  
        44.7        0.79      0.7222      0.2310      0.2529      29.891    2617.166     180.971  
        49.2        0.87      0.7628      0.2179      0.2484      29.368    2570.257     170.697  
        53.7        0.95      0.7976      0.2028      0.2412      28.523    2495.910     158.873  
        58.2        1.03      0.8280      0.1861      0.2310      27.317    2390.586     145.811  
        62.6        1.11      0.8541      0.1679      0.2175      25.707    2250.745     131.491  
        67.1        1.19      0.8747      0.1486      0.2015      23.817    2085.236     116.429  
        71.6        1.26      0.8918      0.1290      0.1829      21.631    1893.175     101.029  
        76.1        1.34      0.9053      0.1089      0.1617      19.110    1672.791      85.315  
        80.5        1.42      0.9143      0.0884      0.1376      16.267    1424.085      69.264  
        85.0        1.50      0.9162      0.0675      0.1107      13.086    1145.287      52.898  
        89.5        1.58      0.9042      0.0462      0.0808       9.556     836.484      36.217  
        94.0        1.66      0.8495      0.0245      0.0480       5.670     496.261      19.221  
        98.4        1.74      0.3553      0.0025      0.0120       1.419     124.176       1.921  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2698      0.2322      43.583    3270.351     287.531  
         4.5        0.07      0.0784      0.2711      0.2343      43.985    3300.443     289.104  
         8.9        0.14      0.1558      0.2720      0.2366      44.415    3333.191     290.004  
        13.4        0.20      0.2314      0.2723      0.2393      44.911    3369.479     290.453  
        17.9        0.27      0.3044      0.2719      0.2422      45.461    3411.078     290.004  
        22.4        0.34      0.3739      0.2706      0.2452      46.037    3454.446     288.655  
        26.8        0.41      0.4393      0.2684      0.2484      46.627    3498.700     286.182  
        31.3        0.47      0.5001      0.2650      0.2513      47.177    3540.298     282.585  
        35.8        0.54      0.5560      0.2603      0.2539      47.646    3574.816     277.639  
        40.3        0.61      0.6070      0.2544      0.2556      47.982    3600.483     271.120  
        44.7        0.68      0.6530      0.2470      0.2563      48.129    3611.104     263.476  
        49.2        0.75      0.6972      0.2386      0.2551      47.901    3593.403     254.484  
        53.7        0.81      0.7337      0.2282      0.2529      47.486    3562.425     243.243  
        58.2        0.88      0.7682      0.2167      0.2485      46.654    3500.470     231.104  
