        62x5_2_3200_46_1150                                 (62x5_2_3200_46_1150.dat)

         PROP RPM =       1600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0812      0.0298       8.982     353.853      97.769  
         4.5        0.05      0.1241      0.0797      0.0306       9.233     363.677      96.038  
         8.9        0.10      0.2395      0.0781      0.0311       9.376     369.342      94.128  
        13.4        0.14      0.3452      0.0764      0.0316       9.535     375.537      91.947  
        17.9        0.19      0.4403      0.0743      0.0321       9.696     381.910      89.452  
        22.4        0.24      0.5248      0.0719      0.0326       9.844     387.751      86.596  
        26.8        0.29      0.5987      0.0692      0.0330       9.966     392.619      83.359  
        31.3        0.33      0.6626      0.0662      0.0333      10.044     395.628      79.695  
        35.8        0.38      0.7171      0.0627      0.0333      10.059     396.248      75.581  
        40.3        0.43      0.7633      0.0590      0.0331       9.993     393.681      71.040  
        44.7        0.48      0.8043      0.0548      0.0325       9.800     386.070      66.071  
        49.2        0.52      0.8415      0.0503      0.0313       9.454     372.439      60.631  
        53.7        0.57      0.8657      0.0451      0.0298       8.983     353.853      54.314  
        58.2        0.62      0.8852      0.0398      0.0278       8.388     330.398      47.884  
        62.6        0.67      0.9000      0.0343      0.0254       7.665     301.899      41.297  
        67.1        0.71      0.9099      0.0287      0.0226       6.807     268.089      34.598  
        71.6        0.76      0.9136      0.0231      0.0193       5.808     228.792      27.809  
        76.1        0.81      0.9080      0.0173      0.0155       4.665     183.741      20.887  
        80.5        0.86      0.8831      0.0115      0.0112       3.373     132.850      13.866  
        85.0        0.90      0.7946      0.0056      0.0064       1.926      75.851       6.751  



         PROP RPM =       1920

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0821      0.0305      15.878     521.309     142.282  
         4.5        0.04      0.1044      0.0809      0.0308      16.039     526.442     140.348  
         8.9        0.08      0.2008      0.0796      0.0315      16.414     538.833     138.123  
        13.4        0.12      0.2923      0.0782      0.0319      16.602     545.029     135.627  
        17.9        0.16      0.3772      0.0766      0.0322      16.816     551.844     132.885  
        22.4        0.20      0.4549      0.0748      0.0327      17.031     558.836     129.827  
        26.8        0.24      0.5210      0.0728      0.0333      17.339     569.280     126.230  
        31.3        0.28      0.5841      0.0705      0.0336      17.500     574.325     122.364  
        35.8        0.32      0.6402      0.0681      0.0338      17.608     577.865     118.092  
        40.3        0.36      0.6897      0.0654      0.0338      17.648     579.370     113.371  
        44.7        0.40      0.7330      0.0624      0.0338      17.608     578.131     108.201  
        49.2        0.44      0.7733      0.0592      0.0334      17.420     571.935     102.670  
        53.7        0.48      0.8052      0.0557      0.0329      17.152     563.261      96.488  
        58.2        0.52      0.8355      0.0519      0.0320      16.696     548.038      89.924  
        62.6        0.56      0.8594      0.0476      0.0307      16.025     526.088      82.460  
        67.1        0.60      0.8776      0.0431      0.0292      15.234     499.979      74.682  
        71.6        0.64      0.8925      0.0385      0.0274      14.282     468.824      66.768  
        76.1        0.67      0.9044      0.0339      0.0253      13.171     432.359      58.743  
        80.5        0.71      0.9128      0.0292      0.0228      11.896     390.495      50.560  
        85.0        0.75      0.9173      0.0244      0.0200      10.449     342.966      42.287  
        89.5        0.79      0.9162      0.0195      0.0169       8.825     289.685      33.879  
        94.0        0.83      0.9058      0.0146      0.0135       7.019     230.385      25.381  
        98.4        0.87      0.8751      0.0097      0.0096       5.027     164.978      16.762  
       102.9        0.91      0.7757      0.0046      0.0055       2.844      93.375       8.041  



         PROP RPM =       2240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0832      0.0309      25.560     719.300     196.348  
         4.5        0.03      0.0888      0.0822      0.0315      26.083     733.727     194.123  
         8.9        0.07      0.1740      0.0812      0.0317      26.284     739.480     191.650  
        13.4        0.10      0.2550      0.0801      0.0320      26.539     746.649     189.019  
        17.9        0.14      0.3278      0.0787      0.0327      27.048     760.987     185.805  
        22.4        0.17      0.3986      0.0773      0.0330      27.303     768.422     182.500  
        26.8        0.20      0.4603      0.0757      0.0336      27.786     781.875     178.701  
        31.3        0.24      0.5206      0.0739      0.0338      28.014     788.159     174.609  
        35.8        0.27      0.5756      0.0721      0.0341      28.215     793.735     170.135  
        40.3        0.31      0.6255      0.0700      0.0343      28.363     798.160     165.257  
        44.7        0.34      0.6704      0.0677      0.0344      28.456     800.815     159.929  
        49.2        0.37      0.7072      0.0652      0.0345      28.577     804.002     153.994  
        53.7        0.41      0.7461      0.0626      0.0343      28.363     797.983     147.812  
        58.2        0.44      0.7776      0.0597      0.0340      28.121     791.257     141.000  
        62.6        0.48      0.8052      0.0566      0.0335      27.732     780.282     133.694  
        67.1        0.51      0.8298      0.0533      0.0328      27.142     763.731     125.871  
        71.6        0.54      0.8540      0.0497      0.0317      26.230     737.798     117.328  
        76.1        0.58      0.8708      0.0458      0.0304      25.184     708.768     108.156  
        80.5        0.61      0.8853      0.0419      0.0290      23.977     674.604      98.826  
        85.0        0.65      0.8975      0.0379      0.0273      22.569     635.130      89.384  
        89.5        0.68      0.9075      0.0338      0.0253      20.974     590.256      79.785  
        94.0        0.71      0.9150      0.0297      0.0232      19.190     539.807      70.073  
        98.4        0.75      0.9198      0.0255      0.0208      17.192     483.605      60.226  
       102.9        0.78      0.9208      0.0213      0.0181      14.979     421.473      50.267  
       107.4        0.82      0.9165      0.0170      0.0152      12.553     353.233      40.173  
       111.8        0.85      0.9025      0.0127      0.0120       9.907     278.798      29.990  



         PROP RPM =       2560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0846      0.0319      39.372     969.157     260.778  
         4.5        0.03      0.0779      0.0838      0.0320      39.574     974.467     258.306  
         8.9        0.06      0.1514      0.0829      0.0326      40.271     991.284     255.608  
        13.4        0.09      0.2230      0.0819      0.0328      40.552     998.364     252.685  
        17.9        0.12      0.2884      0.0808      0.0334      41.250    1015.181     249.313  
        22.4        0.15      0.3527      0.0797      0.0336      41.545    1023.146     245.716  
        26.8        0.18      0.4134      0.0784      0.0339      41.880    1031.112     241.894  
        31.3        0.21      0.4664      0.0770      0.0344      42.497    1046.158     237.398  
        35.8        0.24      0.5192      0.0755      0.0346      42.765    1053.239     232.677  
        40.3        0.27      0.5680      0.0738      0.0348      43.033    1059.434     227.732  
        44.7        0.30      0.6092      0.0720      0.0352      43.449    1070.055     221.864  
        49.2        0.33      0.6504      0.0700      0.0352      43.556    1072.710     215.862  
        53.7        0.36      0.6879      0.0679      0.0353      43.583    1072.710     209.410  
        58.2        0.39      0.7219      0.0657      0.0352      43.489    1070.940     202.441  
        62.6        0.42      0.7525      0.0632      0.0350      43.275    1065.630     194.977  
        67.1        0.45      0.7799      0.0607      0.0347      42.899    1055.894     186.974  
        71.6        0.48      0.8043      0.0579      0.0343      42.349    1042.618     178.453  
        76.1        0.51      0.8266      0.0549      0.0336      41.558    1023.146     169.394  
        80.5        0.54      0.8489      0.0518      0.0327      40.392     994.824     159.682  
        85.0        0.57      0.8645      0.0483      0.0316      39.077     962.076     149.026  
        89.5        0.60      0.8784      0.0448      0.0304      37.549     924.018     138.235  
        94.0        0.63      0.8905      0.0413      0.0290      35.805     881.534     127.264  
        98.4        0.65      0.9010      0.0377      0.0274      33.847     833.209     116.181  
       102.9        0.68      0.9097      0.0340      0.0256      31.648     779.220     104.941  
       107.4        0.71      0.9166      0.0303      0.0236      29.221     719.477      93.566  
       111.8        0.74      0.9215      0.0266      0.0215      26.552     653.805      82.033  



         PROP RPM =       2880

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.0863      0.0326      57.409    1255.921     336.764  
         4.5        0.03      0.0683      0.0856      0.0331      58.294    1275.392     334.066  
         8.9        0.05      0.1348      0.0849      0.0333      58.629    1283.358     331.368  
        13.4        0.08      0.1972      0.0841      0.0338      59.528    1302.830     327.996  
        17.9        0.11      0.2586      0.0832      0.0340      59.903    1310.795     324.624  
