surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
12698792.289011668,1.6120799034079558e-08,11.248750065847444,310511961.4543588,0.0,-9141468.18793198,0.0,310989602.2739017,0.0,-9141468.18793198,0.0,503106.7305846481,77634713.21615201,0.0,0.0,0.0,77753510.73407066,0.0,0.0,0.0,144263.42896038014,naca_wing,30.0,400.0,9100.0,1.0,400.0,2496.5935
13811499.369218757,1.1683480159154624e-07,22.202313557081474,725366207.6258554,0.0,-19629289.14380376,0.0,726308958.7788123,0.0,-19629289.14380376,0.0,993014.5818194643,181354019.69346645,0.0,0.0,0.0,181588498.12599862,0.0,0.0,0.0,284741.86139479076,naca_wing,30.0,400.0,9900.0,1.0,400.0,6143.515
15330051.987681516,9.20027711789275e-08,19.020475238502584,646804451.8042015,0.0,-17156744.726719584,0.0,647585246.5183607,0.0,-17156744.726719584,0.0,877678.2867970216,161734782.03428933,0.0,0.0,0.0,161908748.68237424,0.0,0.0,0.0,270850.2207226282,naca_wing,45.0,400.0,10100.0,1.0,400.0,5835.7686
14089673.792596055,4.3001329218461846e-08,13.604743276025404,462616683.7328964,0.0,-12271104.3926006,0.0,463194368.05066556,0.0,-12271104.3926006,0.0,608483.800697996,115661718.3360583,0.0,0.0,0.0,115805398.19206145,0.0,0.0,0.0,174479.3389319792,naca_wing,30.0,400.0,10100.0,1.0,400.0,2773.9487
15330051.987681516,1.1716610779434834e-07,24.712040630069176,840350080.2303507,0.0,-22290619.316817757,0.0,841364514.9622962,0.0,-22290619.316817757,0.0,1140309.12537625,210131264.06201157,0.0,0.0,0.0,210357287.37750942,0.0,0.0,0.0,351897.7089285244,naca_wing,45.0,400.0,10100.0,1.0,400.0,8754.563
23042078.254342575,8.332037305238806e-08,26.360866178846738,896506811.9100707,0.0,-35667957.81755122,0.0,898941757.9072497,0.0,-35667957.81755122,0.0,2737049.8677620245,224238822.1840319,0.0,0.0,0.0,224781363.3154177,0.0,0.0,0.0,844645.001968757,naca_wing,45.0,600.0,10100.0,1.0,600.0,9437.518
5744382.807668356,3.0741418773616702e-09,2.1884046064667406,12264775.306666413,0.0,-801304.8411519243,0.0,12357705.248521032,0.0,-801304.8411519243,0.0,97884.03847313566,3068004.94798994,0.0,0.0,0.0,3091118.04943082,0.0,0.0,0.0,28067.198059397702,naca_wing,30.0,400.0,4100.0,1.0,400.0,840.2675
12698792.289011668,2.1948845191087703e-07,18.792959320344536,518763296.0047044,0.0,-15272384.82305873,0.0,519561276.61933815,0.0,-15272384.82305873,0.0,840525.7709809851,129702055.67527151,0.0,0.0,0.0,129900527.23064737,0.0,0.0,0.0,241016.7117231252,naca_wing,30.0,400.0,9100.0,1.0,400.0,5529.3516
14089673.792596055,1.1096209267660864e-07,21.08631281943528,717020520.7673331,0.0,-19019274.42602331,0.0,717915887.3309072,0.0,-19019274.42602331,0.0,943103.4093592473,179266828.08968484,0.0,0.0,0.0,179489520.89086932,0.0,0.0,0.0,270429.64696962916,naca_wing,30.0,400.0,10100.0,1.0,400.0,5469.4976
5744382.807668356,1.0422896380642902e-08,2.198340831578538,12320462.252321953,0.0,-804943.0830297429,0.0,12413814.132980376,0.0,-804943.0830297429,0.0,98328.47084101081,3081934.907613151,0.0,0.0,0.0,3105152.951704156,0.0,0.0,0.0,28194.634273592983,naca_wing,30.0,400.0,4100.0,1.0,400.0,846.1857
20748572.135792468,2.0366708465410246e-07,17.438308045253645,569748442.5424584,0.0,-23126341.849623885,0.0,571414519.910895,0.0,-23126341.849623885,0.0,1754902.3219499954,142466299.6636308,0.0,0.0,0.0,142880680.24047622,0.0,0.0,0.0,503205.5303587397,naca_wing,30.0,600.0,9900.0,1.0,600.0,4121.618
16575928.38705203,2.220622706636957e-08,10.329588676794152,214914593.10035837,0.0,-10931564.786043568,0.0,215901516.3216751,0.0,-10931564.786043568,0.0,1039537.9231642266,53747185.77067754,0.0,0.0,0.0,53992649.47079577,0.0,0.0,0.0,298078.4019657331,naca_wing,30.0,600.0,7900.0,1.0,600.0,2758.3208
4075325.624516309,2.7142831631105216e-09,1.0075318473190156,2825584.4381301412,0.0,-260945.31314490485,0.0,2868370.2449669787,0.0,-260945.31314490485,0.0,45066.61171292853,707248.7291419127,0.0,0.0,0.0,717890.2180770254,0.0,0.0,0.0,12922.293811204065,naca_wing,30.0,400.0,2900.0,1.0,400.0,473.71005
16343421.015924644,2.9247163198680054e-07,17.712842366701988,578757104.2209032,0.0,-15660507.542832559,0.0,579449123.3681555,0.0,-15660507.542832559,0.0,852413.778736585,144748184.1307879,0.0,0.0,0.0,144875119.27827305,0.0,0.0,0.0,287329.77896950033,naca_wing,60.0,400.0,9900.0,1.0,400.0,6355.34
8230639.277079992,5.072092646516912e-09,2.0973584081825773,10638941.12619472,0.0,-1095786.3439480867,0.0,10839344.824239563,0.0,-1095786.3439480867,0.0,211086.38023192075,2663735.779080468,0.0,0.0,0.0,2713579.377501344,0.0,0.0,0.0,60526.280607954024,naca_wing,30.0,600.0,3900.0,1.0,600.0,840.2675
