surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
116994116.8889163,2.694166367042393e-10,0.5064487015231922,18968882.394523688,0.0,-295125.7079542626,0.0,1297307.565099008,0.0,-295125.7079542626,0.0,19992707.817101702,18866326.53823236,0.0,0.0,0.0,345466.40810108767,0.0,0.0,0.0,19143422.51639511,naca_wing,750.0,2900.0,900.0,1.0,2900.0,7186.146
266086382.1206628,2.694166367042393e-10,1.24593480322571,78869552.1750684,0.0,-1928295.9585586602,0.0,5530640.159877008,0.0,-1928295.9585586602,0.0,80737141.84880204,77495909.05451205,0.0,0.0,0.0,1450089.2201429354,0.0,0.0,0.0,78030234.02962433,naca_wing,850.0,3300.0,2100.0,1.0,3300.0,6619.815
329234172.9161161,2.694166367042393e-10,3.839983639886708,152475569.4182368,0.0,-10899856.85797149,0.0,31577430.640246294,0.0,-10899856.85797149,0.0,141019555.03368947,136338038.17161292,0.0,0.0,0.0,8077752.252985663,0.0,0.0,0.0,133657407.89305273,naca_wing,672.0,3100.0,4100.0,1.0,3100.0,9905.226
389666506.71346617,2.694166367042393e-10,1.185642511932079,158049300.07379007,0.0,-2062753.01385228,0.0,6860597.182744561,0.0,-2062753.01385228,0.0,162056449.49857998,156979257.70677137,0.0,0.0,0.0,1814123.4824398626,0.0,0.0,0.0,158080018.16529396,naca_wing,1000.0,4100.0,1900.0,1.0,4100.0,7937.2153
241079909.8852255,2.694166367042393e-10,4.354586794475941,100169908.7125197,0.0,-12360592.549894387,0.0,35809230.741961844,0.0,-12360592.549894387,0.0,87178701.79190388,81869757.70873454,0.0,0.0,0.0,9160282.607874159,0.0,0.0,0.0,78829904.66160136,naca_wing,480.0,3100.0,4100.0,1.0,3100.0,9989.674
301126404.5141613,2.694166367042393e-10,5.381391741006262,149176997.50140828,0.0,-19433517.57921658,0.0,59046284.34085901,0.0,-19433517.57921658,0.0,122085076.04332623,116875193.57601818,0.0,0.0,0.0,15052823.615928143,0.0,0.0,0.0,110393419.24378547,naca_wing,480.0,3300.0,4900.0,1.0,3300.0,9995.455
234350336.07870945,2.694166367042393e-10,1.2347823344794264,69116313.30741522,0.0,-1729033.0779605755,0.0,5151862.215154158,0.0,-1729033.0779605755,0.0,71296464.17858468,68001922.25054754,0.0,0.0,0.0,1354790.4545442595,0.0,0.0,0.0,68613783.47484246,naca_wing,800.0,3300.0,1900.0,1.0,3300.0,7570.433
248417683.92520067,2.694166367042393e-10,1.108063949048924,69846635.24318525,0.0,-1551591.9063279377,0.0,4623154.676971431,0.0,-1551591.9063279377,0.0,71803047.77342033,68846607.52916859,0.0,0.0,0.0,1215756.2370847994,0.0,0.0,0.0,69395677.04755035,naca_wing,850.0,3300.0,1900.0,1.0,3300.0,6619.815
362149426.63699305,2.694166367042393e-10,2.6558066640652416,171846176.71336576,0.0,-6617465.823102123,0.0,17886072.21611999,0.0,-6617465.823102123,0.0,172717389.8151354,165465601.20294902,0.0,0.0,0.0,4642345.592072038,0.0,0.0,0.0,165854238.70150417,naca_wing,777.0,3600.0,3100.0,1.0,3600.0,9979.802
349907938.53186774,2.694166367042393e-10,5.4697214003598,184412080.9405541,0.0,-21176053.372051008,0.0,64651482.69026585,0.0,-21176053.372051008,0.0,154218671.32882455,148845217.53471458,0.0,0.0,0.0,16476669.258045048,0.0,0.0,0.0,141610721.3024433,naca_wing,525.0,3400.0,5100.0,1.0,3400.0,9999.383
215830290.08535615,2.694166367042393e-10,1.3790167632128076,68311998.988783,0.0,-1813970.3882556632,0.0,5272417.205855972,0.0,-1813970.3882556632,0.0,70265580.4418882,67067436.359983444,0.0,0.0,0.0,1383963.065833518,0.0,0.0,0.0,67621688.93066531,naca_wing,800.0,3100.0,1900.0,1.0,3100.0,9018.328
181549367.06263044,2.694166367042393e-10,1.6261071155916902,54079001.93950567,0.0,-2276998.14880081,0.0,6784592.974655706,0.0,-2276998.14880081,0.0,56950094.565371886,52611440.233227395,0.0,0.0,0.0,1784150.5779840054,0.0,0.0,0.0,53417213.87497846,naca_wing,612.0,3300.0,1900.0,1.0,3300.0,9998.163
143877816.6587624,2.694166367042393e-10,0.507943379516023,21782564.581596546,0.0,-386825.7130218302,0.0,1535674.5472591915,0.0,-386825.7130218302,0.0,22908497.87393508,21628911.709292952,0.0,0.0,0.0,408176.3441687339,0.0,0.0,0.0,21934652.54314822,naca_wing,750.0,3100.0,1100.0,1.0,3100.0,4994.4243
315056132.941857,2.694166367042393e-10,2.2934894242970096,132046489.19216065,0.0,-4753241.7032572795,0.0,12832240.994557925,0.0,-4753241.7032572795,0.0,132019891.69377702,127224427.67757618,0.0,0.0,0.0,3324775.4009815017,0.0,0.0,0.0,127334487.61478506,naca_wing,825.0,3200.0,2900.0,1.0,3200.0,9344.969
322331294.28908587,2.694166367042393e-10,1.1585863862879573,113883652.34600648,0.0,-1819029.819847879,0.0,5718508.149795713,0.0,-1819029.819847879,0.0,116813827.78832625,112838028.13238159,0.0,0.0,0.0,1508391.9108523894,0.0,0.0,0.0,113649335.7630078,naca_wing,950.0,3700.0,1900.0,1.0,3700.0,7491.032
