chord,span,max_load,angle,speed,lift2x,drag2x,lift,drag,flight_load,available_volume,weight,profile
5000,11000,2000,0,50,1583.31,2023.45,791.655,1011.725,1284.642,14437500000,15.2888155,NACA 0021
5000,13000,2000,0,50,0,2149.88,0,1074.94,1074.94,14625000000,19.647917,NACA 0018
5000,10000,2000,0,50,0,2189.69,0,1094.845,1094.845,15625000000,12.847059,NACA 0025
5000,12000,2000,0,50,1727.25,2207.2,863.625,1103.6,1401.3497,15750000000,16.929815,NACA 0021
5000,13000,2000,0,50,1871.19,2390.96,935.595,1195.48,1518.0614,17062500000,18.594494,NACA 0021
5000,11000,2000,0,50,0,2408.66,0,1204.33,1204.33,17187500000,14.364985,NACA 0025
5000,14000,2000,0,50,2015.13,2574.71,1007.565,1287.355,1634.7692,18375000000,20.28133,NACA 0021
5000,12000,2000,0,50,0,2627.63,0,1313.815,1313.815,18750000000,15.906827,NACA 0025
5000,15000,2000,0,50,2159.06,2758.47,1079.53,1379.235,1751.4777,19687500000,21.989004,NACA 0021
5000,13000,2000,0,50,0,2846.59,0,1423.295,1423.295,20312500000,17.470917,NACA 0025
5000,14000,2000,0,50,0,3065.56,0,1532.78,1532.78,21875000000,19.055826,NACA 0025
5000,15000,2000,0,50,0,3284.53,0,1642.265,1642.265,23437500000,20.660313,NACA 0025
